"ID","Description","NES.293t","p.adjust.293t","NES.468","p.adjust.468"
"GO:0009117","nucleotide metabolic process",-1.99330377341885,1.4786207949133e-10,-1.78758708233349,4.73795646160785e-05
"GO:0006753","nucleoside phosphate metabolic process",-1.9674495842492,1.4786207949133e-10,-1.78647856433057,5.8278450468534e-05
"GO:0006163","purine nucleotide metabolic process",-1.97940012639326,1.59375476125292e-09,-1.81995234675114,4.57693948002668e-05
"GO:0046390","ribose phosphate biosynthetic process",-2.19388128881553,1.74967238339885e-09,-1.79575224301302,0.00236855185511353
"GO:0072521","purine-containing compound metabolic process",-1.95444140943002,2.39693451937073e-09,-1.81808701816561,2.41408527016345e-05
"GO:0006091","generation of precursor metabolites and energy",-1.91422470410678,4.44650716727588e-09,-1.58946366036869,0.00636830012004488
"GO:0009152","purine ribonucleotide biosynthetic process",-2.18433782959671,7.73556601989541e-09,-1.86828744440246,0.000486862652465813
"GO:0009260","ribonucleotide biosynthetic process",-2.16833173085093,7.73556601989541e-09,-1.78216202481499,0.00259636059025489
"GO:0019693","ribose phosphate metabolic process",-1.99019331667465,1.2964134528841e-08,-1.74942426923047,0.000579696146434663
"GO:0009259","ribonucleotide metabolic process",-1.98234104310187,1.2964134528841e-08,-1.74815164293946,0.000550720653596099
"GO:0009150","purine ribonucleotide metabolic process",-1.98993297109787,2.11988990873529e-08,-1.78481101159923,0.000486862652465813
"GO:1901293","nucleoside phosphate biosynthetic process",-2.04080867193133,4.95478256615695e-08,-1.79483733410722,0.000742618410870175
"GO:0009165","nucleotide biosynthetic process",-2.04808484313052,9.46311345612848e-08,-1.78885479291858,0.000624848376603503
"GO:0006164","purine nucleotide biosynthetic process",-2.04579771041125,3.26469717539455e-07,-1.84208943157246,0.000877684578470142
"GO:0072522","purine-containing compound biosynthetic process",-1.99687127854165,9.69913148080106e-07,-1.82147567978066,0.000550720653596099
"GO:0043388","positive regulation of DNA binding",2.11755346862479,0.000581421100241597,1.96902380436151,0.00976727568525776
"GO:0051099","positive regulation of binding",1.98429938385243,0.0020880768485947,2.01835650895653,0.000742618410870175
"GO:0051098","regulation of binding",1.75257407995784,0.0132663579799505,1.74988237271327,0.00341365579365992
"GO:0051101","regulation of DNA binding",1.96571850676477,0.0158332452718523,2.02351900579911,0.00873620418957096
"GO:0140467","integrated stress response signaling",1.93978146386008,0.0274206141536203,1.99323936346887,0.0204525980451587
