"ID","Description","NES.293t","p.adjust.293t","NES.468","p.adjust.468"
"hsa05020","Prion disease",-2.29117694174692,6.504057737853e-14,-1.67383177488499,0.0132043287059584
"hsa05016","Huntington disease",-2.22387975514961,3.56612383036767e-13,-1.55054722630821,0.029116909332536
"hsa05012","Parkinson disease",-2.13972194441067,6.3303818455799e-11,-1.64818461390007,0.0132043287059584
"hsa05014","Amyotrophic lateral sclerosis",-2.00854726776361,4.08865674821337e-10,-1.54814792531063,0.0224537398620135
"hsa05010","Alzheimer disease",-1.89980656692645,6.61856637939607e-08,-1.48314152336228,0.032167684554343
"hsa03050","Proteasome",-2.33843571471743,2.37129880086005e-07,-1.71608803857992,0.0323309646215632
"hsa04145","Phagosome",-2.00051028073801,3.09032936278969e-05,-1.86009292058481,0.00760306137411615
"hsa05415","Diabetic cardiomyopathy",-1.74056833989045,0.000561521061526249,-1.57066056410981,0.0361509931125141
"hsa01200","Carbon metabolism",-1.8396289035874,0.00119361012571558,-1.73598216418131,0.0239902550859918
"hsa05208","Chemical carcinogenesis - reactive oxygen species",-1.63313437827342,0.00247358053074985,-1.74801044900846,0.00790003785487231
"hsa04723","Retrograde endocannabinoid signaling",-1.77155566461822,0.00293464677733752,-1.72137834743609,0.0170053137103638
"hsa01212","Fatty acid metabolism",-1.80842426212846,0.0121545360631364,-1.98704826422103,0.00137046054028557
"hsa05110","Vibrio cholerae infection",-1.84878125276444,0.012672182173204,-1.71395253932186,0.0457411008126205
"hsa04915","Estrogen signaling pathway",-1.60436007138212,0.029574663771189,-1.78426121939148,0.00790003785487231
