"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",476,-0.661800299135598,-1.92823968761752,2.35568166248127e-11,1.05722993012159e-07,9.56158788476607e-08,1691,"tags=26%, list=10%, signal=24%","8864/686/5091/55825/126129/641371/114876/1738/254013/26061/8660/8310/1737/26227/3988/4864/3098/5740/51422/29940/3033/22933/1622/25874/8050/427/9524/1382/634/2821/2109/230/56898/2329/5213/2184/6720/7915/7351/8560/59342/5214/36/31/80221/9536/9380/51084/2194/525/5581/3815/114883/38/5160/5106/79777/5566/145482/5577/7157/157506/2181/10728/2052/56922/6342/5230/7416/64834/10449/351/3417/10455/51085/6652/34/5164/2948/134429/405/3939/4199/3945/80339/1374/9388/6774/55902/5315/197257/160428/1907/51/1891/5096/79071/5226/3030/55258/2182/6307/65985/47/1384/55526/3295/5165/1645/5236/3418/9415/8013/5825/60481/1646/23175/39/3992/220/6319/1545/1543/3638/219970/2180"
"GO:0006631","GO:0006631","fatty acid metabolic process",301,-0.69496306981472,-1.94148039528844,6.22385741807425e-09,9.31089069743908e-06,8.42076989617344e-06,1605,"tags=26%, list=10%, signal=24%","126129/641371/254013/26061/8660/8310/3988/5740/51422/3033/22933/1622/427/9524/634/2109/56898/2329/6720/8560/36/31/80221/9536/51084/2194/525/38/5106/79777/145482/5577/2181/10728/2052/6342/64834/10449/10455/51085/34/5164/2948/80339/1374/9388/55902/160428/1907/51/1891/5096/79071/3030/55258/2182/6307/65985/47/1384/3295/5165/1645/9415/8013/5825/60481/1646/23175/39/3992/6319/1545/1543/3638/219970/2180"
"GO:1901615","GO:1901615","organic hydroxy compound metabolic process",422,-0.65052211482301,-1.8781877408326,5.14787636059764e-09,9.31089069743908e-06,8.42076989617344e-06,1769,"tags=24%, list=11%, signal=22%","8611/3613/4929/6647/53630/1001/117247/8864/55825/3633/4923/8566/114876/1312/949/3632/50814/6721/3988/4864/221/7474/20/123099/51422/427/1595/7108/6820/3069/6715/2184/6720/91734/51109/3815/2053/114883/5106/1734/1591/7157/23657/157506/6342/3930/2820/9249/10449/351/3417/2034/217/6652/2643/2629/134429/3939/1718/4157/11161/3945/5031/3421/54884/51477/1717/4598/55902/847/197257/4047/3949/51478/2710/6526/5336/10682/6307/4597/47/2224/8612/6646/3422/1645/2235/3418/2222/10162/5825/1646/222/220/255738/6713/3157/1545/1543/3638/3156"
"GO:0072521","GO:0072521","purine-containing compound metabolic process",418,-0.631337142369422,-1.81808701816561,2.1515911498783e-08,2.41408527016345e-05,2.18329880892914e-05,1877,"tags=22%, list=11%, signal=20%","4508/8942/6391/2773/84618/368/8833/7415/4594/27115/25939/5091/55270/142/509/5631/55604/9497/641371/1738/7086/4710/1737/3988/4190/6576/5740/4540/51422/51071/260425/25874/8050/9524/6820/53343/31/80221/6389/525/6888/10606/38/23597/5160/9555/4541/64087/100/7157/498/2181/481/4354/55669/64834/3417/5164/56606/4199/3945/2983/23028/3312/4522/4598/159/55902/160428/4833/4720/2766/471/79071/5226/2182/4597/47/205/3295/5165/3418/5152/10380/60481/23530/4719/523/9061/23475/3157/3156/2180"
"GO:0006066","GO:0006066","alcohol metabolic process",289,-0.694105813656518,-1.93635731169204,2.80308099349737e-08,2.51604549976324e-05,2.27551164440545e-05,1769,"tags=27%, list=11%, signal=24%","8611/3613/6647/53630/55825/3633/4923/114876/949/3632/50814/6721/3988/4864/221/20/123099/427/1595/7108/6820/3069/6720/91734/51109/2053/5106/157506/3930/2820/9249/10449/351/3417/217/6652/2643/2629/134429/1718/5031/3421/54884/51477/1717/4598/55902/847/4047/3949/51478/2710/6526/5336/10682/6307/4597/47/2224/8612/6646/3422/1645/2235/3418/2222/10162/1646/222/220/255738/6713/3157/1545/1543/3638/3156"
"GO:0044283","GO:0044283","small molecule biosynthetic process",476,-0.613819783934029,-1.78844232916234,5.22282243031984e-08,3.90667117787924e-05,3.53319355987953e-05,1866,"tags=23%, list=11%, signal=21%","8942/7494/3155/171586/7083/2264/6934/8850/5352/3613/6647/53630/8864/4548/5091/55825/5631/4923/8566/114876/50814/6721/26227/3988/4190/6576/5740/20/51422/29940/22933/427/1595/9524/634/2821/7108/230/6720/91734/200895/8560/4258/31/9536/2194/114883/5106/5566/4942/100/157506/10728/6342/3930/5230/64834/10229/10449/51085/6652/2643/34/5164/2629/2948/134429/1718/5031/9388/51477/1717/4522/4598/55902/445/1907/51363/4047/51478/124975/79071/5226/5336/55258/10682/6307/4597/65985/47/2224/2752/3422/51733/5236/9415/2222/10162/5825/60481/4048/3992/220/6319/3157/1543/3638/3156"
"GO:0006163","GO:0006163","purine nucleotide metabolic process",398,-0.635155349913637,-1.81995234675114,7.13872022285801e-08,4.57693948002668e-05,4.13938423749481e-05,1877,"tags=23%, list=11%, signal=21%","4508/8942/6391/2773/84618/368/8833/7415/4594/27115/25939/5091/55270/142/509/5631/9497/641371/1738/7086/4710/1737/3988/4190/6576/5740/4540/51422/51071/260425/25874/8050/9524/6820/53343/31/80221/6389/525/6888/10606/38/23597/5160/9555/4541/64087/100/7157/498/2181/481/4354/55669/64834/3417/5164/4199/3945/2983/3312/4522/4598/159/55902/160428/4833/4720/2766/471/79071/5226/2182/4597/47/205/3295/5165/3418/5152/10380/60481/23530/4719/523/9061/23475/3157/3156/2180"
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process",78,-0.848160703304049,-2.1141692130426,8.20963155774598e-08,4.60560330389549e-05,4.16530780087743e-05,794,"tags=23%, list=5%, signal=22%","2181/10728/2052/6342/64834/2948/80339/1374/79071/2182/9415/5825/60481/3992/1545/1543/219970/2180"
"GO:0009117","GO:0009117","nucleotide metabolic process",456,-0.615143879127851,-1.78758708233349,9.50124958878579e-08,4.73795646160785e-05,4.2850080016793e-05,1877,"tags=22%, list=11%, signal=20%","4508/8942/6391/2773/84618/368/8833/7415/4594/27115/25939/5091/55270/142/509/6996/5631/9497/641371/1738/7086/4710/1737/1854/3988/4190/6576/5740/4540/51422/51071/260425/25874/8050/9524/6820/53343/1503/31/80221/6389/525/6888/10606/38/23597/5160/9555/4541/64087/2617/100/7157/498/2181/481/4354/55669/64834/56474/3417/5164/122481/8226/4199/3945/2983/3312/4522/4598/159/55902/160428/6240/4833/4720/2766/6241/471/79071/5226/7298/2182/4597/47/205/51733/3295/5165/3418/5152/10380/60481/23530/4719/523/9061/23475/3157/3156/2180"
"GO:0016125","GO:0016125","sterol metabolic process",112,-0.795989417848109,-2.03603963419213,1.28723971531151e-07,5.77713184231808e-05,5.22483825499074e-05,1583,"tags=38%, list=10%, signal=35%","114876/949/50814/6721/3988/4864/51422/1595/7108/6820/3069/6720/91734/2053/3930/10449/351/2629/134429/1718/11161/1717/4598/847/4047/3949/51478/10682/6307/4597/47/2224/6646/3422/2235/2222/10162/255738/6713/3157/1545/3638/3156"
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process",463,-0.613465811877091,-1.78647856433057,1.42839339383662e-07,5.8278450468534e-05,5.2707032790756e-05,1877,"tags=22%, list=11%, signal=20%","4508/8942/6391/2773/7083/84618/368/8833/7415/4594/27115/25939/5091/55270/142/509/6996/5631/9497/641371/1738/7086/4710/1737/1854/3988/4190/6576/5740/4540/51422/51071/260425/25874/8050/9524/6820/53343/1503/31/80221/6389/525/6888/10606/38/23597/5160/9555/4541/64087/2617/100/7157/498/2181/481/4354/55669/64834/56474/3417/5164/122481/8226/4199/3945/2983/3312/4522/4598/159/55902/160428/6240/4833/4720/2766/6241/471/79071/5226/7298/2182/4597/47/205/51733/3295/5165/3418/5152/10380/60481/23530/4719/523/9061/23475/3157/3156/2180"
"GO:0008202","GO:0008202","steroid metabolic process",225,-0.706010813942285,-1.93640071879287,1.78773534086442e-07,6.68613017483292e-05,6.04693638102911e-05,1583,"tags=26%, list=10%, signal=24%","114876/949/50814/6721/3988/4864/20/51422/427/1595/7108/6820/3069/6715/6720/91734/3815/2053/114883/1591/79154/6342/3930/10449/351/2629/134429/25976/1718/11161/1717/4598/847/4047/3949/51478/5087/10682/6307/4597/47/2224/6646/622/3422/3295/1645/2235/2222/10162/5825/1646/255738/6713/3157/1545/1543/3638/3156"
"GO:0008203","GO:0008203","cholesterol metabolic process",101,-0.790501970313888,-2.01520667866412,3.5503379132553e-07,0.000122568588882229,0.000110851036384716,1583,"tags=40%, list=10%, signal=36%","114876/949/50814/6721/3988/4864/1595/7108/6820/3069/6720/91734/2053/3930/10449/351/2629/134429/1718/1717/4598/847/4047/3949/51478/10682/6307/4597/47/2224/6646/3422/2235/2222/10162/255738/6713/3157/3638/3156"
