"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa01212","hsa01212","Fatty acid metabolism",54,-0.844017203892329,-1.97084547153546,7.47640667019614e-06,0.00246721420116473,0.00191238612721859,1605,"tags=46%, list=10%, signal=42%","126129/8310/3033/9524/36/31/2194/38/2181/6342/64834/10449/34/1374/51/79071/3030/2182/3295/9415/60481/39/3992/6319/2180"
"hsa03320","hsa03320","PPAR signaling pathway",55,-0.829843800670377,-1.95588813754602,2.2930434891677e-05,0.00378352175712671,0.00293268193614606,913,"tags=24%, list=6%, signal=22%","5106/2181/6342/34/4199/1374/51/2710/2182/9415/6319/3157/2180"
"hsa04145","hsa04145","Phagosome",119,-0.719680094953677,-1.86456550331508,8.79571238711112e-05,0.00725646271936667,0.00562462660544211,1249,"tags=24%, list=8%, signal=23%","7059/7277/51606/8411/338382/525/3109/10382/3673/81035/50617/5869/71/3108/1781/10333/155066/23673/84790/60/7846/203068/811/929/10376/22925/523/64581/7037"
"hsa05033","hsa05033","Nicotine addiction",17,-0.944214480008741,-1.84901310998214,7.52703857145339e-05,0.00725646271936667,0.00562462660544211,8,"tags=18%, list=0%, signal=18%","2905/2563/2568"
"hsa00900","hsa00900","Terpenoid backbone biosynthesis",22,-0.91108679559162,-1.86874021777603,0.000188520559574077,0.00985657861887939,0.00764002744621273,420,"tags=41%, list=3%, signal=40%","91734/38/4598/4597/2224/3422/39/3157/3156"
"hsa04216","hsa04216","Ferroptosis",38,-0.83984759955427,-1.84505542849003,0.000174374137819773,0.00985657861887939,0.00764002744621273,1126,"tags=34%, list=7%, signal=32%","64116/1356/7018/7157/23657/2181/2730/3162/4891/2182/10162/7037/2180"
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",195,-0.640423576571318,-1.73331348199833,0.000209078940400472,0.00985657861887939,0.00764002744621273,1986,"tags=23%, list=12%, signal=21%","517/7384/29796/4508/1836/6391/65010/9446/6647/509/4710/3725/4540/292/5795/9020/4258/7385/6389/2053/5770/5580/4541/1950/4513/2941/498/2052/7416/2947/2948/405/3162/5338/10975/847/5595/4720/291/5603/1645/1646/4719/1545/1543"
"hsa04915","hsa04915","Estrogen signaling pathway",104,-0.706772873771917,-1.79460995683628,0.000250825671319928,0.010346558941947,0.00801982080667666,1219,"tags=21%, list=7%, signal=20%","3708/3875/3872/5580/5566/2771/2778/10499/3861/801/3312/808/5595/148327/9586/3868/3320/3326/51806/25984/3866/3880"
"hsa05020","hsa05020","Prion disease",238,-0.602871017266534,-1.66896033754139,0.000450026527652726,0.015254974715298,0.011824430162097,3103,"tags=35%, list=19%, signal=29%","4539/11047/4717/1327/3303/7381/2932/4706/1350/4725/6390/5293/4711/3915/9377/89953/5688/5621/842/5685/2905/5682/518/5719/3304/10213/517/7384/5684/29796/5704/5532/4508/6391/5718/347733/5717/6647/509/4710/5708/4540/292/3798/5709/3708/5686/7277/5691/7385/6389/10382/5705/5580/4541/5566/4513/5694/5689/498/776/7416/5692/5701/5700/10963/10975/3312/5690/5595/4720/291/148327/9586/84790/5710/5603/5707/7846/203068/5695/4684/10376/4719"
"hsa05012","hsa05012","Parkinson disease",243,-0.592471740092418,-1.64197266590773,0.000462271961069635,0.015254974715298,0.011824430162097,2426,"tags=31%, list=15%, signal=27%","842/5685/7311/7327/4137/817/5682/518/5719/7314/283375/10213/517/7384/5684/29796/5704/4508/7494/6391/5718/2773/347733/5717/6647/509/10131/4710/5708/7345/4540/292/3798/5709/3708/5686/7277/5691/64116/7385/6389/10382/5705/7317/4541/5566/4513/5694/5689/7157/498/55669/7416/5692/2771/2778/5701/5700/801/10975/808/5690/4720/291/4891/2774/84790/5710/5707/7846/203068/9246/5695/51806/10376/4719"
"hsa04727","hsa04727","GABAergic synapse",63,-0.754921796269745,-1.82524762898848,0.000577181909174516,0.0158725025022992,0.0123030880639831,890,"tags=14%, list=5%, signal=14%","5566/59345/2786/2788/776/2771/10991/2752/2568"
"hsa05150","hsa05150","Staphylococcus aureus infection",36,-0.838140086626476,-1.81772536462569,0.000541389728188245,0.0158725025022992,0.0123030880639831,1058,"tags=25%, list=6%, signal=23%","3875/3109/3872/3108/3861/3868/25984/3866/3880"
"hsa00980","hsa00980","Metabolism of xenobiotics by cytochrome P450",32,-0.851993884728206,-1.84059100108196,0.000701471431846205,0.0178065825007113,0.0138022314120346,1476,"tags=34%, list=9%, signal=31%","373156/221/4258/2941/2052/2947/2948/1645/222/1545/1543"
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts",25,-0.862200624076761,-1.78991732941183,0.00124946223515209,0.0228926706872629,0.0177445581403665,819,"tags=32%, list=5%, signal=30%","4258/2941/2052/2947/2948/1646/1545/1543"
"hsa01200","hsa01200","Carbon metabolism",100,-0.689389410521952,-1.74165138522542,0.000996223339411014,0.0228926706872629,0.0177445581403665,2894,"tags=54%, list=18%, signal=45%","6390/6470/5095/7167/35/2746/4191/128/8801/1743/25796/5224/2023/5223/5211/2597/3420/6391/4594/5091/5631/1738/7086/8310/1737/26227/4190/3098/2098/2821/230/1431/5213/5214/6389/6888/38/5160/2271/5230/3417/4329/4199/3421/48/26275/55902/847/5315/51/5096/5226/3418/39"
