"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03320","hsa03320","PPAR signaling pathway",60,0.742560622927882,1.89112403704593,3.34221815939603e-05,0.00240497727996768,0.00155961872479107,1588,"tags=23%, list=8%, signal=21%","1374/79966/1376/3157/9415/34/11001/51/5465/1962/4023/2180/1622/2710"
"hsa04360","hsa04360","Axon guidance",172,0.618448309920883,1.77819128534648,2.16033272489885e-05,0.00240497727996768,0.00155961872479107,3953,"tags=41%, list=21%, signal=33%","8829/7474/2771/817/59277/1808/8633/2043/56896/5595/10627/10512/5362/9353/5062/7220/5921/223117/5594/10154/4773/10501/6091/3688/6405/2932/816/23380/4776/10509/7852/818/55558/5532/90249/54961/2770/56963/2041/5879/5293/10371/1949/23654/5781/5290/3985/7869/6093/84628/659/55740/9475/84448/2773/57715/5533/25791/6092/7222/23365/3984/54910/4756/387/5880/6586/5295/5530/5335/2048"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",201,0.602304500232625,1.76633346189798,1.28236346923446e-05,0.00240497727996768,0.00155961872479107,2407,"tags=30%, list=13%, signal=26%","482/2026/7168/60/7169/8516/2192/3673/3655/6382/1290/91010/3728/8082/1289/10529/3685/6709/29767/2200/2335/481/9672/272/1605/4811/5318/1729/3688/1756/6383/1286/7170/83660/29766/84033/832/1277/8910/7431/3696/8735/6645/1824/3672/7414/1462/1292/6385/4627/3679/1291/375790/3675/7273/23224/4628/4001/1829/752"
"hsa04814","hsa04814","Motor proteins",176,0.613640512164508,1.76117790662599,2.03821537719525e-05,0.00240497727996768,0.00155961872479107,2610,"tags=26%, list=14%, signal=23%","7168/55930/60/7169/547/4646/10376/3800/10540/10627/90990/55605/7283/4647/7277/3832/1062/221458/8701/7846/27175/9928/7170/1783/59/53904/9585/832/1781/8735/4641/92558/51626/84790/9493/4627/1767/55614/4651/126820/4628/7802/11127/829/56992/3796"
"hsa04810","hsa04810","Regulation of actin cytoskeleton",203,0.598258791864873,1.75381169282944,3.57883523804715e-05,0.00240497727996768,0.00155961872479107,3027,"tags=35%, list=16%, signal=30%","7114/56034/60/5154/8516/3673/3655/10095/1793/26999/10152/2263/1132/81553/57180/10097/5595/10627/1956/28964/5062/2934/2247/3685/8396/5594/2335/727/5962/9459/8395/1729/10788/3688/221178/8826/6655/7852/3696/4659/3672/7414/54961/4638/1131/10096/4627/1950/3679/5879/5293/3675/4628/10109/2768/5290/2245/2254/89846/673/87/4660/85477/3985/6093/55970/55740/71/9475/5216/128239"
"hsa01212","hsa01212","Fatty acid metabolism",56,0.771064241638797,1.95780070997227,5.23814136215145e-05,0.0025143078538327,0.00163051919092534,1614,"tags=29%, list=9%, signal=26%","1374/79966/1376/9415/3992/34/3295/9200/36/51/38/79071/1962/10449/2180/3030"
"hsa03010","hsa03010","Ribosome",129,-0.655511583502687,-1.90712323465222,4.97027630055405e-05,0.0025143078538327,0.00163051919092534,3145,"tags=45%, list=17%, signal=38%","6161/6205/6168/65003/6144/51021/6218/29074/4736/6204/6171/6133/6189/6165/6170/6137/6132/29088/6150/79590/6158/6159/6203/6134/6146/6188/51187/6136/64928/388524/65008/6208/6232/6176/63875/6183/6175/23521/6141/6187/55052/55168/3921/51116/64979/6206/51073/6217/64981/6193/6223/6222/6181/25873/6209/6142/6234/7311"
"hsa04110","hsa04110","Cell cycle",157,-0.610032732487128,-1.81888559424036,0.000158457585895535,0.00591574987343332,0.00383634155326033,1137,"tags=10%, list=6%, signal=9%","4998/81620/7043/898/5515/1031/8454/9587/6502/25906/1647/7042/5525/4616/4609"
"hsa04144","hsa04144","Endocytosis",243,0.550054760413425,1.64436617200532,0.000150839658224617,0.00591574987343332,0.00383634155326033,3756,"tags=35%, list=20%, signal=28%","8853/3312/51652/10095/9829/5869/644150/11031/7456/3800/23325/5337/2263/57180/274/10097/8411/26286/1956/28964/6456/1213/9897/7037/23327/9267/8395/3134/253725/378/7879/80230/128866/9815/832/7852/387680/3949/9765/83737/23096/273/23111/10564/23550/10096/23527/2060/7251/9135/57154/8766/57403/11267/857/137492/8729/10109/829/30011/7048/91782/51028/116986/7046/147179/157/3799/5584/1211/8218/2868/5338/10254/9559/50807/64411/867/11059/22905/3303/387/55680/5868"
"hsa04540","hsa04540","Gap junction",80,0.667076372072834,1.76332311763664,0.000211163677098277,0.00629873065050604,0.00408470314741463,1892,"tags=26%, list=10%, signal=24%","56034/5567/5154/2771/5579/10376/113/2982/5595/1956/5594/7277/107/7846/2778/6655/2983/84790/2770/1950/3709"
"hsa04022","hsa04022","cGMP-PKG signaling pathway",139,0.607870218908349,1.69382912181848,0.000207491358694116,0.00629873065050604,0.00408470314741463,1892,"tags=22%, list=10%, signal=20%","482/8471/10335/6546/2771/2969/113/1385/2982/291/5595/5594/7416/481/776/27345/107/4773/8654/4208/64764/4776/801/2983/4659/5532/2770/154/4638/3709"
"hsa05010","hsa05010","Alzheimer disease",360,0.495729446308371,1.52176318525439,0.000224954666089501,0.00629873065050604,0.00408470314741463,3920,"tags=30%, list=21%, signal=24%","4719/8471/4311/7474/55062/83464/25825/10376/348/637/3800/23621/291/5595/4513/4519/10313/4540/5707/4041/5594/7277/7481/4514/7416/4512/776/9706/4541/7846/4731/4023/2932/4720/801/4508/1459/4538/5532/4539/84790/25800/55102/7381/102/4710/1131/4535/8324/3709/7477/317/6389/7483/5293/1457/351/7132/4509/5718/5290/91860/355/840/673/488/5701/5710/5610/5695/9451/5717/823/5705/5708/6622/57142/9861/5713/3799/1536/1857/5700/29986/7482/4726/11211/5533/4137/4035/3416/5685/775/7385/10382/2776/5331/5295/4700/509/283106/4714/207/5530/260334/124908013/124908015/124908041"
"hsa04512","hsa04512","ECM-receptor interaction",77,0.671599790877776,1.75604958048196,0.000371961505705985,0.00961377430132391,0.0062344964923999,2557,"tags=40%, list=14%, signal=35%","8516/3673/3655/3910/255743/6382/3913/341640/3912/1280/3685/2335/961/3161/1605/3688/1286/1277/3696/3672/1292/6385/3909/3679/1291/1101/375790/3675/3915/3911/9900"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation",45,0.737593141504255,1.81069424432928,0.000496309656716093,0.0103058803961862,0.00668332469301549,1776,"tags=40%, list=10%, signal=36%","11112/3157/4329/5019/34/18/36/501/56922/64087/38/217/26275/1962/10449/3030/4594/1738"
"hsa04918","hsa04918","Thyroid hormone synthesis",55,0.709436503323215,1.79648383764068,0.000496309656716093,0.0103058803961862,0.00668332469301549,1892,"tags=31%, list=10%, signal=28%","482/5567/2878/5579/9601/113/1385/7184/481/107/2778/64764/2936/821/3309/4036/3709"
