"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",129,-0.864759171360952,-2.68050447195709,2.71806316364526e-25,9.05115033493871e-23,6.32307325437476e-23,1773,"tags=79%, list=10%, signal=72%","9553/11222/29093/51263/51023/55173/64928/388524/28998/6169/6203/64979/6218/6176/65005/6122/63875/64981/6134/6183/55168/6187/29088/6224/6159/2197/64960/219927/65003/6171/54460/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/29074/6125/6139/6202/6144/65008/51073/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/6181/6232/6209/25873/6158/7311"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",74,-0.757462459311501,-2.23315461994462,1.86811088931877e-05,0.00161398414373278,0.00112751855781553,1724,"tags=43%, list=10%, signal=39%","29107/10248/51068/51602/51367/55651/55272/55916/10557/55505/10556/26354/5901/23160/10171/84135/1460/10799/51077/134430/28987/10885/10775/4809/83732/92856/102157402/1736/84916/55127/2091/10528"
"hsa00830","hsa00830","Retinol metabolism",29,0.837502323442753,1.90156011442032,2.66995058441802e-05,0.00161398414373278,0.00112751855781553,90,"tags=14%, list=1%, signal=14%","216/9249/8854/1543"
"hsa04360","hsa04360","Axon guidance",170,0.643459871071624,1.84381325743051,9.94728805815957e-06,0.00161398414373278,0.00112751855781553,3230,"tags=44%, list=19%, signal=36%","8829/7474/10512/2771/5362/8503/10501/5595/59277/8633/9353/1949/2043/10371/2048/5293/6092/223117/7869/54961/6586/7852/23380/5998/4776/2049/817/84628/55558/4773/10509/4233/4756/816/7220/57715/23654/5295/56896/3688/818/6405/50855/5921/5880/3985/1808/85464/219699/25791/57522/84448/9423/8440/90249/5727/5058/5590/81029/5594/23365/2932/2051/54361/54434/56920/10154/5578/6093/1969/80031/1942/1944/5335"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",178,-0.568235053069367,-1.83781010509229,2.90807953825726e-05,0.00161398414373278,0.00112751855781553,1427,"tags=46%, list=8%, signal=42%","6169/6203/3592/6218/6176/6122/6134/6187/6224/6159/2197/6171/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/6125/6139/6202/6144/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/3725/6181/6232/6209/25873/6158/7311"
"hsa05165","hsa05165","Human papillomavirus infection",290,0.568613351637201,1.71495838495638,2.42696283354801e-05,0.00161398414373278,0.00112751855781553,2877,"tags=31%, list=17%, signal=26%","3910/7474/8516/1280/2335/3655/83439/1026/155066/8503/5595/3913/10207/8324/84441/3673/9641/523/8322/3912/182/5293/2535/6772/7132/1956/1277/3691/90993/7475/7473/7481/1950/3675/55534/1027/64764/6655/9223/27175/1291/9114/5295/3688/1286/7483/50855/5526/6773/10474/5567/4851/896/1292/3696/7283/2778/7059/3679/51606/148327/5522/7855/4854/3685/8326/7477/1298/3908/3371/6932/3915/4853/2033/5590/81029/3911/5594/3672/3134/22801/1297/2932/54361/8772/8638/1101/1387/5610/284217"
"hsa04510","hsa04510","Focal adhesion",185,0.607558290892687,1.75536304417408,9.75214297943398e-05,0.00463923373164502,0.00324093774203746,2991,"tags=38%, list=17%, signal=32%","56034/3910/8516/5154/1793/1280/2335/3655/5579/8503/5595/3913/3673/2321/857/3912/7414/5293/5228/1956/1277/3691/60/3791/7423/1950/3675/4233/6655/8395/1291/2064/5295/83660/3688/1286/8394/5880/896/1292/330/3696/5155/7059/3679/3685/5602/596/1298/5923/3908/3371/3915/2909/25759/5058/5582/55742/673/3911/5594/3672/22801/1297/6464/2932/1101/284217/5578/6093"
"hsa03040","hsa03040","Spliceosome",131,-0.606805937941929,-1.89662622913218,0.000132774928298294,0.0055267563904165,0.00386095515183198,3310,"tags=47%, list=19%, signal=39%","6632/55696/10285/6625/10286/27258/10915/9984/4686/199746/55110/84991/6628/101954278/10929/55119/6427/1665/9129/51503/25804/51639/56949/51362/6430/10713/10946/10772/27339/11338/5356/3178/10450/3303/10465/3183/10907/6629/10523/7919/84844/6637/51691/11157/26121/4116/6434/3304/9128/6626/6428/6431/8175/51690/51645/6635/83443/6432/4809/6633/57819/6631"
"hsa04110","hsa04110","Cell cycle",157,-0.564386340386791,-1.78417292774598,0.000233708062488209,0.0085992544601593,0.00600738181032149,2292,"tags=20%, list=13%, signal=17%","3066/9978/9319/7465/902/10971/1874/5515/4616/595/1875/23595/7027/11200/2810/7272/898/5001/26271/9232/4173/4085/51433/5111/7529/10393/25906/5525/8454/6502/4609"
"hsa04810","hsa04810","Regulation of actin cytoskeleton",194,0.587157241973418,1.7036990132073,0.000266397892051569,0.0085992544601593,0.00600738181032149,2839,"tags=32%, list=16%, signal=27%","56034/7114/8516/5154/1793/2335/3655/26999/2263/8396/8503/5595/1131/89846/2934/3673/727/7414/22808/5293/221178/54961/2768/1956/3691/2247/60/7852/81553/1950/1132/3675/79837/6655/8395/5295/3688/8394/85477/10152/5880/3985/4628/200576/3696/5155/2245/3679/85464/3685/9459/57121/2909/7074/5058/673/5594/3672/22801/23365/57180/54434"
