"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",465,0.703431198381685,2.54549528059739,4.1559988483172e-35,1.83196429233822e-31,1.46291159460765e-31,2514,"tags=46%, list=16%, signal=40%","10885/25929/5036/55720/79066/1736/55127/51096/27340/92856/9129/23560/54700/90459/54955/51491/7514/3326/285855/8669/55692/10946/55646/10528/5433/51154/84864/8602/4927/96764/54552/51441/55759/1653/55781/23404/51010/10419/11157/79084/8562/55341/25926/55035/8607/11051/9188/26156/55027/23160/3320/8886/51018/55164/6426/55003/84881/23451/79707/10969/23517/1662/56902/51116/23212/55636/79029/23481/11137/8451/1660/26135/10813/55226/23076/84154/8161/8663/26747/54663/23378/4869/57109/84916/2091/134430/9221/10728/22803/81875/9136/26574/51575/6606/6607/79954/84128/10557/11052/84365/28987/22984/81887/121053/4686/6059/8233/117246/51001/88745/6732/79922/25879/51077/545/9416/9169/1983/51388/1968/55299/8664/23016/84811/6936/163859/708/64282/54433/10907/51602/22868/9733/317781/6129/8662/26155/54505/55006/1964/51118/10799/10480/27339/6838/255308/51068/64794/51634/11218/65095/9790/130916/128061/79833/29081/8487/54475/84135/65080/85395/10199/9669/135295/153443/10556/57647/387338/23450/5394/84946/83939/25983/54680/9879/102724159/6128/23195/55319/120379/11056/51729/51406/84549/6629/5393/79979/10248/83732/51631/64216/80135/29102/23246/192669/7520/23029/3646/29063/6635/8568/83743/11103/10514/11171/55178/1207/51747/3692/9816/9875/166378/50628"
"GO:0042254","GO:0042254","ribosome biogenesis",319,0.710479625051244,2.4773560684405,1.67254525370024e-24,3.68628973915533e-21,2.94367964651242e-21,2514,"tags=49%, list=16%, signal=42%","10885/5036/55720/79066/1736/55127/51096/27340/92856/23560/54700/90459/54955/51491/7514/285855/55646/10528/51154/84864/8602/4927/54552/51441/55759/55781/23404/51010/11157/55341/25926/55035/9188/26156/55027/23160/8886/51018/55164/55003/84881/79707/10969/23517/1662/56902/51116/23212/55636/79029/23481/11137/8451/26135/10813/55226/23076/84154/54663/23378/4869/57109/84916/2091/134430/9221/22803/81875/9136/26574/51575/79954/84128/10557/84365/28987/22984/81887/6059/117246/51001/88745/79922/25879/51077/1983/51388/55299/23016/163859/708/64282/54433/51602/22868/317781/6129/26155/54505/55006/1964/51118/10799/6838/51068/64794/65095/9790/130916/128061/29081/54475/84135/65080/85395/10199/9669/153443/10556/57647/387338/5394/84946/83939/25983/54680/102724159/6128/23195/55319/120379/11056/51729/51406/84549/5393/79979/10248/83732/64216/80135/29102/23246/7520/23029/29063/8568/83743/11103/10514/55178/3692/9816/9875/166378/50628"
"GO:0034470","GO:0034470","ncRNA processing",415,0.667046887703869,2.37048366437249,3.7626503274256e-24,5.52858754776401e-21,4.41484305084603e-21,2288,"tags=39%, list=15%, signal=34%","10885/5036/2926/3735/55720/79066/1736/55127/51096/27340/92856/23560/90459/285855/127253/55646/10528/51154/55726/51493/8602/63892/54888/51441/55759/10940/91801/1653/55781/26512/79828/23404/22916/55687/51010/11157/25926/55035/80745/9188/23369/26156/23160/8886/54517/51018/55164/84881/79707/4234/10969/23517/1662/23212/55636/23481/11137/55174/10813/56339/55226/23076/84154/87178/25821/54663/23378/57109/84916/2091/134430/9221/25940/22803/9136/81627/57508/144233/51575/79954/84128/55656/10557/123263/6741/84365/28987/22984/81887/4686/134637/60528/117246/88745/80746/79922/25879/51077/55299/23016/163859/9698/64282/54433/51602/404266/317781/6129/55253/1787/51593/55006/54802/51118/55798/10799/129450/81556/10785/55756/11062/65095/9790/130916/29081/60487/84135/65080/85395/7737/10199/153443/10556/57647/387338/5394/339175/25983/54680/102724159/54974/55623/340120/120379/11056/51729/84549/56986/5393/55250/79979/55621/10248/83732/57570/64216/80135/112858/29102/23246/192669/23029/55039"
"GO:0016072","GO:0016072","rRNA metabolic process",259,0.704686255027547,2.37936067122334,2.68364911966873e-19,2.95738132987495e-16,2.36161122530849e-16,2281,"tags=44%, list=15%, signal=38%","10885/5036/55720/79066/84172/1736/55127/51096/27340/92856/23560/90459/285855/55646/10528/51154/8602/51441/55759/55781/23404/51010/11157/25926/55035/9188/26156/23160/8886/51018/55164/84881/79707/10969/23517/1662/23212/55636/4691/23481/11137/10813/55226/23076/84154/115752/54663/23378/57109/84916/2091/134430/9221/22803/9136/51575/79954/84128/10557/284119/112495/84365/6949/28987/22984/81887/117246/88745/79922/25879/64425/51077/55299/23016/9329/163859/64282/54433/51602/317781/6129/55006/51118/10799/162989/65095/9790/130916/29081/84135/65080/85395/10199/153443/10556/57647/387338/5394/25983/54680/102724159/120379/11056/51729/84549/5393/79979/10248/83732/64216/80135/29102/23246/23029"
"GO:0006364","GO:0006364","rRNA processing",221,0.728906026462821,2.4321970167028,4.69229672146164e-18,4.13672878964058e-15,3.30337689190899e-15,2281,"tags=48%, list=15%, signal=41%","10885/5036/55720/79066/1736/55127/51096/27340/92856/23560/90459/285855/55646/10528/51154/8602/51441/55759/55781/23404/51010/11157/25926/55035/9188/26156/23160/8886/51018/55164/84881/79707/10969/23517/1662/23212/55636/23481/11137/10813/55226/23076/84154/54663/23378/57109/84916/2091/134430/9221/22803/9136/51575/79954/84128/10557/84365/28987/22984/81887/117246/88745/79922/25879/51077/55299/23016/163859/64282/54433/51602/317781/6129/55006/51118/10799/65095/9790/130916/29081/84135/65080/85395/10199/153443/10556/57647/387338/5394/25983/54680/102724159/120379/11056/51729/84549/5393/79979/10248/83732/64216/80135/29102/23246/23029"
"GO:0006397","GO:0006397","mRNA processing",447,0.563537650714867,2.00331833509515,9.42152639696465e-14,6.92168139297003e-11,5.52729548621926e-11,2886,"tags=41%, list=19%, signal=35%","25929/2926/79066/9129/55119/23028/55692/10946/201626/5433/8882/96764/84991/1653/22916/10419/11157/79084/151987/25888/11051/60493/9410/9295/54517/6426/84881/23451/23517/23435/4691/57703/53981/1660/56339/54439/25962/23076/57680/8161/3190/10189/87178/9343/4116/10915/4869/5411/64062/22803/9904/8087/1665/6606/6607/22938/51163/55149/123169/11052/6429/3312/55051/60625/4686/55285/6421/8233/83448/58517/3185/80746/6732/6427/9416/9169/8458/5511/79810/1478/84811/6936/4928/163859/708/8732/23210/64282/134353/10907/51362/10236/404266/92906/9733/1025/170506/51593/51755/55339/79637/51691/7884/27316/9128/27339/79882/55660/51634/9406/11218/8899/10450/79833/8487/51759/7737/54957/55677/10212/135295/55796/3178/8570/23450/23398/6294/9879/494115/1477/55280/104/3192/51729/140890/81608/8563/55783/6629/51631/84060/55131/55421/22985/988/9716/10285/23248/10914/6635/2332/11171/10283/58490/1207/51747/4670/50628/26986/64895/79622/5725/6434/6634/55234/10465/9667/9444/4904/5935/1479/57187/54845/4809/4236/22889/6433/6632/11338/5930/9238/10713/84950/56259"
"GO:0008380","GO:0008380","RNA splicing",421,0.560111004854719,1.96887252072162,7.72785324560106e-13,4.86633958665849e-10,3.88600620350224e-10,2886,"tags=37%, list=19%, signal=31%","25929/2926/79066/7490/9129/55119/23028/55692/10946/8882/51493/96764/84991/1653/22916/10419/11157/79084/151987/9410/9295/54517/10081/6426/84881/23451/23517/23435/4691/57703/1660/56339/25962/23076/8161/3190/10189/9343/27332/4116/10915/4869/5411/25940/9904/8087/1665/6606/6607/22938/51163/6429/3312/55051/60625/4686/55285/6421/8233/58517/3185/80746/6732/6427/9416/9169/8458/5511/84811/6936/4928/163859/708/23210/2521/10907/51362/10236/404266/92906/9733/2648/9360/51755/79637/51691/27316/9128/27339/55660/51634/9406/11218/8899/10450/79833/8487/51759/7737/54957/10199/55677/10212/135295/55796/3178/8570/23450/23398/9879/494115/55280/3192/51729/140890/8563/6629/51631/84060/55131/22985/988/9716/6100/10285/6635/2332/11171/10283/1207/51747/4670/50628/26986/79622/5725/6434/6634/55234/10465/9444/4904/5935/57187/54845/283742/4809/4236/22889/6433/6632/11338/10713/84950/56259"
"GO:0007059","GO:0007059","chromosome segregation",380,0.571033619929362,2.01907673503175,1.72729899367733e-12,9.51741745516207e-10,7.60011557218023e-10,2786,"tags=39%, list=18%, signal=33%","55355/6790/54820/55143/7153/55706/29127/10403/64151/150465/90417/81930/84722/5977/699/54801/9319/151246/5347/81610/9928/22974/27229/991/55781/701/1459/54908/3832/8697/23369/891/56647/10051/1062/64793/51143/7756/23212/11011/23063/1457/10274/11004/221150/7272/24137/56154/64682/4288/3837/51776/2491/57082/163786/56852/196528/898/9787/9183/348995/83903/81929/22919/55055/5728/27030/6732/284071/25879/79172/91272/259266/4733/10726/79677/1063/55835/9126/23172/220134/9698/57519/4361/29945/4085/8452/1104/332/79598/245711/285643/7150/29899/10592/440145/51759/146909/86/26065/144165/57405/283489/4751/1060/54984/1894/113130/55125/3192/55142/55732/3619/9184/25836/348654/9493/7156/9113/6602/9232/9874/7013/10097/605/26271/51434/8289/6605/79441/9918/8881/5901/157313/324/983/6599/81027/2908/11130/26054/8467/9700/79023/9212/51433/10460"
"GO:0022618","GO:0022618","protein-RNA complex assembly",201,0.657083706251616,2.17459769544615,1.71162675846203e-11,8.38316750144515e-09,6.69436243309594e-09,2899,"tags=42%, list=19%, signal=35%","25929/9129/3326/8669/55692/10946/5433/51154/96764/1653/10419/79084/8562/8607/11051/3320/55164/6426/23451/23212/1660/84154/8161/8663/26747/10728/6606/6607/11052/121053/4686/8233/6732/545/9416/9169/1983/1968/55299/8664/84811/6936/10907/22868/9733/8662/54505/10480/27339/255308/51634/11218/79833/8487/54475/135295/23450/54680/9879/102724159/6128/23195/120379/6629/51631/23246/192669/7520/3646/6635/11171/1207/51747/3692/50628/4839/6634/4809/22889/6433/6632/55052/10713/6135/5822"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",104,0.766404005062381,2.37822982227647,2.15837491269244e-11,9.51411661514828e-09,7.59747969267739e-09,2005,"tags=43%, list=13%, signal=38%","10885/55720/55127/51096/27340/92856/10528/8602/55781/11157/25926/23160/56902/23212/55226/4869/84916/2091/134430/9136/26574/79954/84128/28987/88745/25879/51077/51602/51118/10799/6838/65095/9790/128061/84135/85395/10199/153443/57647/5394/84946/25983/102724159/11056/51406"
