"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",74,0.791977111084021,2.2723645924192,7.54102883889664e-09,2.4734574591581e-06,1.94479164792598e-06,2162,"tags=57%, list=14%, signal=49%","10885/1736/55127/51096/92856/23560/7514/10528/54552/10940/55781/1459/102157402/55341/23160/10813/55226/1457/84916/2091/134430/22803/84128/10557/6949/28987/26354/51077/54433/51602/10799/51068/9790/84135/10199/283106/10556/102724159/23195/10248/83732/55131"
"hsa03013","hsa03013","Nucleocytoplasmic transport",102,0.699494580190927,2.11927778605458,4.07574790016263e-07,6.68422655626671e-05,5.25556966073602e-05,3185,"tags=53%, list=21%, signal=42%","55706/7514/3842/25909/3838/3843/4927/64328/22916/23165/10762/3840/55161/51808/23214/51194/10189/4116/5411/3837/55746/348995/3839/81929/4686/57510/55308/4928/26019/8480/23279/84305/10526/51068/57122/23534/129401/53371/8563/1434/22985/10527/5901/3836/6613/79023/57187/3841/23039/9631/65109/9984/9688/9939"
"hsa00140","hsa00140","Steroid hormone biosynthesis",24,-0.951075235550462,-1.90006859970324,6.28613867765719e-06,0.000687284495423853,0.000540387360009127,61,"tags=17%, list=0%, signal=17%","1645/1545/1646/1543"
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",194,-0.711396163530575,-1.7534186896536,2.20601154450202e-05,0.00180892946649165,0.00142229691684999,1322,"tags=13%, list=9%, signal=12%","56901/119391/2946/2941/2353/4513/4025/4540/196/4508/4538/5338/27/1836/4541/5337/2947/2052/5595/2948/3162/1645/1545/3725/1646/1543"
"hsa03040","hsa03040","Spliceosome",129,0.561410246218854,1.72588285755501,0.000257004468303649,0.0168594931207194,0.0132560199440829,2886,"tags=43%, list=19%, signal=35%","9129/55119/10946/84991/22916/11157/9410/6426/23451/3190/10189/9343/4116/10915/1665/22938/6429/3312/4686/58517/6427/9416/102724594/2521/10907/51362/51691/27316/9128/27339/55660/10450/3178/23450/9879/3192/51729/6629/22985/988/9716/6100/10285/6635/4670/6434/6634/10465/57187/4809/6632/11338/10713/84950/56259"
"hsa05205","hsa05205","Proteoglycans in cancer",171,-0.692690036495483,-1.68953136145755,0.00035187236583232,0.0192356893321668,0.0151243385313892,970,"tags=19%, list=6%, signal=18%","1277/6237/4609/80326/6548/1655/5336/2260/287/7474/3708/7409/6382/7124/2064/5595/7477/6385/2099/7475/288/7430/2066/8324/5329/5328/27250/1839/3791/1026/22808/7078"
"hsa05204","hsa05204","Chemical carcinogenesis - DNA adducts",22,-0.910131712756213,-1.78457024489339,0.000459554095172481,0.0210331697202501,0.0165376334449976,753,"tags=27%, list=5%, signal=26%","2947/2052/2948/1545/1646/1543"
"hsa03272","hsa03272","Virion - Hepatitis viruses",33,-0.856384719790058,-1.74784875744655,0.000513004139518294,0.0210331697202501,0.0165376334449976,734,"tags=24%, list=5%, signal=23%","3949/100506658/9076/57132/1366/1365/9073/1364"
"hsa03010","hsa03010","Ribosome",129,0.538954608031877,1.65684991548923,0.000708747461603872,0.0258299074895633,0.020309137788649,5627,"tags=63%, list=36%, signal=40%","51263/51116/51318/6129/11222/65008/29088/200916/64983/9801/6128/29074/64965/55173/65005/65003/219927/9349/6139/6154/28998/6165/64979/55052/6135/51264/6124/6164/6204/6231/54948/6228/51073/6230/63875/6125/6173/6229/6144/9045/6147/6183/6156/6169/29093/64969/51023/3921/51373/6233/6189/51081/51187/6181/6152/6133/6146/6160/6194/6187/6161/6210/6157/7311/6123/6206/6207/6170/6168/6188/6167/51065/64928/23521/51021/6222/6201/64963/6122/6158/6191"
"hsa00830","hsa00830","Retinol metabolism",23,-0.878003466260731,-1.73480376254858,0.000853955330581489,0.0280097348430728,0.0220230585255226,651,"tags=17%, list=4%, signal=17%","8854/9249/157506/1543"
