"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","cytoplasmic translation",153,-0.649990373241308,-2.9014283559214,1e-10,1.30477272727273e-08,1.0933014354067e-08,3638,"tags=67%, list=16%, signal=56%","ENSG00000070756/ENSG00000112306/ENSG00000037241/ENSG00000182774/ENSG00000231500/ENSG00000221983/ENSG00000130741/ENSG00000102081/ENSG00000164587/ENSG00000124614/ENSG00000114867/ENSG00000162244/ENSG00000115268/ENSG00000136942/ENSG00000170889/ENSG00000009307/ENSG00000138326/ENSG00000142534/ENSG00000113742/ENSG00000198918/ENSG00000147403/ENSG00000171858/ENSG00000008988/ENSG00000084623/ENSG00000161960/ENSG00000083845/ENSG00000163950/ENSG00000159217/ENSG00000177600/ENSG00000197756/ENSG00000105193/ENSG00000138668/ENSG00000145425/ENSG00000105640/ENSG00000197958/ENSG00000137154/ENSG00000185721/ENSG00000131469/ENSG00000197728/ENSG00000166441/ENSG00000122026/ENSG00000142937/ENSG00000153187/ENSG00000177954/ENSG00000143947/ENSG00000198034/ENSG00000110700/ENSG00000135316/ENSG00000118181/ENSG00000134419/ENSG00000071082/ENSG00000204628/ENSG00000156976/ENSG00000171863/ENSG00000106263/ENSG00000149273/ENSG00000163682/ENSG00000147677/ENSG00000144713/ENSG00000063177/ENSG00000142541/ENSG00000149806/ENSG00000186468/ENSG00000143486/ENSG00000135829/ENSG00000145592/ENSG00000232119/ENSG00000198242/ENSG00000161970/ENSG00000109475/ENSG00000149100/ENSG00000100353/ENSG00000174748/ENSG00000060138/ENSG00000114391/ENSG00000070785/ENSG00000142676/ENSG00000130811/ENSG00000108107/ENSG00000182899/ENSG00000161642/ENSG00000198755/ENSG00000241343/ENSG00000178982/ENSG00000100316/ENSG00000148303/ENSG00000122406/ENSG00000265681/ENSG00000104408/ENSG00000067225/ENSG00000108298/ENSG00000156482/ENSG00000163584/ENSG00000089009/ENSG00000188846/ENSG00000174444/ENSG00000100129/ENSG00000165819/ENSG00000125691/ENSG00000132478/ENSG00000147604/ENSG00000175390"
"GO:0042773","ATP synthesis coupled electron transport",93,-0.658545682463005,-2.74811693903221,1e-10,1.30477272727273e-08,1.0933014354067e-08,4634,"tags=62%, list=21%, signal=49%","ENSG00000229344/ENSG00000112695/ENSG00000090266/ENSG00000116288/ENSG00000135940/ENSG00000130414/ENSG00000184752/ENSG00000125356/ENSG00000183648/ENSG00000127184/ENSG00000189043/ENSG00000119013/ENSG00000131174/ENSG00000073578/ENSG00000178741/ENSG00000166136/ENSG00000106153/ENSG00000165678/ENSG00000136521/ENSG00000131143/ENSG00000172115/ENSG00000010256/ENSG00000170312/ENSG00000164919/ENSG00000119421/ENSG00000164258/ENSG00000109390/ENSG00000179091/ENSG00000147684/ENSG00000156467/ENSG00000198888/ENSG00000140740/ENSG00000173660/ENSG00000134057/ENSG00000158864/ENSG00000198804/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000213619/ENSG00000212907/ENSG00000198938/ENSG00000117118/ENSG00000015475/ENSG00000143252/ENSG00000110717/ENSG00000004779/ENSG00000198886/ENSG00000145494/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000140990/ENSG00000198712/ENSG00000198786/ENSG00000198727/ENSG00000127540/ENSG00000198695"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",93,-0.658545682463005,-2.74811693903221,1e-10,1.30477272727273e-08,1.0933014354067e-08,4634,"tags=62%, list=21%, signal=49%","ENSG00000229344/ENSG00000112695/ENSG00000090266/ENSG00000116288/ENSG00000135940/ENSG00000130414/ENSG00000184752/ENSG00000125356/ENSG00000183648/ENSG00000127184/ENSG00000189043/ENSG00000119013/ENSG00000131174/ENSG00000073578/ENSG00000178741/ENSG00000166136/ENSG00000106153/ENSG00000165678/ENSG00000136521/ENSG00000131143/ENSG00000172115/ENSG00000010256/ENSG00000170312/ENSG00000164919/ENSG00000119421/ENSG00000164258/ENSG00000109390/ENSG00000179091/ENSG00000147684/ENSG00000156467/ENSG00000198888/ENSG00000140740/ENSG00000173660/ENSG00000134057/ENSG00000158864/ENSG00000198804/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000213619/ENSG00000212907/ENSG00000198938/ENSG00000117118/ENSG00000015475/ENSG00000143252/ENSG00000110717/ENSG00000004779/ENSG00000198886/ENSG00000145494/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000140990/ENSG00000198712/ENSG00000198786/ENSG00000198727/ENSG00000127540/ENSG00000198695"
"GO:0046390","ribose phosphate biosynthetic process",214,-0.580018075830282,-2.72527980006599,1e-10,1.30477272727273e-08,1.0933014354067e-08,5210,"tags=57%, list=24%, signal=44%","ENSG00000115286/ENSG00000141127/ENSG00000156136/ENSG00000168291/ENSG00000005882/ENSG00000106992/ENSG00000166260/ENSG00000241468/ENSG00000143799/ENSG00000181322/ENSG00000174886/ENSG00000110955/ENSG00000061918/ENSG00000154723/ENSG00000116337/ENSG00000090266/ENSG00000103740/ENSG00000130414/ENSG00000172992/ENSG00000184752/ENSG00000125356/ENSG00000004455/ENSG00000135002/ENSG00000183648/ENSG00000160305/ENSG00000197977/ENSG00000128059/ENSG00000156110/ENSG00000119013/ENSG00000186951/ENSG00000120137/ENSG00000147123/ENSG00000170522/ENSG00000175206/ENSG00000165280/ENSG00000124172/ENSG00000197142/ENSG00000110435/ENSG00000073578/ENSG00000106348/ENSG00000166136/ENSG00000105329/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000143179/ENSG00000198276/ENSG00000119421/ENSG00000084774/ENSG00000135390/ENSG00000149925/ENSG00000241837/ENSG00000100075/ENSG00000164258/ENSG00000159199/ENSG00000109390/ENSG00000147684/ENSG00000047230/ENSG00000165996/ENSG00000198888/ENSG00000164742/ENSG00000067992/ENSG00000116459/ENSG00000131473/ENSG00000178035/ENSG00000158864/ENSG00000196839/ENSG00000176715/ENSG00000074800/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000243678/ENSG00000100504/ENSG00000173915/ENSG00000213619/ENSG00000138031/ENSG00000212907/ENSG00000198682/ENSG00000101911/ENSG00000099797/ENSG00000117118/ENSG00000165283/ENSG00000165629/ENSG00000150768/ENSG00000143252/ENSG00000110717/ENSG00000165704/ENSG00000004779/ENSG00000131828/ENSG00000097021/ENSG00000198886/ENSG00000154930/ENSG00000143158/ENSG00000103202/ENSG00000171793/ENSG00000075239/ENSG00000147224/ENSG00000066322/ENSG00000131069/ENSG00000154518/ENSG00000145494/ENSG00000012660/ENSG00000121281/ENSG00000151726/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000128050/ENSG00000138801/ENSG00000100714/ENSG00000140990/ENSG00000068366/ENSG00000198786/ENSG00000162368/ENSG00000162433/ENSG00000198695/ENSG00000004864/ENSG00000163655/ENSG00000035687/ENSG00000138363"
"GO:0009060","aerobic respiration",184,-0.59246015946508,-2.72262286550606,1e-10,1.30477272727273e-08,1.0933014354067e-08,4661,"tags=60%, list=21%, signal=48%","ENSG00000174886/ENSG00000110955/ENSG00000229344/ENSG00000154723/ENSG00000112695/ENSG00000090266/ENSG00000116288/ENSG00000135940/ENSG00000130414/ENSG00000184752/ENSG00000125356/ENSG00000125648/ENSG00000183648/ENSG00000066855/ENSG00000127184/ENSG00000129993/ENSG00000189043/ENSG00000108179/ENSG00000121691/ENSG00000119013/ENSG00000117640/ENSG00000147123/ENSG00000131174/ENSG00000197444/ENSG00000165280/ENSG00000124172/ENSG00000073578/ENSG00000178741/ENSG00000100644/ENSG00000166136/ENSG00000106153/ENSG00000166411/ENSG00000165678/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000102078/ENSG00000131143/ENSG00000172115/ENSG00000010256/ENSG00000170312/ENSG00000155463/ENSG00000164919/ENSG00000119421/ENSG00000213465/ENSG00000241837/ENSG00000164258/ENSG00000109390/ENSG00000179091/ENSG00000147684/ENSG00000156467/ENSG00000198888/ENSG00000140740/ENSG00000173660/ENSG00000134057/ENSG00000166575/ENSG00000146701/ENSG00000014641/ENSG00000116459/ENSG00000137288/ENSG00000163541/ENSG00000131473/ENSG00000138413/ENSG00000158864/ENSG00000198804/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000213619/ENSG00000119912/ENSG00000067560/ENSG00000212907/ENSG00000136381/ENSG00000176171/ENSG00000198938/ENSG00000117118/ENSG00000015475/ENSG00000165283/ENSG00000165629/ENSG00000150768/ENSG00000143252/ENSG00000146729/ENSG00000110717/ENSG00000105373/ENSG00000009950/ENSG00000004779/ENSG00000131828/ENSG00000198886/ENSG00000062485/ENSG00000134056/ENSG00000250479/ENSG00000145494/ENSG00000101365/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000113648/ENSG00000140990/ENSG00000198712/ENSG00000198786/ENSG00000198727/ENSG00000162433/ENSG00000127540/ENSG00000181192/ENSG00000198695/ENSG00000182054/ENSG00000067829/ENSG00000091483"
"GO:0009152","purine ribonucleotide biosynthetic process",194,-0.585137272357323,-2.69563953937614,1e-10,1.30477272727273e-08,1.0933014354067e-08,4770,"tags=54%, list=22%, signal=43%","ENSG00000143799/ENSG00000181322/ENSG00000174886/ENSG00000110955/ENSG00000061918/ENSG00000154723/ENSG00000116337/ENSG00000090266/ENSG00000103740/ENSG00000130414/ENSG00000172992/ENSG00000184752/ENSG00000125356/ENSG00000004455/ENSG00000183648/ENSG00000160305/ENSG00000197977/ENSG00000128059/ENSG00000156110/ENSG00000119013/ENSG00000186951/ENSG00000120137/ENSG00000147123/ENSG00000170522/ENSG00000175206/ENSG00000165280/ENSG00000124172/ENSG00000197142/ENSG00000110435/ENSG00000073578/ENSG00000106348/ENSG00000166136/ENSG00000105329/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000119421/ENSG00000135390/ENSG00000149925/ENSG00000241837/ENSG00000100075/ENSG00000164258/ENSG00000159199/ENSG00000109390/ENSG00000147684/ENSG00000165996/ENSG00000198888/ENSG00000164742/ENSG00000067992/ENSG00000116459/ENSG00000131473/ENSG00000178035/ENSG00000158864/ENSG00000196839/ENSG00000176715/ENSG00000074800/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000243678/ENSG00000173915/ENSG00000213619/ENSG00000138031/ENSG00000212907/ENSG00000198682/ENSG00000099797/ENSG00000117118/ENSG00000165283/ENSG00000165629/ENSG00000150768/ENSG00000143252/ENSG00000110717/ENSG00000165704/ENSG00000004779/ENSG00000131828/ENSG00000097021/ENSG00000198886/ENSG00000154930/ENSG00000143158/ENSG00000103202/ENSG00000075239/ENSG00000066322/ENSG00000131069/ENSG00000154518/ENSG00000145494/ENSG00000012660/ENSG00000121281/ENSG00000151726/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000128050/ENSG00000138801/ENSG00000100714/ENSG00000140990/ENSG00000068366/ENSG00000198786/ENSG00000162433/ENSG00000198695/ENSG00000004864/ENSG00000163655/ENSG00000035687/ENSG00000138363"
"GO:0022904","respiratory electron transport chain",115,-0.628870285946832,-2.69441222060172,1e-10,1.30477272727273e-08,1.0933014354067e-08,4707,"tags=61%, list=21%, signal=48%","ENSG00000178209/ENSG00000229344/ENSG00000112695/ENSG00000291237/ENSG00000055917/ENSG00000090266/ENSG00000116288/ENSG00000135940/ENSG00000105379/ENSG00000130414/ENSG00000177542/ENSG00000184752/ENSG00000125356/ENSG00000183648/ENSG00000127184/ENSG00000189043/ENSG00000119013/ENSG00000140374/ENSG00000131174/ENSG00000073578/ENSG00000132382/ENSG00000178741/ENSG00000166136/ENSG00000106153/ENSG00000165678/ENSG00000136521/ENSG00000131143/ENSG00000172115/ENSG00000010256/ENSG00000170312/ENSG00000164919/ENSG00000119421/ENSG00000042286/ENSG00000164258/ENSG00000109390/ENSG00000179091/ENSG00000147684/ENSG00000156467/ENSG00000198888/ENSG00000140740/ENSG00000173660/ENSG00000134057/ENSG00000158864/ENSG00000198804/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000213619/ENSG00000177628/ENSG00000212907/ENSG00000198938/ENSG00000117118/ENSG00000015475/ENSG00000143252/ENSG00000110717/ENSG00000004779/ENSG00000198886/ENSG00000115159/ENSG00000145494/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000140990/ENSG00000198712/ENSG00000198786/ENSG00000198727/ENSG00000127540/ENSG00000256525/ENSG00000198695/ENSG00000004864"
"GO:0045333","cellular respiration",228,-0.572447420204473,-2.69202336580037,1e-10,1.30477272727273e-08,1.0933014354067e-08,4743,"tags=57%, list=21%, signal=45%","ENSG00000186687/ENSG00000178209/ENSG00000174886/ENSG00000110955/ENSG00000229344/ENSG00000154723/ENSG00000112695/ENSG00000291237/ENSG00000055917/ENSG00000090266/ENSG00000116288/ENSG00000135940/ENSG00000105379/ENSG00000130414/ENSG00000177542/ENSG00000184752/ENSG00000138035/ENSG00000125356/ENSG00000125648/ENSG00000183648/ENSG00000066855/ENSG00000127184/ENSG00000129993/ENSG00000189043/ENSG00000108179/ENSG00000121691/ENSG00000119013/ENSG00000140374/ENSG00000117640/ENSG00000147123/ENSG00000131174/ENSG00000197444/ENSG00000165280/ENSG00000124172/ENSG00000073578/ENSG00000132382/ENSG00000122873/ENSG00000178741/ENSG00000100644/ENSG00000166136/ENSG00000106153/ENSG00000166411/ENSG00000165678/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000102078/ENSG00000131143/ENSG00000243646/ENSG00000172115/ENSG00000010256/ENSG00000170312/ENSG00000155463/ENSG00000164919/ENSG00000119421/ENSG00000042286/ENSG00000213465/ENSG00000241837/ENSG00000164258/ENSG00000109390/ENSG00000179091/ENSG00000147684/ENSG00000156467/ENSG00000198888/ENSG00000140740/ENSG00000173660/ENSG00000134057/ENSG00000166575/ENSG00000146701/ENSG00000014641/ENSG00000116459/ENSG00000137288/ENSG00000163541/ENSG00000131473/ENSG00000138413/ENSG00000158864/ENSG00000198804/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000213619/ENSG00000119912/ENSG00000067560/ENSG00000177628/ENSG00000212907/ENSG00000136381/ENSG00000176171/ENSG00000198938/ENSG00000117118/ENSG00000015475/ENSG00000165283/ENSG00000165629/ENSG00000150768/ENSG00000143252/ENSG00000146729/ENSG00000142611/ENSG00000110717/ENSG00000105373/ENSG00000009950/ENSG00000004779/ENSG00000131828/ENSG00000198886/ENSG00000115159/ENSG00000062485/ENSG00000134056/ENSG00000250479/ENSG00000145494/ENSG00000169230/ENSG00000101365/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000113648/ENSG00000140990/ENSG00000198712/ENSG00000198786/ENSG00000198727/ENSG00000162433/ENSG00000127540/ENSG00000256525/ENSG00000126602/ENSG00000181192/ENSG00000198695/ENSG00000004864/ENSG00000182054/ENSG00000067829/ENSG00000091483"
"GO:0009260","ribonucleotide biosynthetic process",208,-0.57699361897892,-2.68873466292284,1e-10,1.30477272727273e-08,1.0933014354067e-08,5146,"tags=57%, list=23%, signal=44%","ENSG00000156136/ENSG00000168291/ENSG00000005882/ENSG00000106992/ENSG00000166260/ENSG00000241468/ENSG00000143799/ENSG00000181322/ENSG00000174886/ENSG00000110955/ENSG00000061918/ENSG00000154723/ENSG00000116337/ENSG00000090266/ENSG00000103740/ENSG00000130414/ENSG00000172992/ENSG00000184752/ENSG00000125356/ENSG00000004455/ENSG00000135002/ENSG00000183648/ENSG00000160305/ENSG00000197977/ENSG00000128059/ENSG00000156110/ENSG00000119013/ENSG00000186951/ENSG00000120137/ENSG00000147123/ENSG00000170522/ENSG00000175206/ENSG00000165280/ENSG00000124172/ENSG00000197142/ENSG00000110435/ENSG00000073578/ENSG00000106348/ENSG00000166136/ENSG00000105329/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000143179/ENSG00000198276/ENSG00000119421/ENSG00000084774/ENSG00000135390/ENSG00000149925/ENSG00000241837/ENSG00000100075/ENSG00000164258/ENSG00000159199/ENSG00000109390/ENSG00000147684/ENSG00000047230/ENSG00000165996/ENSG00000198888/ENSG00000164742/ENSG00000067992/ENSG00000116459/ENSG00000131473/ENSG00000178035/ENSG00000158864/ENSG00000196839/ENSG00000176715/ENSG00000074800/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000243678/ENSG00000173915/ENSG00000213619/ENSG00000138031/ENSG00000212907/ENSG00000198682/ENSG00000099797/ENSG00000117118/ENSG00000165283/ENSG00000165629/ENSG00000150768/ENSG00000143252/ENSG00000110717/ENSG00000165704/ENSG00000004779/ENSG00000131828/ENSG00000097021/ENSG00000198886/ENSG00000154930/ENSG00000143158/ENSG00000103202/ENSG00000171793/ENSG00000075239/ENSG00000066322/ENSG00000131069/ENSG00000154518/ENSG00000145494/ENSG00000012660/ENSG00000121281/ENSG00000151726/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000128050/ENSG00000138801/ENSG00000100714/ENSG00000140990/ENSG00000068366/ENSG00000198786/ENSG00000162368/ENSG00000162433/ENSG00000198695/ENSG00000004864/ENSG00000163655/ENSG00000035687/ENSG00000138363"
"GO:0009142","nucleoside triphosphate biosynthetic process",119,-0.611250762219142,-2.63503493704992,1e-10,1.30477272727273e-08,1.0933014354067e-08,5072,"tags=61%, list=23%, signal=47%","ENSG00000106992/ENSG00000166260/ENSG00000241468/ENSG00000143799/ENSG00000181322/ENSG00000174886/ENSG00000110955/ENSG00000154723/ENSG00000090266/ENSG00000130414/ENSG00000184752/ENSG00000125356/ENSG00000183648/ENSG00000156110/ENSG00000119013/ENSG00000186951/ENSG00000147123/ENSG00000165280/ENSG00000124172/ENSG00000073578/ENSG00000106348/ENSG00000166136/ENSG00000105329/ENSG00000136521/ENSG00000167863/ENSG00000099624/ENSG00000143179/ENSG00000198276/ENSG00000119421/ENSG00000084774/ENSG00000135390/ENSG00000149925/ENSG00000241837/ENSG00000164258/ENSG00000159199/ENSG00000109390/ENSG00000147684/ENSG00000047230/ENSG00000198888/ENSG00000116459/ENSG00000178035/ENSG00000158864/ENSG00000074800/ENSG00000152234/ENSG00000165264/ENSG00000139180/ENSG00000168653/ENSG00000243678/ENSG00000173915/ENSG00000213619/ENSG00000212907/ENSG00000117118/ENSG00000165283/ENSG00000165629/ENSG00000143252/ENSG00000110717/ENSG00000004779/ENSG00000198886/ENSG00000176890/ENSG00000103202/ENSG00000171793/ENSG00000154518/ENSG00000145494/ENSG00000065518/ENSG00000023228/ENSG00000160194/ENSG00000198899/ENSG00000140990/ENSG00000198786/ENSG00000162433/ENSG00000198695/ENSG00000004864"
