"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1902652","GO:1902652","secondary alcohol metabolic process",109,-0.666016126604777,-2.48085926066548,1e-10,2.258e-08,1.81726315789474e-08,2222,"tags=43%, list=11%, signal=39%","ENSG00000213398/ENSG00000109929/ENSG00000101365/ENSG00000142168/ENSG00000141447/ENSG00000073060/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000141458/ENSG00000001630/ENSG00000149809/ENSG00000088002/ENSG00000115677/ENSG00000072310/ENSG00000148377/ENSG00000120915/ENSG00000143815/ENSG00000167315/ENSG00000142192/ENSG00000138413/ENSG00000177628/ENSG00000164211/ENSG00000116133/ENSG00000067829/ENSG00000172893/ENSG00000110921/ENSG00000121691/ENSG00000160285/ENSG00000130164/ENSG00000132196/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000057252/ENSG00000067064/ENSG00000066926/ENSG00000182054/ENSG00000079459/ENSG00000111684/ENSG00000169174/ENSG00000104549/ENSG00000112972/ENSG00000186480/ENSG00000113161"
"GO:0016125","GO:0016125","sterol metabolic process",112,-0.658029159355331,-2.46257723684511,1e-10,2.258e-08,1.81726315789474e-08,1861,"tags=39%, list=9%, signal=36%","ENSG00000142168/ENSG00000141447/ENSG00000073060/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000141458/ENSG00000106617/ENSG00000001630/ENSG00000149809/ENSG00000088002/ENSG00000115677/ENSG00000072310/ENSG00000148377/ENSG00000120915/ENSG00000143815/ENSG00000167315/ENSG00000142192/ENSG00000177628/ENSG00000164211/ENSG00000116133/ENSG00000133935/ENSG00000172893/ENSG00000110921/ENSG00000121691/ENSG00000160285/ENSG00000130164/ENSG00000132196/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000057252/ENSG00000067064/ENSG00000066926/ENSG00000079459/ENSG00000111684/ENSG00000169174/ENSG00000104549/ENSG00000112972/ENSG00000138061/ENSG00000186480/ENSG00000113161"
"GO:0016126","GO:0016126","sterol biosynthetic process",52,-0.74778077285183,-2.45253498325759,1e-10,2.258e-08,1.81726315789474e-08,1861,"tags=56%, list=9%, signal=51%","ENSG00000142168/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000106617/ENSG00000001630/ENSG00000149809/ENSG00000072310/ENSG00000148377/ENSG00000143815/ENSG00000167315/ENSG00000116133/ENSG00000133935/ENSG00000172893/ENSG00000110921/ENSG00000160285/ENSG00000132196/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000067064/ENSG00000079459/ENSG00000111684/ENSG00000104549/ENSG00000112972/ENSG00000186480/ENSG00000113161"
"GO:0008203","GO:0008203","cholesterol metabolic process",101,-0.660654561662981,-2.42806827230042,1e-10,2.258e-08,1.81726315789474e-08,1861,"tags=41%, list=9%, signal=37%","ENSG00000142168/ENSG00000141447/ENSG00000073060/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000141458/ENSG00000001630/ENSG00000149809/ENSG00000088002/ENSG00000115677/ENSG00000072310/ENSG00000148377/ENSG00000120915/ENSG00000143815/ENSG00000167315/ENSG00000142192/ENSG00000177628/ENSG00000164211/ENSG00000116133/ENSG00000172893/ENSG00000110921/ENSG00000121691/ENSG00000160285/ENSG00000130164/ENSG00000132196/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000057252/ENSG00000067064/ENSG00000066926/ENSG00000079459/ENSG00000111684/ENSG00000169174/ENSG00000104549/ENSG00000112972/ENSG00000186480/ENSG00000113161"
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process",476,-0.506927987058839,-2.21962027255052,1e-10,2.258e-08,1.81726315789474e-08,3318,"tags=36%, list=16%, signal=31%","ENSG00000084207/ENSG00000162390/ENSG00000178752/ENSG00000205560/ENSG00000099377/ENSG00000116288/ENSG00000004779/ENSG00000012779/ENSG00000100644/ENSG00000175198/ENSG00000111669/ENSG00000108479/ENSG00000197977/ENSG00000176046/ENSG00000160326/ENSG00000157870/ENSG00000122971/ENSG00000147162/ENSG00000127481/ENSG00000103089/ENSG00000078401/ENSG00000107537/ENSG00000101986/ENSG00000197894/ENSG00000117448/ENSG00000101473/ENSG00000196139/ENSG00000164708/ENSG00000143554/ENSG00000074800/ENSG00000158715/ENSG00000137331/ENSG00000213465/ENSG00000171314/ENSG00000114115/ENSG00000141959/ENSG00000111640/ENSG00000095303/ENSG00000115919/ENSG00000100219/ENSG00000158201/ENSG00000160867/ENSG00000132793/ENSG00000114166/ENSG00000146085/ENSG00000132326/ENSG00000169814/ENSG00000173599/ENSG00000115425/ENSG00000169169/ENSG00000184227/ENSG00000141447/ENSG00000091140/ENSG00000139160/ENSG00000131373/ENSG00000185950/ENSG00000087008/ENSG00000150768/ENSG00000092621/ENSG00000107798/ENSG00000141458/ENSG00000156515/ENSG00000124212/ENSG00000106617/ENSG00000111817/ENSG00000138796/ENSG00000068903/ENSG00000155368/ENSG00000143158/ENSG00000110435/ENSG00000104763/ENSG00000099797/ENSG00000143320/ENSG00000079385/ENSG00000105220/ENSG00000105379/ENSG00000109107/ENSG00000164039/ENSG00000076258/ENSG00000152556/ENSG00000103876/ENSG00000072310/ENSG00000112294/ENSG00000175567/ENSG00000143753/ENSG00000121064/ENSG00000067057/ENSG00000196177/ENSG00000278540/ENSG00000167107/ENSG00000148344/ENSG00000137106/ENSG00000165475/ENSG00000169710/ENSG00000116039/ENSG00000171132/ENSG00000157404/ENSG00000117859/ENSG00000075239/ENSG00000131828/ENSG00000100889/ENSG00000181513/ENSG00000072062/ENSG00000140043/ENSG00000005249/ENSG00000141510/ENSG00000121039/ENSG00000123983/ENSG00000110958/ENSG00000143819/ENSG00000078070/ENSG00000116171/ENSG00000102144/ENSG00000213585/ENSG00000066322/ENSG00000167315/ENSG00000142192/ENSG00000138413/ENSG00000198721/ENSG00000009950/ENSG00000140263/ENSG00000117054/ENSG00000005882/ENSG00000168765/ENSG00000164211/ENSG00000143437/ENSG00000134333/ENSG00000065833/ENSG00000111716/ENSG00000100344/ENSG00000110090/ENSG00000101670/ENSG00000168610/ENSG00000131069/ENSG00000067225/ENSG00000166816/ENSG00000136010/ENSG00000127129/ENSG00000161533/ENSG00000104823/ENSG00000114054/ENSG00000170522/ENSG00000142657/ENSG00000084754/ENSG00000144115/ENSG00000068366/ENSG00000052802/ENSG00000081760/ENSG00000131473/ENSG00000095321/ENSG00000181192/ENSG00000133835/ENSG00000067992/ENSG00000187134/ENSG00000079739/ENSG00000182054/ENSG00000134824/ENSG00000119508/ENSG00000117528/ENSG00000012660/ENSG00000151632/ENSG00000134324/ENSG00000120437/ENSG00000149485/ENSG00000184254/ENSG00000099194/ENSG00000138061/ENSG00000140465/ENSG00000186480/ENSG00000156689/ENSG00000151726"
"GO:0006066","GO:0006066","alcohol metabolic process",289,-0.53035895082176,-2.2183134535897,1e-10,2.258e-08,1.81726315789474e-08,3524,"tags=38%, list=17%, signal=32%","ENSG00000153162/ENSG00000146233/ENSG00000025423/ENSG00000151552/ENSG00000119655/ENSG00000165389/ENSG00000116288/ENSG00000159063/ENSG00000162552/ENSG00000111669/ENSG00000155158/ENSG00000108479/ENSG00000128039/ENSG00000143772/ENSG00000168447/ENSG00000197165/ENSG00000086544/ENSG00000100612/ENSG00000166228/ENSG00000197894/ENSG00000117448/ENSG00000170835/ENSG00000100003/ENSG00000196139/ENSG00000139133/ENSG00000131781/ENSG00000014257/ENSG00000132423/ENSG00000175066/ENSG00000213398/ENSG00000109929/ENSG00000101365/ENSG00000067113/ENSG00000141401/ENSG00000142168/ENSG00000135697/ENSG00000115425/ENSG00000204084/ENSG00000101188/ENSG00000141447/ENSG00000073060/ENSG00000068383/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000141458/ENSG00000006534/ENSG00000107331/ENSG00000168350/ENSG00000104763/ENSG00000001630/ENSG00000149809/ENSG00000088002/ENSG00000115677/ENSG00000072310/ENSG00000148377/ENSG00000072042/ENSG00000120915/ENSG00000100889/ENSG00000121039/ENSG00000143815/ENSG00000115159/ENSG00000162496/ENSG00000167315/ENSG00000142192/ENSG00000138413/ENSG00000111275/ENSG00000140263/ENSG00000131979/ENSG00000177628/ENSG00000164211/ENSG00000116133/ENSG00000171631/ENSG00000067829/ENSG00000042445/ENSG00000105655/ENSG00000172893/ENSG00000110921/ENSG00000131069/ENSG00000121691/ENSG00000160285/ENSG00000130164/ENSG00000132196/ENSG00000198814/ENSG00000198743/ENSG00000197943/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000141934/ENSG00000057252/ENSG00000067064/ENSG00000187134/ENSG00000066926/ENSG00000182054/ENSG00000079459/ENSG00000111684/ENSG00000151632/ENSG00000132746/ENSG00000184254/ENSG00000169174/ENSG00000104549/ENSG00000112972/ENSG00000138061/ENSG00000140465/ENSG00000186480/ENSG00000113161"
"GO:0006631","GO:0006631","fatty acid metabolic process",301,-0.524136067778229,-2.20137661534912,1e-10,2.258e-08,1.81726315789474e-08,2021,"tags=28%, list=10%, signal=26%","ENSG00000100219/ENSG00000158201/ENSG00000132793/ENSG00000114166/ENSG00000146085/ENSG00000132326/ENSG00000115425/ENSG00000169169/ENSG00000184227/ENSG00000139160/ENSG00000131373/ENSG00000185950/ENSG00000087008/ENSG00000107798/ENSG00000124212/ENSG00000106617/ENSG00000138796/ENSG00000068903/ENSG00000155368/ENSG00000104763/ENSG00000099797/ENSG00000079385/ENSG00000105379/ENSG00000164039/ENSG00000076258/ENSG00000072310/ENSG00000143753/ENSG00000196177/ENSG00000278540/ENSG00000167107/ENSG00000148344/ENSG00000165475/ENSG00000169710/ENSG00000116039/ENSG00000075239/ENSG00000100889/ENSG00000181513/ENSG00000140043/ENSG00000005249/ENSG00000123983/ENSG00000110958/ENSG00000143819/ENSG00000116171/ENSG00000066322/ENSG00000167315/ENSG00000198721/ENSG00000009950/ENSG00000117054/ENSG00000005882/ENSG00000168765/ENSG00000100344/ENSG00000110090/ENSG00000101670/ENSG00000131069/ENSG00000136010/ENSG00000127129/ENSG00000161533/ENSG00000104823/ENSG00000114054/ENSG00000170522/ENSG00000084754/ENSG00000144115/ENSG00000068366/ENSG00000052802/ENSG00000081760/ENSG00000131473/ENSG00000095321/ENSG00000133835/ENSG00000067992/ENSG00000187134/ENSG00000134824/ENSG00000119508/ENSG00000117528/ENSG00000012660/ENSG00000151632/ENSG00000134324/ENSG00000120437/ENSG00000149485/ENSG00000099194/ENSG00000138061/ENSG00000140465/ENSG00000186480/ENSG00000156689/ENSG00000151726"
"GO:0008202","GO:0008202","steroid metabolic process",225,-0.531935558094422,-2.17840412947519,1e-10,2.258e-08,1.81726315789474e-08,2222,"tags=29%, list=11%, signal=26%","ENSG00000213398/ENSG00000163399/ENSG00000104901/ENSG00000109929/ENSG00000198189/ENSG00000160867/ENSG00000142168/ENSG00000141447/ENSG00000073060/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000141458/ENSG00000107331/ENSG00000106617/ENSG00000104763/ENSG00000001630/ENSG00000149809/ENSG00000088002/ENSG00000115677/ENSG00000145545/ENSG00000072310/ENSG00000148377/ENSG00000157404/ENSG00000120915/ENSG00000117859/ENSG00000019186/ENSG00000278535/ENSG00000116171/ENSG00000143815/ENSG00000167315/ENSG00000142192/ENSG00000177628/ENSG00000164211/ENSG00000163659/ENSG00000116133/ENSG00000133935/ENSG00000172893/ENSG00000110921/ENSG00000121691/ENSG00000160285/ENSG00000130164/ENSG00000132196/ENSG00000185630/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000057252/ENSG00000161267/ENSG00000067064/ENSG00000133835/ENSG00000187134/ENSG00000066926/ENSG00000079459/ENSG00000111684/ENSG00000117528/ENSG00000151632/ENSG00000169174/ENSG00000104549/ENSG00000112972/ENSG00000138061/ENSG00000140465/ENSG00000186480/ENSG00000113161"
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process",195,-0.532501705979047,-2.14010119356087,1e-10,2.258e-08,1.81726315789474e-08,2201,"tags=29%, list=11%, signal=26%","ENSG00000144935/ENSG00000104901/ENSG00000109929/ENSG00000160867/ENSG00000141401/ENSG00000153234/ENSG00000142168/ENSG00000062038/ENSG00000132326/ENSG00000101188/ENSG00000160209/ENSG00000141447/ENSG00000147383/ENSG00000198911/ENSG00000107798/ENSG00000114251/ENSG00000107331/ENSG00000106617/ENSG00000104763/ENSG00000001630/ENSG00000149809/ENSG00000072310/ENSG00000148377/ENSG00000117859/ENSG00000100889/ENSG00000151012/ENSG00000116171/ENSG00000143815/ENSG00000167315/ENSG00000111275/ENSG00000131979/ENSG00000177628/ENSG00000164211/ENSG00000116133/ENSG00000258839/ENSG00000133935/ENSG00000171631/ENSG00000105655/ENSG00000172893/ENSG00000110921/ENSG00000160285/ENSG00000132196/ENSG00000197943/ENSG00000147155/ENSG00000052802/ENSG00000167508/ENSG00000131473/ENSG00000160752/ENSG00000067064/ENSG00000079459/ENSG00000111684/ENSG00000117528/ENSG00000104549/ENSG00000112972/ENSG00000186480/ENSG00000113161"
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process",225,-0.517205355891951,-2.1180804063896,1e-10,2.258e-08,1.81726315789474e-08,5093,"tags=47%, list=25%, signal=36%","ENSG00000125356/ENSG00000099624/ENSG00000157064/ENSG00000175206/ENSG00000156110/ENSG00000122912/ENSG00000124172/ENSG00000128609/ENSG00000174886/ENSG00000147123/ENSG00000139180/ENSG00000004864/ENSG00000170906/ENSG00000165704/ENSG00000110717/ENSG00000197142/ENSG00000147813/ENSG00000114956/ENSG00000267855/ENSG00000102125/ENSG00000168291/ENSG00000116459/ENSG00000149084/ENSG00000101911/ENSG00000110955/ENSG00000160305/ENSG00000130414/ENSG00000167863/ENSG00000198886/ENSG00000205542/ENSG00000120137/ENSG00000159899/ENSG00000212907/ENSG00000109390/ENSG00000165996/ENSG00000004779/ENSG00000168653/ENSG00000117118/ENSG00000008130/ENSG00000136521/ENSG00000197977/ENSG00000125375/ENSG00000158828/ENSG00000154027/ENSG00000185100/ENSG00000105835/ENSG00000112599/ENSG00000106992/ENSG00000183077/ENSG00000074800/ENSG00000154518/ENSG00000172890/ENSG00000106733/ENSG00000135390/ENSG00000143156/ENSG00000178035/ENSG00000198899/ENSG00000115919/ENSG00000143252/ENSG00000163655/ENSG00000165280/ENSG00000146085/ENSG00000143799/ENSG00000165629/ENSG00000147224/ENSG00000033867/ENSG00000091140/ENSG00000065518/ENSG00000150768/ENSG00000107798/ENSG00000100075/ENSG00000124212/ENSG00000198786/ENSG00000106617/ENSG00000143158/ENSG00000110435/ENSG00000099797/ENSG00000278540/ENSG00000073578/ENSG00000128050/ENSG00000075239/ENSG00000131828/ENSG00000198695/ENSG00000196839/ENSG00000152234/ENSG00000123983/ENSG00000066322/ENSG00000005882/ENSG00000061918/ENSG00000100714/ENSG00000035687/ENSG00000131069/ENSG00000103202/ENSG00000158864/ENSG00000138363/ENSG00000170522/ENSG00000068366/ENSG00000131473/ENSG00000162433/ENSG00000067992/ENSG00000012660/ENSG00000023228/ENSG00000114573/ENSG00000138801/ENSG00000103485/ENSG00000151726"
