"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0034470","ncRNA processing",418,0.378187600228047,1.79078301474435,5.03046424095684e-09,7.09924266005034e-07,5.63809136900926e-07,2996,"tags=28%, list=15%, signal=24%","ENSG00000198492/ENSG00000127804/ENSG00000152464/ENSG00000125352/ENSG00000125378/ENSG00000033030/ENSG00000172409/ENSG00000144736/ENSG00000124217/ENSG00000135482/ENSG00000136718/ENSG00000179041/ENSG00000141101/ENSG00000171861/ENSG00000122085/ENSG00000171806/ENSG00000186666/ENSG00000137760/ENSG00000138614/ENSG00000163684/ENSG00000146223/ENSG00000143751/ENSG00000132773/ENSG00000155275/ENSG00000120158/ENSG00000065457/ENSG00000178105/ENSG00000160193/ENSG00000066654/ENSG00000058729/ENSG00000172336/ENSG00000172315/ENSG00000148300/ENSG00000110060/ENSG00000198000/ENSG00000154743/ENSG00000132275/ENSG00000198874/ENSG00000166133/ENSG00000171103/ENSG00000135900/ENSG00000053372/ENSG00000162971/ENSG00000031698/ENSG00000196678/ENSG00000101945/ENSG00000164338/ENSG00000165118/ENSG00000206562/ENSG00000163877/ENSG00000134077/ENSG00000213638/ENSG00000167112/ENSG00000151576/ENSG00000077348/ENSG00000177192/ENSG00000117481/ENSG00000065183/ENSG00000179598/ENSG00000168806/ENSG00000121486/ENSG00000121274/ENSG00000177971/ENSG00000109618/ENSG00000142544/ENSG00000137275/ENSG00000146109/ENSG00000007376/ENSG00000277149/ENSG00000117597/ENSG00000179409/ENSG00000145982/ENSG00000105865/ENSG00000114503/ENSG00000126814/ENSG00000108506/ENSG00000160214/ENSG00000115761/ENSG00000100601/ENSG00000104626/ENSG00000107371/ENSG00000130299/ENSG00000169519/ENSG00000168228/ENSG00000187531/ENSG00000169057/ENSG00000064102/ENSG00000151304/ENSG00000148843/ENSG00000198585/ENSG00000241945/ENSG00000198042/ENSG00000233101/ENSG00000160256/ENSG00000182173/ENSG00000165055/ENSG00000171490/ENSG00000171316/ENSG00000130713/ENSG00000122687/ENSG00000100416/ENSG00000126070/ENSG00000196943/ENSG00000117174/ENSG00000197498/ENSG00000143748/ENSG00000160208/ENSG00000188739/ENSG00000114767/ENSG00000129347/ENSG00000198841/ENSG00000083223/ENSG00000112578/ENSG00000133316/ENSG00000105671/ENSG00000113272"
"GO:0042254","ribosome biogenesis",320,0.382782622319709,1.76852614820289,8.92964685087246e-08,1.05016367652448e-05,8.34021182847934e-06,2985,"tags=27%, list=15%, signal=23%","ENSG00000198492/ENSG00000127804/ENSG00000152464/ENSG00000143319/ENSG00000041802/ENSG00000116922/ENSG00000144736/ENSG00000085721/ENSG00000136718/ENSG00000179041/ENSG00000182810/ENSG00000141101/ENSG00000122140/ENSG00000171861/ENSG00000122085/ENSG00000170854/ENSG00000171806/ENSG00000140598/ENSG00000146223/ENSG00000143751/ENSG00000120158/ENSG00000101181/ENSG00000178105/ENSG00000058729/ENSG00000172336/ENSG00000142684/ENSG00000148300/ENSG00000198000/ENSG00000132275/ENSG00000166133/ENSG00000143633/ENSG00000171763/ENSG00000171103/ENSG00000135900/ENSG00000053372/ENSG00000196678/ENSG00000101945/ENSG00000164338/ENSG00000182768/ENSG00000077348/ENSG00000117481/ENSG00000065183/ENSG00000121274/ENSG00000177971/ENSG00000115946/ENSG00000146109/ENSG00000007376/ENSG00000117597/ENSG00000179409/ENSG00000254858/ENSG00000132603/ENSG00000148296/ENSG00000125485/ENSG00000160214/ENSG00000115761/ENSG00000104626/ENSG00000107371/ENSG00000169519/ENSG00000165699/ENSG00000168228/ENSG00000111845/ENSG00000187531/ENSG00000151304/ENSG00000148843/ENSG00000198585/ENSG00000241945/ENSG00000198042/ENSG00000160256/ENSG00000171490/ENSG00000171316/ENSG00000130713/ENSG00000122687/ENSG00000196943/ENSG00000117174/ENSG00000197498/ENSG00000143748/ENSG00000160208/ENSG00000188739/ENSG00000114767/ENSG00000129347/ENSG00000084092/ENSG00000112578/ENSG00000275700/ENSG00000133316/ENSG00000105671"
"GO:0016072","rRNA metabolic process",260,0.403750476269194,1.8073510283735,1.65448740123083e-07,1.72955210739778e-05,1.37357930640197e-05,3048,"tags=29%, list=15%, signal=25%","ENSG00000198492/ENSG00000127804/ENSG00000125630/ENSG00000152464/ENSG00000152684/ENSG00000144736/ENSG00000136718/ENSG00000179041/ENSG00000141101/ENSG00000171861/ENSG00000172123/ENSG00000122085/ENSG00000171806/ENSG00000158796/ENSG00000106723/ENSG00000146223/ENSG00000143751/ENSG00000120158/ENSG00000178105/ENSG00000058729/ENSG00000172336/ENSG00000148300/ENSG00000198000/ENSG00000147905/ENSG00000132275/ENSG00000166133/ENSG00000171103/ENSG00000135900/ENSG00000053372/ENSG00000160570/ENSG00000196678/ENSG00000101945/ENSG00000164338/ENSG00000166938/ENSG00000077348/ENSG00000117481/ENSG00000065183/ENSG00000121274/ENSG00000177971/ENSG00000146109/ENSG00000007376/ENSG00000117597/ENSG00000179409/ENSG00000160214/ENSG00000115761/ENSG00000104626/ENSG00000107371/ENSG00000169519/ENSG00000168228/ENSG00000187531/ENSG00000151304/ENSG00000148843/ENSG00000198585/ENSG00000241945/ENSG00000198042/ENSG00000160256/ENSG00000117877/ENSG00000171490/ENSG00000171316/ENSG00000125484/ENSG00000070814/ENSG00000130713/ENSG00000122687/ENSG00000196943/ENSG00000117174/ENSG00000197498/ENSG00000143748/ENSG00000160208/ENSG00000188739/ENSG00000114767/ENSG00000129347/ENSG00000112578/ENSG00000133316/ENSG00000105671/ENSG00000165732"
"GO:0009451","RNA modification",167,0.438975543160957,1.87550208046434,8.09905732253593e-07,6.92714827056293e-05,5.50141708718988e-05,3504,"tags=36%, list=17%, signal=30%","ENSG00000127804/ENSG00000162775/ENSG00000124217/ENSG00000156735/ENSG00000180917/ENSG00000171861/ENSG00000259956/ENSG00000186666/ENSG00000137760/ENSG00000197381/ENSG00000155275/ENSG00000160193/ENSG00000066654/ENSG00000110060/ENSG00000166199/ENSG00000198874/ENSG00000146457/ENSG00000166133/ENSG00000171103/ENSG00000162971/ENSG00000105879/ENSG00000031698/ENSG00000129317/ENSG00000165118/ENSG00000206562/ENSG00000134077/ENSG00000167112/ENSG00000151576/ENSG00000177192/ENSG00000117481/ENSG00000168806/ENSG00000121486/ENSG00000109618/ENSG00000142544/ENSG00000091542/ENSG00000007376/ENSG00000277149/ENSG00000105865/ENSG00000145388/ENSG00000126814/ENSG00000100601/ENSG00000130299/ENSG00000169519/ENSG00000168228/ENSG00000137574/ENSG00000165055/ENSG00000169612/ENSG00000070495/ENSG00000122687/ENSG00000100416/ENSG00000198841/ENSG00000113272/ENSG00000164944/ENSG00000135297/ENSG00000241058/ENSG00000138050/ENSG00000104047/ENSG00000090520/ENSG00000066651/ENSG00000089195"
"GO:0032259","methylation",255,0.38593947527841,1.72555444785255,8.78079615439923e-07,7.28935210170348e-05,5.7890728825985e-05,2921,"tags=28%, list=14%, signal=24%","ENSG00000127804/ENSG00000198890/ENSG00000162775/ENSG00000124275/ENSG00000143379/ENSG00000102974/ENSG00000110851/ENSG00000181555/ENSG00000180917/ENSG00000123427/ENSG00000185917/ENSG00000147548/ENSG00000171861/ENSG00000259956/ENSG00000171806/ENSG00000186666/ENSG00000137760/ENSG00000165671/ENSG00000170836/ENSG00000155275/ENSG00000160193/ENSG00000132275/ENSG00000010165/ENSG00000146457/ENSG00000171103/ENSG00000005483/ENSG00000105879/ENSG00000117000/ENSG00000061455/ENSG00000101945/ENSG00000206562/ENSG00000134077/ENSG00000110066/ENSG00000116539/ENSG00000117481/ENSG00000183955/ENSG00000168806/ENSG00000121486/ENSG00000117222/ENSG00000179299/ENSG00000032219/ENSG00000141644/ENSG00000168137/ENSG00000019485/ENSG00000145388/ENSG00000168283/ENSG00000126814/ENSG00000290994/ENSG00000130299/ENSG00000169519/ENSG00000152217/ENSG00000164603/ENSG00000168228/ENSG00000169057/ENSG00000137574/ENSG00000196363/ENSG00000165055/ENSG00000139620/ENSG00000169612/ENSG00000139718/ENSG00000122687/ENSG00000186532/ENSG00000163508/ENSG00000272333/ENSG00000103037/ENSG00000144401/ENSG00000183576/ENSG00000118894/ENSG00000057657/ENSG00000181090/ENSG00000114982"
"GO:0006364","rRNA processing",222,0.401538575770336,1.76888328989951,2.93241581268204e-06,0.000194746908971648,0.000154664507073843,3048,"tags=29%, list=15%, signal=25%","ENSG00000198492/ENSG00000127804/ENSG00000152464/ENSG00000144736/ENSG00000136718/ENSG00000179041/ENSG00000141101/ENSG00000171861/ENSG00000122085/ENSG00000171806/ENSG00000146223/ENSG00000143751/ENSG00000120158/ENSG00000178105/ENSG00000058729/ENSG00000172336/ENSG00000148300/ENSG00000198000/ENSG00000132275/ENSG00000166133/ENSG00000171103/ENSG00000135900/ENSG00000053372/ENSG00000196678/ENSG00000101945/ENSG00000164338/ENSG00000077348/ENSG00000117481/ENSG00000065183/ENSG00000121274/ENSG00000177971/ENSG00000146109/ENSG00000007376/ENSG00000117597/ENSG00000179409/ENSG00000160214/ENSG00000115761/ENSG00000104626/ENSG00000107371/ENSG00000169519/ENSG00000168228/ENSG00000187531/ENSG00000151304/ENSG00000148843/ENSG00000198585/ENSG00000241945/ENSG00000198042/ENSG00000160256/ENSG00000171490/ENSG00000171316/ENSG00000130713/ENSG00000122687/ENSG00000196943/ENSG00000117174/ENSG00000197498/ENSG00000143748/ENSG00000160208/ENSG00000188739/ENSG00000114767/ENSG00000129347/ENSG00000112578/ENSG00000133316/ENSG00000105671/ENSG00000165732"
"GO:0051101","regulation of DNA binding",72,0.554173442091454,2.04569619527879,5.62780594749317e-06,0.000324173107893867,0.000257452476158683,1435,"tags=28%, list=7%, signal=26%","ENSG00000153879/ENSG00000189060/ENSG00000123485/ENSG00000175197/ENSG00000114315/ENSG00000107485/ENSG00000120149/ENSG00000175104/ENSG00000165671/ENSG00000054598/ENSG00000142684/ENSG00000164683/ENSG00000157933/ENSG00000175595/ENSG00000100393/ENSG00000112559/ENSG00000122691/ENSG00000135547/ENSG00000048649/ENSG00000080815"
"GO:0043414","macromolecule methylation",195,0.401881852215041,1.74291585408259,1.57679944256804e-05,0.00072366120758509,0.00057471876986712,3552,"tags=33%, list=17%, signal=28%","ENSG00000127804/ENSG00000198890/ENSG00000162775/ENSG00000124275/ENSG00000143379/ENSG00000102974/ENSG00000181555/ENSG00000180917/ENSG00000123427/ENSG00000185917/ENSG00000171861/ENSG00000259956/ENSG00000171806/ENSG00000186666/ENSG00000137760/ENSG00000170836/ENSG00000155275/ENSG00000160193/ENSG00000146457/ENSG00000171103/ENSG00000005483/ENSG00000105879/ENSG00000117000/ENSG00000206562/ENSG00000134077/ENSG00000116539/ENSG00000117481/ENSG00000183955/ENSG00000168806/ENSG00000121486/ENSG00000117222/ENSG00000032219/ENSG00000141644/ENSG00000145388/ENSG00000168283/ENSG00000126814/ENSG00000130299/ENSG00000169519/ENSG00000152217/ENSG00000168228/ENSG00000169057/ENSG00000137574/ENSG00000196363/ENSG00000165055/ENSG00000139620/ENSG00000169612/ENSG00000139718/ENSG00000122687/ENSG00000163508/ENSG00000272333/ENSG00000103037/ENSG00000144401/ENSG00000183576/ENSG00000118894/ENSG00000181090/ENSG00000114982/ENSG00000164944/ENSG00000116237/ENSG00000135297/ENSG00000241058/ENSG00000138050/ENSG00000066651/ENSG00000089195/ENSG00000118058/ENSG00000099381"
"GO:0007389","pattern specification process",389,0.319155322025809,1.50998091519287,2.3744224091197e-05,0.00100779056387073,0.000800369215705644,2218,"tags=19%, list=11%, signal=17%","ENSG00000099942/ENSG00000204103/ENSG00000125378/ENSG00000175197/ENSG00000100811/ENSG00000114315/ENSG00000170561/ENSG00000164442/ENSG00000120149/ENSG00000105997/ENSG00000179981/ENSG00000180806/ENSG00000076356/ENSG00000087586/ENSG00000083093/ENSG00000005073/ENSG00000123473/ENSG00000115596/ENSG00000138771/ENSG00000134982/ENSG00000105877/ENSG00000154309/ENSG00000054598/ENSG00000167034/ENSG00000122870/ENSG00000185920/ENSG00000165506/ENSG00000164683/ENSG00000120093/ENSG00000185551/ENSG00000090776/ENSG00000123364/ENSG00000163251/ENSG00000157933/ENSG00000251493/ENSG00000121989/ENSG00000166225/ENSG00000129514/ENSG00000128714/ENSG00000100393/ENSG00000164651/ENSG00000112559/ENSG00000163093/ENSG00000165556/ENSG00000107984/ENSG00000135547/ENSG00000260027/ENSG00000101350/ENSG00000168505/ENSG00000080815/ENSG00000179598/ENSG00000120370/ENSG00000108511/ENSG00000164093/ENSG00000197757/ENSG00000115170/ENSG00000125850/ENSG00000173917/ENSG00000182742/ENSG00000099250/ENSG00000180818/ENSG00000168283/ENSG00000103126/ENSG00000066468/ENSG00000113658/ENSG00000159388/ENSG00000134138/ENSG00000123388/ENSG00000105419/ENSG00000167131/ENSG00000157557/ENSG00000185008/ENSG00000122877"
"GO:0051099","positive regulation of binding",112,0.463504517278784,1.85731108802413,2.5451056190705e-05,0.00107217322534724,0.000851500772319031,1786,"tags=21%, list=9%, signal=20%","ENSG00000153879/ENSG00000095739/ENSG00000189060/ENSG00000166173/ENSG00000125378/ENSG00000114315/ENSG00000132109/ENSG00000107485/ENSG00000104312/ENSG00000186280/ENSG00000075413/ENSG00000105974/ENSG00000175104/ENSG00000054598/ENSG00000105976/ENSG00000157933/ENSG00000101255/ENSG00000100393/ENSG00000122691/ENSG00000102805/ENSG00000101109/ENSG00000080815/ENSG00000097007/ENSG00000099250"
