"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0002181","GO:0002181","cytoplasmic translation",153,-0.779836152123032,-3.44211127136722,1e-10,8.32028985507247e-09,5.25400457665904e-09,2262,"tags=71%, list=10%, signal=64%","ENSG00000197728/ENSG00000213553/ENSG00000161016/ENSG00000037241/ENSG00000180574/ENSG00000120705/ENSG00000065548/ENSG00000130741/ENSG00000131171/ENSG00000070756/ENSG00000172809/ENSG00000165819/ENSG00000170889/ENSG00000185721/ENSG00000182774/ENSG00000169714/ENSG00000137818/ENSG00000100316/ENSG00000147403/ENSG00000140988/ENSG00000111832/ENSG00000008988/ENSG00000162244/ENSG00000149806/ENSG00000149100/ENSG00000100664/ENSG00000070785/ENSG00000229117/ENSG00000142676/ENSG00000163584/ENSG00000089157/ENSG00000204628/ENSG00000168028/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000100353/ENSG00000164587/ENSG00000136942/ENSG00000084623/ENSG00000118181/ENSG00000108298/ENSG00000137154/ENSG00000213741/ENSG00000148303/ENSG00000104408/ENSG00000171858/ENSG00000232119/ENSG00000122406/ENSG00000265681/ENSG00000142937/ENSG00000122026/ENSG00000132478/ENSG00000166441/ENSG00000114391/ENSG00000110700/ENSG00000124614/ENSG00000171863/ENSG00000174748/ENSG00000143947/ENSG00000071082/ENSG00000197756/ENSG00000145425/ENSG00000135316/ENSG00000175390/ENSG00000198034/ENSG00000109475/ENSG00000134419/ENSG00000188846/ENSG00000116251/ENSG00000105372/ENSG00000198918/ENSG00000163682/ENSG00000130811/ENSG00000142534/ENSG00000149273/ENSG00000089009/ENSG00000182899/ENSG00000241343/ENSG00000156482/ENSG00000063177/ENSG00000145592/ENSG00000186468/ENSG00000060138/ENSG00000156976/ENSG00000083845/ENSG00000112306/ENSG00000144713/ENSG00000198242/ENSG00000197958/ENSG00000125691/ENSG00000100129/ENSG00000174444/ENSG00000147604/ENSG00000233927/ENSG00000231500/ENSG00000142541/ENSG00000198755/ENSG00000105640/ENSG00000105193/ENSG00000177600/ENSG00000177954/ENSG00000115268/ENSG00000130255/ENSG00000108107/ENSG00000178982/ENSG00000221983/ENSG00000143486"
"GO:0042254","GO:0042254","ribosome biogenesis",320,-0.696747905797803,-3.34824732837072,1e-10,8.32028985507247e-09,5.25400457665904e-09,3004,"tags=54%, list=14%, signal=48%","ENSG00000117133/ENSG00000178105/ENSG00000125445/ENSG00000122140/ENSG00000029639/ENSG00000150990/ENSG00000278053/ENSG00000011260/ENSG00000143633/ENSG00000100029/ENSG00000073536/ENSG00000113460/ENSG00000129460/ENSG00000114767/ENSG00000135698/ENSG00000067334/ENSG00000135821/ENSG00000102309/ENSG00000117481/ENSG00000156256/ENSG00000198042/ENSG00000213553/ENSG00000168228/ENSG00000165271/ENSG00000037241/ENSG00000242485/ENSG00000118246/ENSG00000135763/ENSG00000273611/ENSG00000147679/ENSG00000227057/ENSG00000120699/ENSG00000123737/ENSG00000120800/ENSG00000107833/ENSG00000105447/ENSG00000138382/ENSG00000172336/ENSG00000261236/ENSG00000115761/ENSG00000130810/ENSG00000176731/ENSG00000116922/ENSG00000132603/ENSG00000165526/ENSG00000125485/ENSG00000288920/ENSG00000164346/ENSG00000122034/ENSG00000278619/ENSG00000254858/ENSG00000172809/ENSG00000151304/ENSG00000169251/ENSG00000170889/ENSG00000156469/ENSG00000052749/ENSG00000182774/ENSG00000055044/ENSG00000167272/ENSG00000142684/ENSG00000132275/ENSG00000147403/ENSG00000225921/ENSG00000197223/ENSG00000145912/ENSG00000177971/ENSG00000149716/ENSG00000183520/ENSG00000164934/ENSG00000198498/ENSG00000105671/ENSG00000155438/ENSG00000138442/ENSG00000164167/ENSG00000144736/ENSG00000100664/ENSG00000144895/ENSG00000164163/ENSG00000152464/ENSG00000182117/ENSG00000086189/ENSG00000148688/ENSG00000108561/ENSG00000105373/ENSG00000067533/ENSG00000185088/ENSG00000129347/ENSG00000142676/ENSG00000089157/ENSG00000136045/ENSG00000132341/ENSG00000168028/ENSG00000104872/ENSG00000163811/ENSG00000173674/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000170854/ENSG00000164587/ENSG00000136942/ENSG00000198000/ENSG00000053372/ENSG00000171490/ENSG00000171311/ENSG00000164338/ENSG00000117395/ENSG00000118181/ENSG00000155393/ENSG00000137154/ENSG00000148303/ENSG00000137876/ENSG00000181163/ENSG00000130713/ENSG00000171858/ENSG00000124787/ENSG00000165732/ENSG00000179041/ENSG00000122406/ENSG00000142937/ENSG00000114391/ENSG00000119616/ENSG00000146223/ENSG00000110700/ENSG00000171863/ENSG00000133316/ENSG00000134987/ENSG00000145425/ENSG00000167721/ENSG00000198034/ENSG00000162851/ENSG00000084092/ENSG00000134419/ENSG00000188846/ENSG00000077348/ENSG00000135521/ENSG00000141101/ENSG00000065183/ENSG00000105171/ENSG00000105372/ENSG00000143319/ENSG00000100138/ENSG00000142534/ENSG00000089009/ENSG00000182899/ENSG00000124784/ENSG00000111845/ENSG00000186468/ENSG00000088205/ENSG00000117597/ENSG00000083845/ENSG00000136718/ENSG00000115946/ENSG00000112306/ENSG00000197498/ENSG00000198242/ENSG00000130826/ENSG00000141076/ENSG00000147604/ENSG00000233927/ENSG00000198755/ENSG00000105193/ENSG00000119285/ENSG00000177954/ENSG00000115268/ENSG00000048162/ENSG00000105202/ENSG00000170515/ENSG00000001497/ENSG00000101361"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",467,-0.657667208828705,-3.25847635794278,1e-10,8.32028985507247e-09,5.25400457665904e-09,3144,"tags=50%, list=14%, signal=44%","ENSG00000160214/ENSG00000083635/ENSG00000125835/ENSG00000169612/ENSG00000117133/ENSG00000178105/ENSG00000125445/ENSG00000122140/ENSG00000074201/ENSG00000029639/ENSG00000150990/ENSG00000278053/ENSG00000011260/ENSG00000143633/ENSG00000100029/ENSG00000117360/ENSG00000073536/ENSG00000113460/ENSG00000129460/ENSG00000273841/ENSG00000147677/ENSG00000130520/ENSG00000114767/ENSG00000135698/ENSG00000115128/ENSG00000067334/ENSG00000076924/ENSG00000135821/ENSG00000102309/ENSG00000117481/ENSG00000172409/ENSG00000156256/ENSG00000116455/ENSG00000100650/ENSG00000079785/ENSG00000168883/ENSG00000198042/ENSG00000213553/ENSG00000183431/ENSG00000144231/ENSG00000132680/ENSG00000168228/ENSG00000165271/ENSG00000188529/ENSG00000092208/ENSG00000037241/ENSG00000110107/ENSG00000242485/ENSG00000180574/ENSG00000118246/ENSG00000135763/ENSG00000273611/ENSG00000147679/ENSG00000227057/ENSG00000120699/ENSG00000123737/ENSG00000120800/ENSG00000107833/ENSG00000105447/ENSG00000138382/ENSG00000172336/ENSG00000261236/ENSG00000130741/ENSG00000115761/ENSG00000130810/ENSG00000064703/ENSG00000176731/ENSG00000116922/ENSG00000132603/ENSG00000165526/ENSG00000125485/ENSG00000288920/ENSG00000164346/ENSG00000122034/ENSG00000278619/ENSG00000254858/ENSG00000172809/ENSG00000151304/ENSG00000169251/ENSG00000170889/ENSG00000183207/ENSG00000156469/ENSG00000052749/ENSG00000100462/ENSG00000182774/ENSG00000055044/ENSG00000167272/ENSG00000110958/ENSG00000142684/ENSG00000141759/ENSG00000125870/ENSG00000132275/ENSG00000147403/ENSG00000225921/ENSG00000198563/ENSG00000197223/ENSG00000145912/ENSG00000177971/ENSG00000149716/ENSG00000183520/ENSG00000100410/ENSG00000164934/ENSG00000198498/ENSG00000105671/ENSG00000155438/ENSG00000143977/ENSG00000149100/ENSG00000138442/ENSG00000164167/ENSG00000105618/ENSG00000144736/ENSG00000100664/ENSG00000144895/ENSG00000164163/ENSG00000152464/ENSG00000182117/ENSG00000086189/ENSG00000152147/ENSG00000148688/ENSG00000108561/ENSG00000105373/ENSG00000067533/ENSG00000096063/ENSG00000185088/ENSG00000129347/ENSG00000142676/ENSG00000007392/ENSG00000154548/ENSG00000089157/ENSG00000136045/ENSG00000132341/ENSG00000168028/ENSG00000104872/ENSG00000163811/ENSG00000173674/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000100353/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000170854/ENSG00000164587/ENSG00000136942/ENSG00000175792/ENSG00000198000/ENSG00000053372/ENSG00000142252/ENSG00000171490/ENSG00000124193/ENSG00000171311/ENSG00000104897/ENSG00000164338/ENSG00000084623/ENSG00000117395/ENSG00000118181/ENSG00000023734/ENSG00000155393/ENSG00000137154/ENSG00000148303/ENSG00000137876/ENSG00000104408/ENSG00000181163/ENSG00000130713/ENSG00000171858/ENSG00000232119/ENSG00000124787/ENSG00000165732/ENSG00000179041/ENSG00000182004/ENSG00000122406/ENSG00000142937/ENSG00000114391/ENSG00000119616/ENSG00000169976/ENSG00000146223/ENSG00000110700/ENSG00000171863/ENSG00000133316/ENSG00000105248/ENSG00000134987/ENSG00000145425/ENSG00000167721/ENSG00000175390/ENSG00000198034/ENSG00000162851/ENSG00000084092/ENSG00000134419/ENSG00000188846/ENSG00000077348/ENSG00000135521/ENSG00000141101/ENSG00000065183/ENSG00000105171/ENSG00000105372/ENSG00000143319/ENSG00000100138/ENSG00000130811/ENSG00000142534/ENSG00000089009/ENSG00000182899/ENSG00000124784/ENSG00000125743/ENSG00000111845/ENSG00000186468/ENSG00000088205/ENSG00000117597/ENSG00000083845/ENSG00000151131/ENSG00000136718/ENSG00000115946/ENSG00000112306/ENSG00000204392/ENSG00000197498/ENSG00000198242/ENSG00000100129/ENSG00000130826/ENSG00000141076/ENSG00000147604/ENSG00000233927/ENSG00000142541/ENSG00000198755/ENSG00000105193/ENSG00000124562/ENSG00000119285/ENSG00000177954/ENSG00000115268/ENSG00000048162/ENSG00000105202/ENSG00000178982/ENSG00000170515/ENSG00000143486/ENSG00000001497/ENSG00000101361"
"GO:0006364","GO:0006364","rRNA processing",222,-0.691868895543878,-3.21281692599441,1e-10,8.32028985507247e-09,5.25400457665904e-09,4284,"tags=63%, list=19%, signal=51%","ENSG00000109536/ENSG00000058729/ENSG00000291151/ENSG00000160256/ENSG00000115368/ENSG00000117419/ENSG00000101546/ENSG00000117174/ENSG00000182362/ENSG00000109534/ENSG00000135900/ENSG00000145220/ENSG00000148300/ENSG00000135372/ENSG00000107371/ENSG00000291035/ENSG00000145414/ENSG00000277027/ENSG00000198492/ENSG00000184967/ENSG00000173113/ENSG00000171103/ENSG00000130935/ENSG00000160214/ENSG00000117133/ENSG00000178105/ENSG00000029639/ENSG00000150990/ENSG00000278053/ENSG00000011260/ENSG00000100029/ENSG00000113460/ENSG00000129460/ENSG00000114767/ENSG00000135698/ENSG00000102309/ENSG00000117481/ENSG00000198042/ENSG00000168228/ENSG00000165271/ENSG00000273611/ENSG00000147679/ENSG00000227057/ENSG00000120699/ENSG00000123737/ENSG00000120800/ENSG00000107833/ENSG00000138382/ENSG00000172336/ENSG00000261236/ENSG00000115761/ENSG00000130810/ENSG00000165526/ENSG00000164346/ENSG00000278619/ENSG00000151304/ENSG00000052749/ENSG00000182774/ENSG00000055044/ENSG00000167272/ENSG00000132275/ENSG00000197223/ENSG00000145912/ENSG00000177971/ENSG00000183520/ENSG00000164934/ENSG00000105671/ENSG00000155438/ENSG00000138442/ENSG00000164167/ENSG00000144736/ENSG00000152464/ENSG00000182117/ENSG00000086189/ENSG00000148688/ENSG00000105373/ENSG00000067533/ENSG00000129347/ENSG00000142676/ENSG00000136045/ENSG00000104872/ENSG00000163811/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000164587/ENSG00000136942/ENSG00000198000/ENSG00000053372/ENSG00000171490/ENSG00000171311/ENSG00000164338/ENSG00000117395/ENSG00000118181/ENSG00000137154/ENSG00000148303/ENSG00000130713/ENSG00000171858/ENSG00000124787/ENSG00000165732/ENSG00000179041/ENSG00000122406/ENSG00000142937/ENSG00000119616/ENSG00000146223/ENSG00000171863/ENSG00000133316/ENSG00000134987/ENSG00000167721/ENSG00000162851/ENSG00000188846/ENSG00000077348/ENSG00000141101/ENSG00000065183/ENSG00000105171/ENSG00000105372/ENSG00000100138/ENSG00000182899/ENSG00000124784/ENSG00000088205/ENSG00000117597/ENSG00000136718/ENSG00000197498/ENSG00000130826/ENSG00000141076/ENSG00000147604/ENSG00000233927/ENSG00000198755/ENSG00000105193/ENSG00000119285/ENSG00000177954/ENSG00000115268/ENSG00000105202/ENSG00000170515/ENSG00000001497/ENSG00000101361"
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis",104,-0.770575031011477,-3.20136810547705,1e-10,8.32028985507247e-09,5.25400457665904e-09,2980,"tags=68%, list=13%, signal=59%","ENSG00000125445/ENSG00000150990/ENSG00000278053/ENSG00000011260/ENSG00000143633/ENSG00000129460/ENSG00000114767/ENSG00000067334/ENSG00000165271/ENSG00000147679/ENSG00000227057/ENSG00000120800/ENSG00000115761/ENSG00000288920/ENSG00000172809/ENSG00000151304/ENSG00000170889/ENSG00000182774/ENSG00000055044/ENSG00000225921/ENSG00000177971/ENSG00000183520/ENSG00000164934/ENSG00000164167/ENSG00000086189/ENSG00000185088/ENSG00000129347/ENSG00000168028/ENSG00000163811/ENSG00000138326/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000164587/ENSG00000164338/ENSG00000118181/ENSG00000137154/ENSG00000181163/ENSG00000171858/ENSG00000124787/ENSG00000179041/ENSG00000142937/ENSG00000119616/ENSG00000110700/ENSG00000171863/ENSG00000134987/ENSG00000145425/ENSG00000167721/ENSG00000198034/ENSG00000134419/ENSG00000135521/ENSG00000141101/ENSG00000065183/ENSG00000105372/ENSG00000100138/ENSG00000142534/ENSG00000124784/ENSG00000186468/ENSG00000117597/ENSG00000083845/ENSG00000136718/ENSG00000115946/ENSG00000112306/ENSG00000141076/ENSG00000233927/ENSG00000105193/ENSG00000119285/ENSG00000177954/ENSG00000115268/ENSG00000105202/ENSG00000101361"
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis",75,-0.802744396118036,-3.14922183999037,1e-10,8.32028985507247e-09,5.25400457665904e-09,2705,"tags=69%, list=12%, signal=61%","ENSG00000100029/ENSG00000073536/ENSG00000113460/ENSG00000198042/ENSG00000213553/ENSG00000037241/ENSG00000242485/ENSG00000118246/ENSG00000273611/ENSG00000261236/ENSG00000130810/ENSG00000116922/ENSG00000132603/ENSG00000164346/ENSG00000122034/ENSG00000172809/ENSG00000147403/ENSG00000145912/ENSG00000149716/ENSG00000198498/ENSG00000155438/ENSG00000138442/ENSG00000105373/ENSG00000067533/ENSG00000142676/ENSG00000089157/ENSG00000161970/ENSG00000136942/ENSG00000053372/ENSG00000171490/ENSG00000117395/ENSG00000155393/ENSG00000148303/ENSG00000137876/ENSG00000181163/ENSG00000179041/ENSG00000122406/ENSG00000114391/ENSG00000146223/ENSG00000133316/ENSG00000188846/ENSG00000100138/ENSG00000089009/ENSG00000182899/ENSG00000111845/ENSG00000088205/ENSG00000197498/ENSG00000198242/ENSG00000147604/ENSG00000198755/ENSG00000048162/ENSG00000001497"
"GO:0016072","GO:0016072","rRNA metabolic process",260,-0.656317253525375,-3.0996719589164,1e-10,8.32028985507247e-09,5.25400457665904e-09,4559,"tags=61%, list=21%, signal=49%","ENSG00000122085/ENSG00000160570/ENSG00000104884/ENSG00000124541/ENSG00000172183/ENSG00000241945/ENSG00000109536/ENSG00000058729/ENSG00000291151/ENSG00000160256/ENSG00000115368/ENSG00000117419/ENSG00000101546/ENSG00000117174/ENSG00000099956/ENSG00000182362/ENSG00000109534/ENSG00000135900/ENSG00000145220/ENSG00000148300/ENSG00000135372/ENSG00000107371/ENSG00000291035/ENSG00000145414/ENSG00000127616/ENSG00000277027/ENSG00000198492/ENSG00000184967/ENSG00000115750/ENSG00000173113/ENSG00000171103/ENSG00000130935/ENSG00000160214/ENSG00000117133/ENSG00000178105/ENSG00000029639/ENSG00000150990/ENSG00000278053/ENSG00000011260/ENSG00000166986/ENSG00000100029/ENSG00000113460/ENSG00000129460/ENSG00000114767/ENSG00000135698/ENSG00000102309/ENSG00000117481/ENSG00000198042/ENSG00000168228/ENSG00000165271/ENSG00000273611/ENSG00000152684/ENSG00000147679/ENSG00000227057/ENSG00000120699/ENSG00000123737/ENSG00000137054/ENSG00000120800/ENSG00000107833/ENSG00000147905/ENSG00000138382/ENSG00000172336/ENSG00000261236/ENSG00000115761/ENSG00000130810/ENSG00000165526/ENSG00000164346/ENSG00000122034/ENSG00000278619/ENSG00000151304/ENSG00000123144/ENSG00000052749/ENSG00000182774/ENSG00000055044/ENSG00000167272/ENSG00000132275/ENSG00000197223/ENSG00000145912/ENSG00000177971/ENSG00000183520/ENSG00000164934/ENSG00000105671/ENSG00000155438/ENSG00000138442/ENSG00000164167/ENSG00000144736/ENSG00000113648/ENSG00000152464/ENSG00000182117/ENSG00000086189/ENSG00000148688/ENSG00000105373/ENSG00000067533/ENSG00000129347/ENSG00000142676/ENSG00000136045/ENSG00000155115/ENSG00000104872/ENSG00000163811/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000164587/ENSG00000136942/ENSG00000198000/ENSG00000053372/ENSG00000171490/ENSG00000171311/ENSG00000164338/ENSG00000117395/ENSG00000118181/ENSG00000137154/ENSG00000148303/ENSG00000130713/ENSG00000171858/ENSG00000124787/ENSG00000165732/ENSG00000179041/ENSG00000122406/ENSG00000142937/ENSG00000119616/ENSG00000146223/ENSG00000171863/ENSG00000133316/ENSG00000134987/ENSG00000167721/ENSG00000162851/ENSG00000188846/ENSG00000077348/ENSG00000141101/ENSG00000065183/ENSG00000105171/ENSG00000105372/ENSG00000100138/ENSG00000182899/ENSG00000124784/ENSG00000088205/ENSG00000117597/ENSG00000136718/ENSG00000197498/ENSG00000125630/ENSG00000130826/ENSG00000141076/ENSG00000147604/ENSG00000233927/ENSG00000198755/ENSG00000105193/ENSG00000119285/ENSG00000177954/ENSG00000115268/ENSG00000105202/ENSG00000117877/ENSG00000170515/ENSG00000001497/ENSG00000101361"
"GO:0034470","GO:0034470","ncRNA processing",419,-0.589500616051395,-2.89188783387439,1e-10,8.32028985507247e-09,5.25400457665904e-09,4791,"tags=56%, list=22%, signal=45%","ENSG00000055917/ENSG00000166197/ENSG00000127054/ENSG00000134077/ENSG00000112578/ENSG00000087269/ENSG00000108651/ENSG00000180228/ENSG00000084073/ENSG00000122085/ENSG00000087302/ENSG00000104884/ENSG00000087995/ENSG00000198860/ENSG00000138785/ENSG00000124541/ENSG00000101391/ENSG00000172183/ENSG00000241945/ENSG00000213638/ENSG00000109536/ENSG00000058729/ENSG00000291151/ENSG00000160256/ENSG00000115368/ENSG00000162971/ENSG00000117419/ENSG00000101546/ENSG00000117174/ENSG00000068438/ENSG00000164967/ENSG00000182362/ENSG00000109534/ENSG00000135900/ENSG00000165055/ENSG00000145220/ENSG00000148300/ENSG00000132773/ENSG00000135372/ENSG00000031698/ENSG00000107371/ENSG00000291035/ENSG00000138385/ENSG00000043514/ENSG00000145414/ENSG00000277027/ENSG00000170291/ENSG00000138035/ENSG00000198492/ENSG00000113272/ENSG00000184967/ENSG00000183665/ENSG00000174177/ENSG00000173113/ENSG00000138614/ENSG00000171103/ENSG00000092094/ENSG00000130935/ENSG00000170365/ENSG00000136937/ENSG00000164362/ENSG00000135974/ENSG00000177192/ENSG00000160214/ENSG00000154743/ENSG00000176261/ENSG00000117133/ENSG00000197181/ENSG00000178105/ENSG00000110060/ENSG00000122435/ENSG00000029639/ENSG00000150990/ENSG00000278053/ENSG00000160193/ENSG00000011260/ENSG00000130299/ENSG00000100601/ENSG00000100029/ENSG00000196449/ENSG00000072756/ENSG00000119812/ENSG00000113460/ENSG00000129460/ENSG00000114767/ENSG00000174173/ENSG00000135698/ENSG00000102309/ENSG00000117481/ENSG00000172409/ENSG00000178997/ENSG00000143493/ENSG00000104613/ENSG00000079785/ENSG00000198042/ENSG00000151576/ENSG00000168228/ENSG00000165271/ENSG00000168806/ENSG00000198841/ENSG00000109911/ENSG00000273611/ENSG00000100220/ENSG00000147679/ENSG00000227057/ENSG00000120699/ENSG00000123737/ENSG00000154813/ENSG00000163684/ENSG00000120800/ENSG00000107833/ENSG00000123600/ENSG00000126814/ENSG00000138382/ENSG00000172336/ENSG00000261236/ENSG00000115761/ENSG00000130810/ENSG00000165526/ENSG00000136932/ENSG00000164346/ENSG00000241370/ENSG00000278619/ENSG00000151304/ENSG00000165819/ENSG00000052749/ENSG00000107614/ENSG00000182774/ENSG00000055044/ENSG00000167272/ENSG00000145331/ENSG00000132275/ENSG00000142544/ENSG00000144034/ENSG00000211460/ENSG00000197223/ENSG00000170270/ENSG00000145912/ENSG00000177971/ENSG00000104047/ENSG00000183520/ENSG00000164934/ENSG00000105671/ENSG00000155438/ENSG00000138442/ENSG00000164167/ENSG00000144736/ENSG00000172315/ENSG00000138050/ENSG00000152464/ENSG00000182117/ENSG00000086189/ENSG00000148688/ENSG00000105373/ENSG00000145982/ENSG00000067533/ENSG00000129347/ENSG00000142676/ENSG00000136045/ENSG00000187772/ENSG00000104872/ENSG00000104907/ENSG00000066651/ENSG00000163811/ENSG00000138326/ENSG00000131469/ENSG00000161970/ENSG00000272047/ENSG00000120158/ENSG00000146109/ENSG00000164587/ENSG00000136942/ENSG00000198000/ENSG00000053372/ENSG00000112081/ENSG00000171490/ENSG00000171311/ENSG00000164338/ENSG00000091127/ENSG00000117395/ENSG00000118181/ENSG00000033030/ENSG00000113569/ENSG00000137154/ENSG00000148303/ENSG00000130713/ENSG00000171858/ENSG00000124787/ENSG00000165732/ENSG00000179041/ENSG00000122406/ENSG00000142937/ENSG00000132463/ENSG00000064102/ENSG00000119616/ENSG00000135297/ENSG00000146223/ENSG00000171863/ENSG00000133316/ENSG00000134987/ENSG00000167721/ENSG00000162851/ENSG00000115970/ENSG00000188846/ENSG00000077348/ENSG00000141101/ENSG00000065183/ENSG00000105171/ENSG00000105372/ENSG00000100138/ENSG00000189007/ENSG00000182899/ENSG00000124784/ENSG00000213339/ENSG00000088205/ENSG00000117597/ENSG00000136718/ENSG00000197498/ENSG00000130826/ENSG00000141076/ENSG00000147604/ENSG00000233927/ENSG00000198755/ENSG00000105193/ENSG00000037897/ENSG00000119285/ENSG00000141994/ENSG00000177954/ENSG00000115268/ENSG00000134759/ENSG00000105202/ENSG00000065427/ENSG00000145996/ENSG00000170515/ENSG00000001497/ENSG00000101361"
"GO:0042255","GO:0042255","ribosome assembly",63,-0.754619862374654,-2.86390623669254,1e-10,8.32028985507247e-09,5.25400457665904e-09,2980,"tags=65%, list=13%, signal=56%","ENSG00000125445/ENSG00000122140/ENSG00000150990/ENSG00000073536/ENSG00000113460/ENSG00000213553/ENSG00000242485/ENSG00000118246/ENSG00000261236/ENSG00000130810/ENSG00000132603/ENSG00000288920/ENSG00000254858/ENSG00000172809/ENSG00000156469/ENSG00000147403/ENSG00000100664/ENSG00000144895/ENSG00000108561/ENSG00000105373/ENSG00000185088/ENSG00000142676/ENSG00000089157/ENSG00000168028/ENSG00000173674/ENSG00000146109/ENSG00000164587/ENSG00000053372/ENSG00000181163/ENSG00000179041/ENSG00000122406/ENSG00000114391/ENSG00000084092/ENSG00000105372/ENSG00000089009/ENSG00000083845/ENSG00000197498/ENSG00000198242/ENSG00000233927/ENSG00000177954/ENSG00000115268"
"GO:0022618","GO:0022618","protein-RNA complex assembly",202,-0.620197811095541,-2.85591431366178,1e-10,8.32028985507247e-09,5.25400457665904e-09,3139,"tags=47%, list=14%, signal=41%","ENSG00000083635/ENSG00000125835/ENSG00000169612/ENSG00000125445/ENSG00000074201/ENSG00000117360/ENSG00000073536/ENSG00000113460/ENSG00000273841/ENSG00000147677/ENSG00000130520/ENSG00000115128/ENSG00000076924/ENSG00000172409/ENSG00000116455/ENSG00000100650/ENSG00000079785/ENSG00000168883/ENSG00000213553/ENSG00000183431/ENSG00000144231/ENSG00000132680/ENSG00000188529/ENSG00000092208/ENSG00000110107/ENSG00000242485/ENSG00000180574/ENSG00000118246/ENSG00000273611/ENSG00000261236/ENSG00000130741/ENSG00000130810/ENSG00000064703/ENSG00000288920/ENSG00000172809/ENSG00000183207/ENSG00000100462/ENSG00000110958/ENSG00000141759/ENSG00000125870/ENSG00000147403/ENSG00000198563/ENSG00000100410/ENSG00000143977/ENSG00000149100/ENSG00000105618/ENSG00000144736/ENSG00000100664/ENSG00000152147/ENSG00000105373/ENSG00000096063/ENSG00000185088/ENSG00000142676/ENSG00000007392/ENSG00000154548/ENSG00000089157/ENSG00000168028/ENSG00000104872/ENSG00000100353/ENSG00000146109/ENSG00000164587/ENSG00000175792/ENSG00000053372/ENSG00000142252/ENSG00000124193/ENSG00000104897/ENSG00000084623/ENSG00000023734/ENSG00000104408/ENSG00000232119/ENSG00000179041/ENSG00000182004/ENSG00000122406/ENSG00000114391/ENSG00000169976/ENSG00000105248/ENSG00000175390/ENSG00000105372/ENSG00000100138/ENSG00000130811/ENSG00000089009/ENSG00000125743/ENSG00000083845/ENSG00000151131/ENSG00000204392/ENSG00000197498/ENSG00000198242/ENSG00000100129/ENSG00000233927/ENSG00000142541/ENSG00000124562/ENSG00000177954/ENSG00000115268/ENSG00000178982/ENSG00000143486"
