"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0050770","regulation of axonogenesis",142,0.618651394546867,2.45255906598622,1e-10,8.08591549295775e-09,5.15196441808747e-09,4068,"tags=51%, list=18%, signal=42%","ENSG00000099250/ENSG00000143320/ENSG00000083290/ENSG00000114251/ENSG00000078018/ENSG00000108830/ENSG00000075223/ENSG00000115414/ENSG00000076356/ENSG00000170558/ENSG00000203879/ENSG00000167680/ENSG00000047597/ENSG00000145147/ENSG00000197283/ENSG00000165731/ENSG00000108947/ENSG00000116106/ENSG00000075213/ENSG00000181754/ENSG00000168779/ENSG00000039068/ENSG00000133216/ENSG00000160469/ENSG00000004399/ENSG00000185008/ENSG00000153993/ENSG00000012171/ENSG00000162946/ENSG00000131711/ENSG00000108379/ENSG00000182580/ENSG00000130827/ENSG00000185033/ENSG00000171533/ENSG00000197892/ENSG00000186868/ENSG00000154645/ENSG00000095539/ENSG00000196576/ENSG00000040608/ENSG00000174672/ENSG00000001617/ENSG00000008086/ENSG00000065320/ENSG00000176697/ENSG00000160007/ENSG00000156299/ENSG00000149269/ENSG00000198742/ENSG00000134569/ENSG00000157764/ENSG00000082701/ENSG00000163462/ENSG00000148053/ENSG00000010319/ENSG00000136040/ENSG00000007168/ENSG00000187164/ENSG00000053108/ENSG00000137872/ENSG00000169242/ENSG00000127603/ENSG00000179242/ENSG00000127870/ENSG00000094631/ENSG00000106683/ENSG00000100503/ENSG00000168758/ENSG00000169855/ENSG00000182175/ENSG00000103260"
"GO:0007409","axonogenesis",390,0.535899638557446,2.36863419999195,1e-10,8.08591549295775e-09,5.15196441808747e-09,4068,"tags=42%, list=18%, signal=35%","ENSG00000099250/ENSG00000143320/ENSG00000149557/ENSG00000083290/ENSG00000114251/ENSG00000273706/ENSG00000078018/ENSG00000173402/ENSG00000108830/ENSG00000075223/ENSG00000166963/ENSG00000171246/ENSG00000118276/ENSG00000115414/ENSG00000130203/ENSG00000076356/ENSG00000170558/ENSG00000055163/ENSG00000105290/ENSG00000066468/ENSG00000214944/ENSG00000203879/ENSG00000167680/ENSG00000127152/ENSG00000047597/ENSG00000172037/ENSG00000182168/ENSG00000075891/ENSG00000121871/ENSG00000171956/ENSG00000145147/ENSG00000197283/ENSG00000165731/ENSG00000204852/ENSG00000165801/ENSG00000108947/ENSG00000108797/ENSG00000116106/ENSG00000168280/ENSG00000075213/ENSG00000084234/ENSG00000181754/ENSG00000168779/ENSG00000039068/ENSG00000133216/ENSG00000160469/ENSG00000104967/ENSG00000035403/ENSG00000004399/ENSG00000118263/ENSG00000185008/ENSG00000153993/ENSG00000158321/ENSG00000107485/ENSG00000012171/ENSG00000162946/ENSG00000106689/ENSG00000131711/ENSG00000143355/ENSG00000173482/ENSG00000174684/ENSG00000136854/ENSG00000075624/ENSG00000091129/ENSG00000162614/ENSG00000184347/ENSG00000108379/ENSG00000182580/ENSG00000183317/ENSG00000196358/ENSG00000130827/ENSG00000142192/ENSG00000185033/ENSG00000171533/ENSG00000197892/ENSG00000186868/ENSG00000067141/ENSG00000153404/ENSG00000006468/ENSG00000154645/ENSG00000166579/ENSG00000095539/ENSG00000141736/ENSG00000074047/ENSG00000196576/ENSG00000133083/ENSG00000106078/ENSG00000157851/ENSG00000150093/ENSG00000040608/ENSG00000149972/ENSG00000174672/ENSG00000001617/ENSG00000148400/ENSG00000129116/ENSG00000148357/ENSG00000136352/ENSG00000106571/ENSG00000074181/ENSG00000143032/ENSG00000038382/ENSG00000111678/ENSG00000154277/ENSG00000171791/ENSG00000008086/ENSG00000107731/ENSG00000004848/ENSG00000139174/ENSG00000149294/ENSG00000151150/ENSG00000065320/ENSG00000196569/ENSG00000151490/ENSG00000113763/ENSG00000176697/ENSG00000185920/ENSG00000121454/ENSG00000160007/ENSG00000156299/ENSG00000134250/ENSG00000149269/ENSG00000198742/ENSG00000134569/ENSG00000157764/ENSG00000007372/ENSG00000082701/ENSG00000106123/ENSG00000148704/ENSG00000163462/ENSG00000148053/ENSG00000173786/ENSG00000005810/ENSG00000010319/ENSG00000105711/ENSG00000147862/ENSG00000136040/ENSG00000166313/ENSG00000007168/ENSG00000073921/ENSG00000170759/ENSG00000187164/ENSG00000053108/ENSG00000137872/ENSG00000196155/ENSG00000169242/ENSG00000127603/ENSG00000143590/ENSG00000141622/ENSG00000085733/ENSG00000179242/ENSG00000127870/ENSG00000094631/ENSG00000143013/ENSG00000165533/ENSG00000165588/ENSG00000106683/ENSG00000164742/ENSG00000097007/ENSG00000100503/ENSG00000168758/ENSG00000169855/ENSG00000182175/ENSG00000103260"
"GO:0061564","axon development",438,0.529179758711188,2.3648215573658,1e-10,8.08591549295775e-09,5.15196441808747e-09,4100,"tags=41%, list=19%, signal=34%","ENSG00000099250/ENSG00000143320/ENSG00000149557/ENSG00000083290/ENSG00000157064/ENSG00000114251/ENSG00000273706/ENSG00000078018/ENSG00000173402/ENSG00000108830/ENSG00000075223/ENSG00000087245/ENSG00000166963/ENSG00000171246/ENSG00000118276/ENSG00000115414/ENSG00000130203/ENSG00000076356/ENSG00000170558/ENSG00000055163/ENSG00000114646/ENSG00000105290/ENSG00000185924/ENSG00000066468/ENSG00000214944/ENSG00000203879/ENSG00000167680/ENSG00000127152/ENSG00000047597/ENSG00000172037/ENSG00000182168/ENSG00000075891/ENSG00000121871/ENSG00000171956/ENSG00000145147/ENSG00000197283/ENSG00000165731/ENSG00000204852/ENSG00000165801/ENSG00000108947/ENSG00000108797/ENSG00000116106/ENSG00000168280/ENSG00000075213/ENSG00000084234/ENSG00000181754/ENSG00000168779/ENSG00000039068/ENSG00000133216/ENSG00000160469/ENSG00000104967/ENSG00000035403/ENSG00000004399/ENSG00000118263/ENSG00000185008/ENSG00000153993/ENSG00000158321/ENSG00000107485/ENSG00000012171/ENSG00000162946/ENSG00000106689/ENSG00000131711/ENSG00000143355/ENSG00000186907/ENSG00000173482/ENSG00000174684/ENSG00000136854/ENSG00000183762/ENSG00000075624/ENSG00000091129/ENSG00000162614/ENSG00000184347/ENSG00000108379/ENSG00000044115/ENSG00000182580/ENSG00000183317/ENSG00000196358/ENSG00000184221/ENSG00000130827/ENSG00000142192/ENSG00000185033/ENSG00000171533/ENSG00000197892/ENSG00000186868/ENSG00000067141/ENSG00000153404/ENSG00000006468/ENSG00000154645/ENSG00000166579/ENSG00000095539/ENSG00000141736/ENSG00000074047/ENSG00000196576/ENSG00000133083/ENSG00000106078/ENSG00000157851/ENSG00000150093/ENSG00000040608/ENSG00000149972/ENSG00000174672/ENSG00000001617/ENSG00000111262/ENSG00000148400/ENSG00000129116/ENSG00000148357/ENSG00000136352/ENSG00000106571/ENSG00000074181/ENSG00000110195/ENSG00000143032/ENSG00000116984/ENSG00000038382/ENSG00000111678/ENSG00000154277/ENSG00000171791/ENSG00000008086/ENSG00000107731/ENSG00000004848/ENSG00000139174/ENSG00000149294/ENSG00000151150/ENSG00000065320/ENSG00000196569/ENSG00000041982/ENSG00000151490/ENSG00000113763/ENSG00000176697/ENSG00000185920/ENSG00000121454/ENSG00000160007/ENSG00000156299/ENSG00000154654/ENSG00000134250/ENSG00000149269/ENSG00000198742/ENSG00000134569/ENSG00000157764/ENSG00000007372/ENSG00000082701/ENSG00000106123/ENSG00000148704/ENSG00000163462/ENSG00000148053/ENSG00000173786/ENSG00000005810/ENSG00000010319/ENSG00000105711/ENSG00000147862/ENSG00000136040/ENSG00000166313/ENSG00000007168/ENSG00000073921/ENSG00000170759/ENSG00000187164/ENSG00000053108/ENSG00000137872/ENSG00000196155/ENSG00000169242/ENSG00000127603/ENSG00000143590/ENSG00000141622/ENSG00000085733/ENSG00000179242/ENSG00000196924/ENSG00000198825/ENSG00000127870/ENSG00000094631/ENSG00000143013/ENSG00000134198/ENSG00000165533/ENSG00000165588/ENSG00000106683/ENSG00000164742/ENSG00000097007/ENSG00000100503/ENSG00000168758/ENSG00000169855/ENSG00000182175/ENSG00000103260/ENSG00000119782"
"GO:0010975","regulation of neuron projection development",398,0.52058039234526,2.29690296060804,1e-10,8.08591549295775e-09,5.15196441808747e-09,4580,"tags=45%, list=21%, signal=36%","ENSG00000099250/ENSG00000129244/ENSG00000110492/ENSG00000143320/ENSG00000149557/ENSG00000083290/ENSG00000114251/ENSG00000078018/ENSG00000130294/ENSG00000108830/ENSG00000075223/ENSG00000169071/ENSG00000115414/ENSG00000130203/ENSG00000091409/ENSG00000111249/ENSG00000076356/ENSG00000170558/ENSG00000147852/ENSG00000183049/ENSG00000185924/ENSG00000203879/ENSG00000167680/ENSG00000047597/ENSG00000188906/ENSG00000145147/ENSG00000175745/ENSG00000197283/ENSG00000165731/ENSG00000108947/ENSG00000135916/ENSG00000003402/ENSG00000116106/ENSG00000116132/ENSG00000174804/ENSG00000131095/ENSG00000075213/ENSG00000181754/ENSG00000169410/ENSG00000168779/ENSG00000039068/ENSG00000133216/ENSG00000160469/ENSG00000114166/ENSG00000104967/ENSG00000004399/ENSG00000069869/ENSG00000185008/ENSG00000153993/ENSG00000107485/ENSG00000012171/ENSG00000162946/ENSG00000104332/ENSG00000138760/ENSG00000131711/ENSG00000186907/ENSG00000183762/ENSG00000091129/ENSG00000113758/ENSG00000162733/ENSG00000108379/ENSG00000100968/ENSG00000099365/ENSG00000182580/ENSG00000144724/ENSG00000196358/ENSG00000132386/ENSG00000130827/ENSG00000185033/ENSG00000005884/ENSG00000171533/ENSG00000197892/ENSG00000186868/ENSG00000006740/ENSG00000067141/ENSG00000058404/ENSG00000174233/ENSG00000103034/ENSG00000162676/ENSG00000154645/ENSG00000166579/ENSG00000095539/ENSG00000196576/ENSG00000106078/ENSG00000157851/ENSG00000040608/ENSG00000148660/ENSG00000174672/ENSG00000040341/ENSG00000107290/ENSG00000001617/ENSG00000165323/ENSG00000072832/ENSG00000138311/ENSG00000068971/ENSG00000138443/ENSG00000124006/ENSG00000131018/ENSG00000136848/ENSG00000218336/ENSG00000124507/ENSG00000115355/ENSG00000008086/ENSG00000066248/ENSG00000117385/ENSG00000154310/ENSG00000049759/ENSG00000065320/ENSG00000185483/ENSG00000151490/ENSG00000176697/ENSG00000134313/ENSG00000160007/ENSG00000137825/ENSG00000156299/ENSG00000078699/ENSG00000062524/ENSG00000127952/ENSG00000149269/ENSG00000100393/ENSG00000198742/ENSG00000171617/ENSG00000134569/ENSG00000157764/ENSG00000007372/ENSG00000170396/ENSG00000082701/ENSG00000277363/ENSG00000163462/ENSG00000148053/ENSG00000005810/ENSG00000010319/ENSG00000105711/ENSG00000136040/ENSG00000109756/ENSG00000007168/ENSG00000187164/ENSG00000149922/ENSG00000053108/ENSG00000137872/ENSG00000169242/ENSG00000127603/ENSG00000134470/ENSG00000044090/ENSG00000179242/ENSG00000196924/ENSG00000198825/ENSG00000120899/ENSG00000127870/ENSG00000094631/ENSG00000143322/ENSG00000058866/ENSG00000106683/ENSG00000157193/ENSG00000097007/ENSG00000100503/ENSG00000168758/ENSG00000061337/ENSG00000169855/ENSG00000182175/ENSG00000103260/ENSG00000119782/ENSG00000138814/ENSG00000171798/ENSG00000174989/ENSG00000168038/ENSG00000257923/ENSG00000004139/ENSG00000144674/ENSG00000018236/ENSG00000198753/ENSG00000142208/ENSG00000178950/ENSG00000112655/ENSG00000170921/ENSG00000138411/ENSG00000082684/ENSG00000173376"
"GO:0007411","axon guidance",201,0.552159930375163,2.29577766701054,1e-10,8.08591549295775e-09,5.15196441808747e-09,3776,"tags=44%, list=17%, signal=37%","ENSG00000099250/ENSG00000149557/ENSG00000114251/ENSG00000273706/ENSG00000173402/ENSG00000075223/ENSG00000076356/ENSG00000055163/ENSG00000167680/ENSG00000127152/ENSG00000172037/ENSG00000182168/ENSG00000145147/ENSG00000165731/ENSG00000165801/ENSG00000108947/ENSG00000116106/ENSG00000168280/ENSG00000075213/ENSG00000133216/ENSG00000104967/ENSG00000004399/ENSG00000118263/ENSG00000185008/ENSG00000153993/ENSG00000107485/ENSG00000012171/ENSG00000106689/ENSG00000143355/ENSG00000173482/ENSG00000174684/ENSG00000091129/ENSG00000162614/ENSG00000184347/ENSG00000108379/ENSG00000182580/ENSG00000183317/ENSG00000130827/ENSG00000142192/ENSG00000185033/ENSG00000067141/ENSG00000153404/ENSG00000006468/ENSG00000095539/ENSG00000141736/ENSG00000074047/ENSG00000196576/ENSG00000157851/ENSG00000149972/ENSG00000001617/ENSG00000148400/ENSG00000129116/ENSG00000148357/ENSG00000136352/ENSG00000106571/ENSG00000074181/ENSG00000038382/ENSG00000107731/ENSG00000004848/ENSG00000149294/ENSG00000065320/ENSG00000196569/ENSG00000151490/ENSG00000113763/ENSG00000176697/ENSG00000185920/ENSG00000121454/ENSG00000160007/ENSG00000134250/ENSG00000007372/ENSG00000106123/ENSG00000148704/ENSG00000005810/ENSG00000010319/ENSG00000105711/ENSG00000147862/ENSG00000136040/ENSG00000170759/ENSG00000137872/ENSG00000196155/ENSG00000169242/ENSG00000143590/ENSG00000141622/ENSG00000179242/ENSG00000094631/ENSG00000143013/ENSG00000165533/ENSG00000165588"
"GO:0097485","neuron projection guidance",201,0.552159930375163,2.29577766701054,1e-10,8.08591549295775e-09,5.15196441808747e-09,3776,"tags=44%, list=17%, signal=37%","ENSG00000099250/ENSG00000149557/ENSG00000114251/ENSG00000273706/ENSG00000173402/ENSG00000075223/ENSG00000076356/ENSG00000055163/ENSG00000167680/ENSG00000127152/ENSG00000172037/ENSG00000182168/ENSG00000145147/ENSG00000165731/ENSG00000165801/ENSG00000108947/ENSG00000116106/ENSG00000168280/ENSG00000075213/ENSG00000133216/ENSG00000104967/ENSG00000004399/ENSG00000118263/ENSG00000185008/ENSG00000153993/ENSG00000107485/ENSG00000012171/ENSG00000106689/ENSG00000143355/ENSG00000173482/ENSG00000174684/ENSG00000091129/ENSG00000162614/ENSG00000184347/ENSG00000108379/ENSG00000182580/ENSG00000183317/ENSG00000130827/ENSG00000142192/ENSG00000185033/ENSG00000067141/ENSG00000153404/ENSG00000006468/ENSG00000095539/ENSG00000141736/ENSG00000074047/ENSG00000196576/ENSG00000157851/ENSG00000149972/ENSG00000001617/ENSG00000148400/ENSG00000129116/ENSG00000148357/ENSG00000136352/ENSG00000106571/ENSG00000074181/ENSG00000038382/ENSG00000107731/ENSG00000004848/ENSG00000149294/ENSG00000065320/ENSG00000196569/ENSG00000151490/ENSG00000113763/ENSG00000176697/ENSG00000185920/ENSG00000121454/ENSG00000160007/ENSG00000134250/ENSG00000007372/ENSG00000106123/ENSG00000148704/ENSG00000005810/ENSG00000010319/ENSG00000105711/ENSG00000147862/ENSG00000136040/ENSG00000170759/ENSG00000137872/ENSG00000196155/ENSG00000169242/ENSG00000143590/ENSG00000141622/ENSG00000179242/ENSG00000094631/ENSG00000143013/ENSG00000165533/ENSG00000165588"
"GO:0051056","regulation of small GTPase mediated signal transduction",257,0.532825511666052,2.27231891651783,1e-10,8.08591549295775e-09,5.15196441808747e-09,4121,"tags=41%, list=19%, signal=34%","ENSG00000099250/ENSG00000131089/ENSG00000139132/ENSG00000130203/ENSG00000124313/ENSG00000154783/ENSG00000214944/ENSG00000128849/ENSG00000107099/ENSG00000159842/ENSG00000064309/ENSG00000127084/ENSG00000145147/ENSG00000116574/ENSG00000197283/ENSG00000165801/ENSG00000088756/ENSG00000110237/ENSG00000133216/ENSG00000136828/ENSG00000116584/ENSG00000154358/ENSG00000110906/ENSG00000158321/ENSG00000182957/ENSG00000158769/ENSG00000197622/ENSG00000197457/ENSG00000118193/ENSG00000266028/ENSG00000161011/ENSG00000112379/ENSG00000125637/ENSG00000133789/ENSG00000105339/ENSG00000005884/ENSG00000105976/ENSG00000006740/ENSG00000100485/ENSG00000159314/ENSG00000153404/ENSG00000108669/ENSG00000156011/ENSG00000126217/ENSG00000003393/ENSG00000116991/ENSG00000120696/ENSG00000174373/ENSG00000150093/ENSG00000143772/ENSG00000040608/ENSG00000105767/ENSG00000213390/ENSG00000148400/ENSG00000185989/ENSG00000110514/ENSG00000102302/ENSG00000136848/ENSG00000111206/ENSG00000120278/ENSG00000188559/ENSG00000038382/ENSG00000165322/ENSG00000138448/ENSG00000168542/ENSG00000066248/ENSG00000110395/ENSG00000058335/ENSG00000154710/ENSG00000031081/ENSG00000142632/ENSG00000008256/ENSG00000164251/ENSG00000205726/ENSG00000160007/ENSG00000156299/ENSG00000134250/ENSG00000196712/ENSG00000161800/ENSG00000124198/ENSG00000136158/ENSG00000171680/ENSG00000113916/ENSG00000164741/ENSG00000196914/ENSG00000133121/ENSG00000170776/ENSG00000139725/ENSG00000126016/ENSG00000138639/ENSG00000145819/ENSG00000111913/ENSG00000196155/ENSG00000071054/ENSG00000170471/ENSG00000108262/ENSG00000143322/ENSG00000051382/ENSG00000119522/ENSG00000097007/ENSG00000275832/ENSG00000109079/ENSG00000137145/ENSG00000169855/ENSG00000106069/ENSG00000066777"
"GO:0060560","developmental growth involved in morphogenesis",214,0.531240836816617,2.21767122435574,1e-10,8.08591549295775e-09,5.15196441808747e-09,4684,"tags=49%, list=21%, signal=39%","ENSG00000099250/ENSG00000143320/ENSG00000083290/ENSG00000114251/ENSG00000273706/ENSG00000078018/ENSG00000108830/ENSG00000075223/ENSG00000117139/ENSG00000115414/ENSG00000130203/ENSG00000055163/ENSG00000066468/ENSG00000203879/ENSG00000167680/ENSG00000172037/ENSG00000067715/ENSG00000145147/ENSG00000153531/ENSG00000075213/ENSG00000176406/ENSG00000039068/ENSG00000087586/ENSG00000035403/ENSG00000107295/ENSG00000153993/ENSG00000135638/ENSG00000158321/ENSG00000012171/ENSG00000162946/ENSG00000104332/ENSG00000106689/ENSG00000131711/ENSG00000091129/ENSG00000184347/ENSG00000121966/ENSG00000108379/ENSG00000085741/ENSG00000130827/ENSG00000142192/ENSG00000185033/ENSG00000186868/ENSG00000140807/ENSG00000107816/ENSG00000166579/ENSG00000095539/ENSG00000133083/ENSG00000106078/ENSG00000150093/ENSG00000040608/ENSG00000103528/ENSG00000001617/ENSG00000124785/ENSG00000148400/ENSG00000143032/ENSG00000188064/ENSG00000008086/ENSG00000109321/ENSG00000125378/ENSG00000139174/ENSG00000049759/ENSG00000065320/ENSG00000170989/ENSG00000041982/ENSG00000176697/ENSG00000169057/ENSG00000156299/ENSG00000141576/ENSG00000198742/ENSG00000067606/ENSG00000136158/ENSG00000166823/ENSG00000140557/ENSG00000082701/ENSG00000163462/ENSG00000010319/ENSG00000125398/ENSG00000007168/ENSG00000126778/ENSG00000187164/ENSG00000053108/ENSG00000137872/ENSG00000166925/ENSG00000127603/ENSG00000198399/ENSG00000085733/ENSG00000179242/ENSG00000127870/ENSG00000094631/ENSG00000128829/ENSG00000106683/ENSG00000097007/ENSG00000100503/ENSG00000168758/ENSG00000125686/ENSG00000182175/ENSG00000137693/ENSG00000144674/ENSG00000163513/ENSG00000111344/ENSG00000112655/ENSG00000169375/ENSG00000082684/ENSG00000135622/ENSG00000162849"
"GO:0031346","positive regulation of cell projection organization",311,0.506145411059279,2.19443897004711,1e-10,8.08591549295775e-09,5.15196441808747e-09,4180,"tags=40%, list=19%, signal=33%","ENSG00000099250/ENSG00000129244/ENSG00000110492/ENSG00000143320/ENSG00000149557/ENSG00000197822/ENSG00000114251/ENSG00000108830/ENSG00000169071/ENSG00000115414/ENSG00000130203/ENSG00000091409/ENSG00000111249/ENSG00000076356/ENSG00000147852/ENSG00000183049/ENSG00000203879/ENSG00000101040/ENSG00000169762/ENSG00000145147/ENSG00000164171/ENSG00000165731/ENSG00000132535/ENSG00000003402/ENSG00000116106/ENSG00000174804/ENSG00000147251/ENSG00000181754/ENSG00000168779/ENSG00000133216/ENSG00000114166/ENSG00000004399/ENSG00000185008/ENSG00000158321/ENSG00000162946/ENSG00000138760/ENSG00000131711/ENSG00000150625/ENSG00000107954/ENSG00000113758/ENSG00000162733/ENSG00000108379/ENSG00000197386/ENSG00000132386/ENSG00000130827/ENSG00000005884/ENSG00000171533/ENSG00000186868/ENSG00000058404/ENSG00000103034/ENSG00000154645/ENSG00000032742/ENSG00000173805/ENSG00000184640/ENSG00000166579/ENSG00000155066/ENSG00000196576/ENSG00000145675/ENSG00000106078/ENSG00000040341/ENSG00000107290/ENSG00000068971/ENSG00000138443/ENSG00000128340/ENSG00000075618/ENSG00000138587/ENSG00000124006/ENSG00000136848/ENSG00000218336/ENSG00000124507/ENSG00000115355/ENSG00000188157/ENSG00000008086/ENSG00000117385/ENSG00000172725/ENSG00000065320/ENSG00000185483/ENSG00000176697/ENSG00000164251/ENSG00000134313/ENSG00000160007/ENSG00000137825/ENSG00000156299/ENSG00000078699/ENSG00000062524/ENSG00000127952/ENSG00000100393/ENSG00000198742/ENSG00000171617/ENSG00000157764/ENSG00000106799/ENSG00000170396/ENSG00000082701/ENSG00000148053/ENSG00000105711/ENSG00000136040/ENSG00000109756/ENSG00000007168/ENSG00000187164/ENSG00000155974/ENSG00000111913/ENSG00000127603/ENSG00000044090/ENSG00000179242/ENSG00000196924/ENSG00000120899/ENSG00000095777/ENSG00000094631/ENSG00000143322/ENSG00000103540/ENSG00000106683/ENSG00000157193/ENSG00000097007/ENSG00000100503/ENSG00000198793/ENSG00000169855/ENSG00000182175/ENSG00000103260/ENSG00000102081/ENSG00000119782/ENSG00000161202/ENSG00000138071/ENSG00000174989/ENSG00000089041/ENSG00000257923"
"GO:0050808","synapse organization",396,0.49672787571312,2.19370648582085,1e-10,8.08591549295775e-09,5.15196441808747e-09,4030,"tags=38%, list=18%, signal=32%","ENSG00000099250/ENSG00000131089/ENSG00000173267/ENSG00000240184/ENSG00000134243/ENSG00000114251/ENSG00000130294/ENSG00000173402/ENSG00000169071/ENSG00000147642/ENSG00000171246/ENSG00000130203/ENSG00000122862/ENSG00000111249/ENSG00000170558/ENSG00000131094/ENSG00000137575/ENSG00000242419/ENSG00000101040/ENSG00000172037/ENSG00000188906/ENSG00000121871/ENSG00000197283/ENSG00000109738/ENSG00000108947/ENSG00000108797/ENSG00000132535/ENSG00000116106/ENSG00000139182/ENSG00000181754/ENSG00000148798/ENSG00000076716/ENSG00000039068/ENSG00000106688/ENSG00000133216/ENSG00000169992/ENSG00000004399/ENSG00000069869/ENSG00000185008/ENSG00000170175/ENSG00000162946/ENSG00000112139/ENSG00000131711/ENSG00000150625/ENSG00000107954/ENSG00000139899/ENSG00000075624/ENSG00000091129/ENSG00000113758/ENSG00000266028/ENSG00000100968/ENSG00000182580/ENSG00000171943/ENSG00000174938/ENSG00000196358/ENSG00000082805/ENSG00000142192/ENSG00000005884/ENSG00000186868/ENSG00000006740/ENSG00000087085/ENSG00000149970/ENSG00000058404/ENSG00000155961/ENSG00000146555/ENSG00000003393/ENSG00000141736/ENSG00000196576/ENSG00000151208/ENSG00000110841/ENSG00000150093/ENSG00000100151/ENSG00000149972/ENSG00000081818/ENSG00000040341/ENSG00000186472/ENSG00000001617/ENSG00000138311/ENSG00000138443/ENSG00000070182/ENSG00000187957/ENSG00000166387/ENSG00000148357/ENSG00000115183/ENSG00000136848/ENSG00000163251/ENSG00000188157/ENSG00000167535/ENSG00000188763/ENSG00000188064/ENSG00000008086/ENSG00000066248/ENSG00000151150/ENSG00000065320/ENSG00000041982/ENSG00000151490/ENSG00000176697/ENSG00000169057/ENSG00000137825/ENSG00000156299/ENSG00000198929/ENSG00000196712/ENSG00000143847/ENSG00000165995/ENSG00000136279/ENSG00000134569/ENSG00000130702/ENSG00000135905/ENSG00000225968/ENSG00000198722/ENSG00000107742/ENSG00000140557/ENSG00000170396/ENSG00000277363/ENSG00000148053/ENSG00000005810/ENSG00000084112/ENSG00000175920/ENSG00000151025/ENSG00000136040/ENSG00000116544/ENSG00000068400/ENSG00000007168/ENSG00000187672/ENSG00000067900/ENSG00000126778/ENSG00000162105/ENSG00000131626/ENSG00000260230/ENSG00000160446/ENSG00000169242/ENSG00000085733/ENSG00000196924/ENSG00000120899/ENSG00000081189/ENSG00000152767/ENSG00000094631/ENSG00000153012/ENSG00000167552/ENSG00000158258/ENSG00000075340/ENSG00000110324/ENSG00000157193/ENSG00000097007/ENSG00000069188/ENSG00000008056/ENSG00000040731/ENSG00000175029/ENSG00000204843/ENSG00000104219/ENSG00000061337"
