"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0072593","reactive oxygen species metabolic process",163,-0.603894434765133,-2.24985681285867,1e-10,1.50351351351351e-08,9.88051209103841e-09,2170,"tags=28%, list=12%, signal=25%","ENSG00000112992/ENSG00000158828/ENSG00000167186/ENSG00000067992/ENSG00000196139/ENSG00000121691/ENSG00000068903/ENSG00000198763/ENSG00000075891/ENSG00000120899/ENSG00000274276/ENSG00000124523/ENSG00000114353/ENSG00000167419/ENSG00000109572/ENSG00000165240/ENSG00000107957/ENSG00000161533/ENSG00000094631/ENSG00000140092/ENSG00000130508/ENSG00000197943/ENSG00000081181/ENSG00000175567/ENSG00000141968/ENSG00000109846/ENSG00000137203/ENSG00000010810/ENSG00000232810/ENSG00000004799/ENSG00000172243/ENSG00000137331/ENSG00000131979/ENSG00000153246/ENSG00000174705/ENSG00000160200/ENSG00000100311/ENSG00000116717/ENSG00000003402/ENSG00000187134/ENSG00000124762/ENSG00000118523/ENSG00000142871/ENSG00000138061/ENSG00000078401/ENSG00000140465"
"GO:0008202","steroid metabolic process",214,-0.574624596811722,-2.19921356464606,1e-10,1.50351351351351e-08,9.88051209103841e-09,3114,"tags=35%, list=17%, signal=30%","ENSG00000182372/ENSG00000167315/ENSG00000116133/ENSG00000109193/ENSG00000197165/ENSG00000057252/ENSG00000112033/ENSG00000125845/ENSG00000069667/ENSG00000165029/ENSG00000143365/ENSG00000278535/ENSG00000166311/ENSG00000082641/ENSG00000120915/ENSG00000135929/ENSG00000132196/ENSG00000165782/ENSG00000072310/ENSG00000113494/ENSG00000019186/ENSG00000085662/ENSG00000001630/ENSG00000196139/ENSG00000160285/ENSG00000131473/ENSG00000162676/ENSG00000121691/ENSG00000088002/ENSG00000227471/ENSG00000100197/ENSG00000110921/ENSG00000133935/ENSG00000157404/ENSG00000147155/ENSG00000111684/ENSG00000101473/ENSG00000162552/ENSG00000185630/ENSG00000177628/ENSG00000164211/ENSG00000133835/ENSG00000205808/ENSG00000146233/ENSG00000166224/ENSG00000142192/ENSG00000198911/ENSG00000067064/ENSG00000167508/ENSG00000155158/ENSG00000106617/ENSG00000130164/ENSG00000172893/ENSG00000120738/ENSG00000052802/ENSG00000066926/ENSG00000160752/ENSG00000079459/ENSG00000160179/ENSG00000161267/ENSG00000232810/ENSG00000141458/ENSG00000104549/ENSG00000091831/ENSG00000154265/ENSG00000112972/ENSG00000148926/ENSG00000113161/ENSG00000163659/ENSG00000187134/ENSG00000169174/ENSG00000186480/ENSG00000138061/ENSG00000151632/ENSG00000140465"
"GO:0006631","fatty acid metabolic process",294,-0.530661193284084,-2.09068609618236,1e-10,1.50351351351351e-08,9.88051209103841e-09,2066,"tags=27%, list=11%, signal=24%","ENSG00000067992/ENSG00000085662/ENSG00000172831/ENSG00000167107/ENSG00000168477/ENSG00000196139/ENSG00000101255/ENSG00000131473/ENSG00000120437/ENSG00000101577/ENSG00000068903/ENSG00000099797/ENSG00000116039/ENSG00000100197/ENSG00000119673/ENSG00000213366/ENSG00000165591/ENSG00000105499/ENSG00000095321/ENSG00000101473/ENSG00000165475/ENSG00000103089/ENSG00000076258/ENSG00000123983/ENSG00000142784/ENSG00000146085/ENSG00000009950/ENSG00000012660/ENSG00000186529/ENSG00000164039/ENSG00000149485/ENSG00000068366/ENSG00000171903/ENSG00000133835/ENSG00000166224/ENSG00000157184/ENSG00000134824/ENSG00000154930/ENSG00000161533/ENSG00000114166/ENSG00000186281/ENSG00000134780/ENSG00000167468/ENSG00000184227/ENSG00000132793/ENSG00000025434/ENSG00000135241/ENSG00000106617/ENSG00000052802/ENSG00000130304/ENSG00000143819/ENSG00000100889/ENSG00000100344/ENSG00000101670/ENSG00000127129/ENSG00000148344/ENSG00000004799/ENSG00000144115/ENSG00000240849/ENSG00000181513/ENSG00000104823/ENSG00000168765/ENSG00000005882/ENSG00000099194/ENSG00000134324/ENSG00000136010/ENSG00000185950/ENSG00000100219/ENSG00000131069/ENSG00000132326/ENSG00000151726/ENSG00000187134/ENSG00000156689/ENSG00000186480/ENSG00000138061/ENSG00000151632/ENSG00000119508/ENSG00000078401/ENSG00000140465"
"GO:0042060","wound healing",303,-0.506339644638938,-1.99825898070132,1e-10,1.50351351351351e-08,9.88051209103841e-09,2932,"tags=30%, list=16%, signal=26%","ENSG00000173402/ENSG00000204580/ENSG00000108576/ENSG00000265190/ENSG00000172725/ENSG00000149131/ENSG00000064666/ENSG00000064651/ENSG00000112033/ENSG00000151694/ENSG00000160323/ENSG00000124782/ENSG00000112715/ENSG00000169398/ENSG00000197249/ENSG00000105825/ENSG00000173083/ENSG00000166311/ENSG00000010278/ENSG00000079385/ENSG00000035403/ENSG00000159176/ENSG00000136854/ENSG00000112655/ENSG00000065534/ENSG00000120149/ENSG00000106799/ENSG00000172500/ENSG00000188313/ENSG00000065361/ENSG00000092969/ENSG00000127603/ENSG00000112658/ENSG00000196588/ENSG00000054179/ENSG00000153208/ENSG00000124882/ENSG00000185245/ENSG00000087460/ENSG00000162552/ENSG00000115414/ENSG00000130724/ENSG00000171903/ENSG00000142632/ENSG00000197632/ENSG00000173918/ENSG00000182197/ENSG00000197943/ENSG00000110080/ENSG00000117525/ENSG00000114251/ENSG00000065357/ENSG00000197043/ENSG00000197822/ENSG00000141968/ENSG00000077942/ENSG00000171132/ENSG00000163347/ENSG00000232810/ENSG00000141736/ENSG00000172243/ENSG00000106211/ENSG00000124145/ENSG00000104368/ENSG00000255112/ENSG00000198663/ENSG00000100292/ENSG00000136244/ENSG00000100311/ENSG00000165215/ENSG00000261150/ENSG00000118503/ENSG00000086062/ENSG00000151012/ENSG00000115221/ENSG00000107104/ENSG00000162733/ENSG00000100219/ENSG00000155760/ENSG00000158055/ENSG00000003402/ENSG00000137709/ENSG00000011422/ENSG00000122861/ENSG00000113070/ENSG00000128052/ENSG00000181467/ENSG00000124762/ENSG00000142871/ENSG00000189143/ENSG00000144824/ENSG00000078401"
"GO:0010035","response to inorganic substance",396,-0.482729335891543,-1.93666853319245,1e-10,1.50351351351351e-08,9.88051209103841e-09,2527,"tags=28%, list=14%, signal=24%","ENSG00000064651/ENSG00000160323/ENSG00000152413/ENSG00000164199/ENSG00000150907/ENSG00000198804/ENSG00000145936/ENSG00000166311/ENSG00000123191/ENSG00000198668/ENSG00000089041/ENSG00000081189/ENSG00000141401/ENSG00000204176/ENSG00000112293/ENSG00000158445/ENSG00000158828/ENSG00000104419/ENSG00000213015/ENSG00000171867/ENSG00000175592/ENSG00000143627/ENSG00000144935/ENSG00000166888/ENSG00000012061/ENSG00000196139/ENSG00000138823/ENSG00000173848/ENSG00000121691/ENSG00000188313/ENSG00000171223/ENSG00000131711/ENSG00000128272/ENSG00000075891/ENSG00000196839/ENSG00000198417/ENSG00000120899/ENSG00000111602/ENSG00000164808/ENSG00000157404/ENSG00000203879/ENSG00000091513/ENSG00000170345/ENSG00000213445/ENSG00000198786/ENSG00000001084/ENSG00000171303/ENSG00000165240/ENSG00000125648/ENSG00000172071/ENSG00000187193/ENSG00000108821/ENSG00000010704/ENSG00000094631/ENSG00000140092/ENSG00000122359/ENSG00000071967/ENSG00000100983/ENSG00000198695/ENSG00000171246/ENSG00000103528/ENSG00000197943/ENSG00000167552/ENSG00000135643/ENSG00000130707/ENSG00000135124/ENSG00000066926/ENSG00000114251/ENSG00000165272/ENSG00000132510/ENSG00000100170/ENSG00000175567/ENSG00000109321/ENSG00000100968/ENSG00000148218/ENSG00000115884/ENSG00000163347/ENSG00000109846/ENSG00000137203/ENSG00000010810/ENSG00000102882/ENSG00000165125/ENSG00000158014/ENSG00000143772/ENSG00000141458/ENSG00000131979/ENSG00000143878/ENSG00000111344/ENSG00000151150/ENSG00000100292/ENSG00000136244/ENSG00000110911/ENSG00000118503/ENSG00000170458/ENSG00000039068/ENSG00000086544/ENSG00000003402/ENSG00000168710/ENSG00000125740/ENSG00000128052/ENSG00000130522/ENSG00000170385/ENSG00000158615/ENSG00000132906/ENSG00000138061/ENSG00000177606/ENSG00000173227/ENSG00000078401/ENSG00000140465"
"GO:0009991","response to extracellular stimulus",403,-0.473790792787053,-1.90589624671653,1e-10,1.50351351351351e-08,9.88051209103841e-09,2910,"tags=31%, list=16%, signal=27%","ENSG00000044574/ENSG00000108576/ENSG00000118162/ENSG00000130513/ENSG00000083123/ENSG00000104964/ENSG00000111199/ENSG00000112033/ENSG00000111424/ENSG00000137642/ENSG00000150907/ENSG00000134755/ENSG00000165029/ENSG00000197256/ENSG00000126522/ENSG00000136044/ENSG00000148339/ENSG00000089041/ENSG00000140463/ENSG00000114388/ENSG00000172977/ENSG00000158445/ENSG00000072310/ENSG00000141655/ENSG00000112992/ENSG00000175592/ENSG00000019186/ENSG00000143627/ENSG00000105698/ENSG00000159267/ENSG00000012061/ENSG00000196139/ENSG00000167701/ENSG00000121691/ENSG00000162600/ENSG00000068903/ENSG00000100150/ENSG00000131711/ENSG00000128272/ENSG00000126562/ENSG00000114200/ENSG00000112658/ENSG00000111676/ENSG00000026103/ENSG00000075891/ENSG00000134684/ENSG00000134470/ENSG00000103091/ENSG00000169252/ENSG00000166575/ENSG00000177000/ENSG00000131374/ENSG00000142867/ENSG00000170345/ENSG00000274276/ENSG00000124523/ENSG00000183682/ENSG00000114353/ENSG00000213445/ENSG00000162552/ENSG00000177628/ENSG00000112964/ENSG00000184481/ENSG00000001084/ENSG00000009950/ENSG00000166123/ENSG00000167207/ENSG00000149485/ENSG00000172071/ENSG00000133056/ENSG00000070669/ENSG00000108821/ENSG00000066735/ENSG00000104518/ENSG00000114166/ENSG00000198911/ENSG00000188338/ENSG00000010704/ENSG00000123612/ENSG00000131873/ENSG00000177169/ENSG00000075651/ENSG00000106617/ENSG00000130164/ENSG00000149212/ENSG00000130707/ENSG00000140941/ENSG00000197548/ENSG00000141376/ENSG00000025039/ENSG00000128918/ENSG00000165272/ENSG00000140950/ENSG00000100889/ENSG00000175567/ENSG00000103257/ENSG00000101670/ENSG00000148218/ENSG00000163545/ENSG00000112977/ENSG00000128016/ENSG00000232810/ENSG00000102882/ENSG00000004799/ENSG00000105550/ENSG00000005882/ENSG00000160200/ENSG00000139112/ENSG00000113739/ENSG00000137193/ENSG00000135821/ENSG00000169184/ENSG00000100219/ENSG00000147883/ENSG00000116299/ENSG00000153234/ENSG00000148926/ENSG00000162772/ENSG00000113742/ENSG00000151726/ENSG00000070540/ENSG00000124762/ENSG00000169174/ENSG00000138061/ENSG00000140465"
"GO:0043408","regulation of MAPK cascade",473,-0.455688946136059,-1.85480286249686,1e-10,1.50351351351351e-08,9.88051209103841e-09,2759,"tags=26%, list=15%, signal=23%","ENSG00000111199/ENSG00000122694/ENSG00000142627/ENSG00000137642/ENSG00000112715/ENSG00000150907/ENSG00000125845/ENSG00000005448/ENSG00000078900/ENSG00000006606/ENSG00000169242/ENSG00000182578/ENSG00000135299/ENSG00000139193/ENSG00000166311/ENSG00000089041/ENSG00000149177/ENSG00000081189/ENSG00000156463/ENSG00000079385/ENSG00000180354/ENSG00000141655/ENSG00000158828/ENSG00000125170/ENSG00000198369/ENSG00000106799/ENSG00000100351/ENSG00000137764/ENSG00000173546/ENSG00000092969/ENSG00000064687/ENSG00000026103/ENSG00000168961/ENSG00000106100/ENSG00000198961/ENSG00000163235/ENSG00000186897/ENSG00000120899/ENSG00000169252/ENSG00000157404/ENSG00000105928/ENSG00000116741/ENSG00000083799/ENSG00000122641/ENSG00000114353/ENSG00000064393/ENSG00000177628/ENSG00000112964/ENSG00000171631/ENSG00000115414/ENSG00000136158/ENSG00000183856/ENSG00000138834/ENSG00000167207/ENSG00000117228/ENSG00000170075/ENSG00000126458/ENSG00000142192/ENSG00000136997/ENSG00000119699/ENSG00000173918/ENSG00000165795/ENSG00000168067/ENSG00000136848/ENSG00000139946/ENSG00000127863/ENSG00000166444/ENSG00000197943/ENSG00000167653/ENSG00000111846/ENSG00000108984/ENSG00000070614/ENSG00000077782/ENSG00000272398/ENSG00000114251/ENSG00000034152/ENSG00000133048/ENSG00000124508/ENSG00000111961/ENSG00000077942/ENSG00000171132/ENSG00000157368/ENSG00000232810/ENSG00000141736/ENSG00000102882/ENSG00000101265/ENSG00000120875/ENSG00000188064/ENSG00000105550/ENSG00000108691/ENSG00000099860/ENSG00000111907/ENSG00000138623/ENSG00000148053/ENSG00000197283/ENSG00000116106/ENSG00000136244/ENSG00000213626/ENSG00000047936/ENSG00000092820/ENSG00000100311/ENSG00000178568/ENSG00000120129/ENSG00000116717/ENSG00000155760/ENSG00000003402/ENSG00000115009/ENSG00000164056/ENSG00000150593/ENSG00000113161/ENSG00000162772/ENSG00000184545/ENSG00000092421/ENSG00000111266/ENSG00000179094/ENSG00000119986/ENSG00000182585/ENSG00000128052/ENSG00000128342/ENSG00000108861/ENSG00000146674/ENSG00000118523/ENSG00000142871/ENSG00000100234/ENSG00000078401"
"GO:0032787","monocarboxylic acid metabolic process",460,-0.456334692839562,-1.85406065341688,1e-10,1.50351351351351e-08,9.88051209103841e-09,2735,"tags=27%, list=15%, signal=24%","ENSG00000112033/ENSG00000114115/ENSG00000178752/ENSG00000072062/ENSG00000196177/ENSG00000205560/ENSG00000111271/ENSG00000117448/ENSG00000197444/ENSG00000136044/ENSG00000065833/ENSG00000101986/ENSG00000089041/ENSG00000079385/ENSG00000095303/ENSG00000135929/ENSG00000072310/ENSG00000143627/ENSG00000067992/ENSG00000085662/ENSG00000172831/ENSG00000167107/ENSG00000079739/ENSG00000159267/ENSG00000121064/ENSG00000168477/ENSG00000196139/ENSG00000101255/ENSG00000131473/ENSG00000120437/ENSG00000241935/ENSG00000101577/ENSG00000068903/ENSG00000099797/ENSG00000116039/ENSG00000100197/ENSG00000119673/ENSG00000213366/ENSG00000165591/ENSG00000105499/ENSG00000184254/ENSG00000157404/ENSG00000095321/ENSG00000063854/ENSG00000101473/ENSG00000173599/ENSG00000165475/ENSG00000103089/ENSG00000078070/ENSG00000076258/ENSG00000164211/ENSG00000123983/ENSG00000142784/ENSG00000146085/ENSG00000009950/ENSG00000012660/ENSG00000186529/ENSG00000164039/ENSG00000149485/ENSG00000068366/ENSG00000182054/ENSG00000171903/ENSG00000092621/ENSG00000133835/ENSG00000146233/ENSG00000166224/ENSG00000157184/ENSG00000134824/ENSG00000154930/ENSG00000161533/ENSG00000142192/ENSG00000114166/ENSG00000141526/ENSG00000186281/ENSG00000134780/ENSG00000137106/ENSG00000167468/ENSG00000138413/ENSG00000184227/ENSG00000132793/ENSG00000025434/ENSG00000135241/ENSG00000106617/ENSG00000052802/ENSG00000128918/ENSG00000130304/ENSG00000111962/ENSG00000142657/ENSG00000143819/ENSG00000100889/ENSG00000100344/ENSG00000175567/ENSG00000101670/ENSG00000127129/ENSG00000171132/ENSG00000148344/ENSG00000166816/ENSG00000176046/ENSG00000004799/ENSG00000144115/ENSG00000141458/ENSG00000137331/ENSG00000240849/ENSG00000181513/ENSG00000104823/ENSG00000168765/ENSG00000005882/ENSG00000099194/ENSG00000134324/ENSG00000136010/ENSG00000121039/ENSG00000185950/ENSG00000100219/ENSG00000131069/ENSG00000132326/ENSG00000151726/ENSG00000187134/ENSG00000156689/ENSG00000186480/ENSG00000138061/ENSG00000151632/ENSG00000119508/ENSG00000078401/ENSG00000140465"
"GO:1901615","organic hydroxy compound metabolic process",403,-0.464855769167541,-1.86995374162778,2.25444880320767e-10,3.03602998570997e-08,1.99516204629662e-08,2440,"tags=25%, list=13%, signal=22%","ENSG00000166311/ENSG00000082641/ENSG00000141401/ENSG00000189221/ENSG00000120915/ENSG00000135929/ENSG00000006757/ENSG00000132196/ENSG00000165782/ENSG00000072310/ENSG00000163082/ENSG00000019186/ENSG00000085662/ENSG00000001630/ENSG00000144935/ENSG00000006534/ENSG00000258839/ENSG00000196139/ENSG00000160285/ENSG00000131473/ENSG00000162676/ENSG00000064692/ENSG00000121691/ENSG00000088002/ENSG00000227471/ENSG00000080166/ENSG00000092969/ENSG00000100197/ENSG00000104324/ENSG00000120899/ENSG00000067829/ENSG00000110921/ENSG00000184254/ENSG00000133935/ENSG00000157404/ENSG00000147155/ENSG00000111684/ENSG00000063854/ENSG00000101473/ENSG00000162552/ENSG00000177628/ENSG00000164211/ENSG00000171631/ENSG00000116016/ENSG00000105655/ENSG00000067113/ENSG00000186529/ENSG00000165240/ENSG00000182054/ENSG00000205808/ENSG00000146233/ENSG00000154930/ENSG00000135069/ENSG00000142192/ENSG00000198814/ENSG00000198911/ENSG00000211448/ENSG00000067064/ENSG00000138413/ENSG00000141934/ENSG00000167508/ENSG00000197943/ENSG00000155158/ENSG00000106617/ENSG00000120053/ENSG00000130164/ENSG00000172893/ENSG00000052802/ENSG00000066926/ENSG00000114251/ENSG00000160752/ENSG00000079459/ENSG00000128918/ENSG00000198074/ENSG00000162496/ENSG00000100889/ENSG00000160179/ENSG00000166816/ENSG00000232810/ENSG00000168350/ENSG00000143772/ENSG00000141458/ENSG00000132746/ENSG00000131979/ENSG00000104549/ENSG00000154265/ENSG00000111275/ENSG00000185133/ENSG00000121039/ENSG00000112972/ENSG00000151012/ENSG00000086544/ENSG00000131069/ENSG00000153234/ENSG00000113161/ENSG00000132326/ENSG00000187134/ENSG00000169174/ENSG00000186480/ENSG00000138061/ENSG00000151632/ENSG00000140465"
"GO:0031667","response to nutrient levels",379,-0.474880664979115,-1.8994944142686,3.05399664415192e-10,3.69334420248199e-08,2.42712364877337e-08,2910,"tags=31%, list=16%, signal=27%","ENSG00000044574/ENSG00000108576/ENSG00000118162/ENSG00000130513/ENSG00000083123/ENSG00000111199/ENSG00000112033/ENSG00000111424/ENSG00000137642/ENSG00000150907/ENSG00000134755/ENSG00000165029/ENSG00000197256/ENSG00000126522/ENSG00000136044/ENSG00000148339/ENSG00000140463/ENSG00000114388/ENSG00000172977/ENSG00000158445/ENSG00000072310/ENSG00000141655/ENSG00000112992/ENSG00000019186/ENSG00000143627/ENSG00000105698/ENSG00000159267/ENSG00000012061/ENSG00000196139/ENSG00000167701/ENSG00000121691/ENSG00000162600/ENSG00000068903/ENSG00000100150/ENSG00000131711/ENSG00000128272/ENSG00000126562/ENSG00000114200/ENSG00000112658/ENSG00000111676/ENSG00000026103/ENSG00000075891/ENSG00000134684/ENSG00000134470/ENSG00000103091/ENSG00000169252/ENSG00000166575/ENSG00000177000/ENSG00000131374/ENSG00000142867/ENSG00000170345/ENSG00000274276/ENSG00000124523/ENSG00000183682/ENSG00000114353/ENSG00000162552/ENSG00000177628/ENSG00000112964/ENSG00000184481/ENSG00000001084/ENSG00000009950/ENSG00000166123/ENSG00000167207/ENSG00000149485/ENSG00000172071/ENSG00000133056/ENSG00000070669/ENSG00000108821/ENSG00000114166/ENSG00000198911/ENSG00000188338/ENSG00000010704/ENSG00000123612/ENSG00000131873/ENSG00000177169/ENSG00000075651/ENSG00000106617/ENSG00000130164/ENSG00000149212/ENSG00000130707/ENSG00000140941/ENSG00000197548/ENSG00000141376/ENSG00000025039/ENSG00000128918/ENSG00000165272/ENSG00000140950/ENSG00000100889/ENSG00000175567/ENSG00000103257/ENSG00000101670/ENSG00000148218/ENSG00000163545/ENSG00000112977/ENSG00000128016/ENSG00000232810/ENSG00000102882/ENSG00000004799/ENSG00000105550/ENSG00000005882/ENSG00000160200/ENSG00000139112/ENSG00000113739/ENSG00000137193/ENSG00000135821/ENSG00000169184/ENSG00000100219/ENSG00000147883/ENSG00000116299/ENSG00000148926/ENSG00000162772/ENSG00000113742/ENSG00000151726/ENSG00000070540/ENSG00000124762/ENSG00000169174/ENSG00000138061/ENSG00000140465"
