"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0022613","ribonucleoprotein complex biogenesis",465,0.630935436075176,3.17291961335789,1e-10,1.50351351351351e-08,9.88051209103841e-09,3891,"tags=56%, list=21%, signal=45%","ENSG00000065183/ENSG00000082516/ENSG00000170515/ENSG00000167721/ENSG00000127804/ENSG00000130826/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000117360/ENSG00000107937/ENSG00000085721/ENSG00000104626/ENSG00000116922/ENSG00000048162/ENSG00000082898/ENSG00000096384/ENSG00000146223/ENSG00000104131/ENSG00000007392/ENSG00000183431/ENSG00000145220/ENSG00000101361/ENSG00000144231/ENSG00000053372/ENSG00000170854/ENSG00000087269/ENSG00000108559/ENSG00000137574/ENSG00000130119/ENSG00000198492/ENSG00000138442/ENSG00000079785/ENSG00000058729/ENSG00000130713/ENSG00000107371/ENSG00000100462/ENSG00000164167/ENSG00000116455/ENSG00000139726/ENSG00000041802/ENSG00000130935/ENSG00000198000/ENSG00000175792/ENSG00000167005/ENSG00000165732/ENSG00000171490/ENSG00000155393/ENSG00000163811/ENSG00000080824/ENSG00000088205/ENSG00000067533/ENSG00000144736/ENSG00000136450/ENSG00000111845/ENSG00000165526/ENSG00000115524/ENSG00000162408/ENSG00000117395/ENSG00000039123/ENSG00000178105/ENSG00000115946/ENSG00000122140/ENSG00000179041/ENSG00000171316/ENSG00000171763/ENSG00000100029/ENSG00000136045/ENSG00000139842/ENSG00000135829/ENSG00000142864/ENSG00000156697/ENSG00000135372/ENSG00000160208/ENSG00000197498/ENSG00000121058/ENSG00000184110/ENSG00000083635/ENSG00000133316/ENSG00000132275/ENSG00000181163/ENSG00000148300/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000166197/ENSG00000110958/ENSG00000088930/ENSG00000143319/ENSG00000114767/ENSG00000275700/ENSG00000089048/ENSG00000205571/ENSG00000115761/ENSG00000115368/ENSG00000152464/ENSG00000111605/ENSG00000155438/ENSG00000141101/ENSG00000148843/ENSG00000001497/ENSG00000151131/ENSG00000136937/ENSG00000164163/ENSG00000169249/ENSG00000108592/ENSG00000156469/ENSG00000124541/ENSG00000096063/ENSG00000278619/ENSG00000164934/ENSG00000119616/ENSG00000175054/ENSG00000174243/ENSG00000139218/ENSG00000100664/ENSG00000132603/ENSG00000130741/ENSG00000113460/ENSG00000100353/ENSG00000075914/ENSG00000137656/ENSG00000005436/ENSG00000143751/ENSG00000108561/ENSG00000121274/ENSG00000109534/ENSG00000141759/ENSG00000055044/ENSG00000118246/ENSG00000075856/ENSG00000185163/ENSG00000147604/ENSG00000106263/ENSG00000188976/ENSG00000067248/ENSG00000171103/ENSG00000173674/ENSG00000183520/ENSG00000124787/ENSG00000149100/ENSG00000110107/ENSG00000148296/ENSG00000180574/ENSG00000169251/ENSG00000125485/ENSG00000134597/ENSG00000064703/ENSG00000129347/ENSG00000165733/ENSG00000122085/ENSG00000143633/ENSG00000152147/ENSG00000138382/ENSG00000092208/ENSG00000073536/ENSG00000164338/ENSG00000135900/ENSG00000160256/ENSG00000124383/ENSG00000158417/ENSG00000154548/ENSG00000151304/ENSG00000148688/ENSG00000150990/ENSG00000117481/ENSG00000189091/ENSG00000171824/ENSG00000135521/ENSG00000144895/ENSG00000129460/ENSG00000117174/ENSG00000145833/ENSG00000275464/ENSG00000089009/ENSG00000112159/ENSG00000198498/ENSG00000150773/ENSG00000278053/ENSG00000084463/ENSG00000225921/ENSG00000198042/ENSG00000125870/ENSG00000123737/ENSG00000188917/ENSG00000172336/ENSG00000124784/ENSG00000146963/ENSG00000162851/ENSG00000117133/ENSG00000113360/ENSG00000261236/ENSG00000126070/ENSG00000079246/ENSG00000188739/ENSG00000104408/ENSG00000168228/ENSG00000182004/ENSG00000160214/ENSG00000105447/ENSG00000111615/ENSG00000132382/ENSG00000023734/ENSG00000171861/ENSG00000074201/ENSG00000108848/ENSG00000242372/ENSG00000135763/ENSG00000142207/ENSG00000145375/ENSG00000179409/ENSG00000132341/ENSG00000135698/ENSG00000111641/ENSG00000100028/ENSG00000161970/ENSG00000100138/ENSG00000084092/ENSG00000132680/ENSG00000061936/ENSG00000167088/ENSG00000100865/ENSG00000182899/ENSG00000242485/ENSG00000168883/ENSG00000142676/ENSG00000241945/ENSG00000156256/ENSG00000196943/ENSG00000112578/ENSG00000123064/ENSG00000136271/ENSG00000177971/ENSG00000175390/ENSG00000145414/ENSG00000100410/ENSG00000172409/ENSG00000215301/ENSG00000165699/ENSG00000029639/ENSG00000165271/ENSG00000186468/ENSG00000105671/ENSG00000124228/ENSG00000198585/ENSG00000131043/ENSG00000227057/ENSG00000126524/ENSG00000142252/ENSG00000149716/ENSG00000048740/ENSG00000149187/ENSG00000132153/ENSG00000188529/ENSG00000291035/ENSG00000107581/ENSG00000198301/ENSG00000118181"
"GO:0042254","ribosome biogenesis",319,0.648180800018922,3.1157364966996,1e-10,1.50351351351351e-08,9.88051209103841e-09,3891,"tags=59%, list=21%, signal=48%","ENSG00000065183/ENSG00000170515/ENSG00000167721/ENSG00000127804/ENSG00000130826/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000107937/ENSG00000085721/ENSG00000104626/ENSG00000116922/ENSG00000048162/ENSG00000082898/ENSG00000146223/ENSG00000145220/ENSG00000101361/ENSG00000053372/ENSG00000170854/ENSG00000087269/ENSG00000108559/ENSG00000130119/ENSG00000198492/ENSG00000138442/ENSG00000058729/ENSG00000130713/ENSG00000107371/ENSG00000164167/ENSG00000041802/ENSG00000130935/ENSG00000198000/ENSG00000165732/ENSG00000171490/ENSG00000155393/ENSG00000163811/ENSG00000088205/ENSG00000067533/ENSG00000144736/ENSG00000111845/ENSG00000165526/ENSG00000162408/ENSG00000117395/ENSG00000039123/ENSG00000178105/ENSG00000115946/ENSG00000122140/ENSG00000179041/ENSG00000171316/ENSG00000171763/ENSG00000100029/ENSG00000136045/ENSG00000139842/ENSG00000142864/ENSG00000156697/ENSG00000135372/ENSG00000160208/ENSG00000197498/ENSG00000133316/ENSG00000132275/ENSG00000181163/ENSG00000148300/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000166197/ENSG00000088930/ENSG00000143319/ENSG00000114767/ENSG00000275700/ENSG00000089048/ENSG00000115761/ENSG00000115368/ENSG00000152464/ENSG00000155438/ENSG00000141101/ENSG00000148843/ENSG00000001497/ENSG00000164163/ENSG00000108592/ENSG00000156469/ENSG00000124541/ENSG00000278619/ENSG00000164934/ENSG00000119616/ENSG00000100664/ENSG00000132603/ENSG00000113460/ENSG00000075914/ENSG00000143751/ENSG00000108561/ENSG00000121274/ENSG00000109534/ENSG00000055044/ENSG00000118246/ENSG00000185163/ENSG00000147604/ENSG00000188976/ENSG00000067248/ENSG00000171103/ENSG00000173674/ENSG00000183520/ENSG00000124787/ENSG00000148296/ENSG00000169251/ENSG00000125485/ENSG00000129347/ENSG00000165733/ENSG00000122085/ENSG00000143633/ENSG00000138382/ENSG00000073536/ENSG00000164338/ENSG00000135900/ENSG00000160256/ENSG00000124383/ENSG00000158417/ENSG00000151304/ENSG00000148688/ENSG00000150990/ENSG00000117481/ENSG00000171824/ENSG00000135521/ENSG00000144895/ENSG00000129460/ENSG00000117174/ENSG00000275464/ENSG00000089009/ENSG00000112159/ENSG00000198498/ENSG00000150773/ENSG00000278053/ENSG00000084463/ENSG00000225921/ENSG00000198042/ENSG00000123737/ENSG00000188917/ENSG00000172336/ENSG00000124784/ENSG00000162851/ENSG00000117133/ENSG00000113360/ENSG00000261236/ENSG00000079246/ENSG00000188739/ENSG00000168228/ENSG00000160214/ENSG00000105447/ENSG00000111615/ENSG00000132382/ENSG00000171861/ENSG00000242372/ENSG00000135763/ENSG00000142207/ENSG00000145375/ENSG00000179409/ENSG00000132341/ENSG00000135698/ENSG00000111641/ENSG00000161970/ENSG00000100138/ENSG00000084092/ENSG00000100865/ENSG00000182899/ENSG00000242485/ENSG00000142676/ENSG00000241945/ENSG00000156256/ENSG00000196943/ENSG00000112578/ENSG00000123064/ENSG00000136271/ENSG00000177971/ENSG00000145414/ENSG00000215301/ENSG00000165699/ENSG00000029639/ENSG00000165271/ENSG00000186468/ENSG00000105671/ENSG00000124228/ENSG00000198585/ENSG00000227057/ENSG00000126524/ENSG00000149716/ENSG00000132153/ENSG00000291035/ENSG00000198301/ENSG00000118181"
"GO:0006364","rRNA processing",221,0.654702951347704,3.06039776529526,1e-10,1.50351351351351e-08,9.88051209103841e-09,3762,"tags=60%, list=20%, signal=48%","ENSG00000065183/ENSG00000170515/ENSG00000167721/ENSG00000127804/ENSG00000130826/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000107937/ENSG00000104626/ENSG00000146223/ENSG00000145220/ENSG00000101361/ENSG00000053372/ENSG00000087269/ENSG00000198492/ENSG00000138442/ENSG00000058729/ENSG00000130713/ENSG00000107371/ENSG00000164167/ENSG00000130935/ENSG00000198000/ENSG00000165732/ENSG00000171490/ENSG00000163811/ENSG00000088205/ENSG00000067533/ENSG00000144736/ENSG00000165526/ENSG00000162408/ENSG00000117395/ENSG00000039123/ENSG00000178105/ENSG00000179041/ENSG00000171316/ENSG00000100029/ENSG00000136045/ENSG00000156697/ENSG00000135372/ENSG00000160208/ENSG00000197498/ENSG00000133316/ENSG00000132275/ENSG00000148300/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000166197/ENSG00000088930/ENSG00000114767/ENSG00000089048/ENSG00000115761/ENSG00000115368/ENSG00000152464/ENSG00000155438/ENSG00000141101/ENSG00000148843/ENSG00000001497/ENSG00000108592/ENSG00000124541/ENSG00000278619/ENSG00000164934/ENSG00000119616/ENSG00000113460/ENSG00000075914/ENSG00000143751/ENSG00000121274/ENSG00000109534/ENSG00000055044/ENSG00000185163/ENSG00000147604/ENSG00000171103/ENSG00000183520/ENSG00000124787/ENSG00000129347/ENSG00000165733/ENSG00000122085/ENSG00000138382/ENSG00000164338/ENSG00000135900/ENSG00000160256/ENSG00000124383/ENSG00000151304/ENSG00000148688/ENSG00000150990/ENSG00000117481/ENSG00000171824/ENSG00000129460/ENSG00000117174/ENSG00000275464/ENSG00000150773/ENSG00000278053/ENSG00000084463/ENSG00000198042/ENSG00000123737/ENSG00000188917/ENSG00000172336/ENSG00000124784/ENSG00000162851/ENSG00000117133/ENSG00000113360/ENSG00000261236/ENSG00000188739/ENSG00000168228/ENSG00000160214/ENSG00000111615/ENSG00000171861/ENSG00000242372/ENSG00000142207/ENSG00000179409/ENSG00000135698/ENSG00000111641/ENSG00000161970/ENSG00000100138/ENSG00000182899/ENSG00000142676/ENSG00000241945/ENSG00000196943/ENSG00000112578/ENSG00000123064/ENSG00000136271/ENSG00000177971/ENSG00000145414/ENSG00000029639/ENSG00000165271/ENSG00000105671/ENSG00000124228/ENSG00000198585/ENSG00000227057/ENSG00000126524"
"GO:0016072","rRNA metabolic process",259,0.628300481811402,2.99549271504676,1e-10,1.50351351351351e-08,9.88051209103841e-09,3762,"tags=56%, list=20%, signal=46%","ENSG00000065183/ENSG00000170515/ENSG00000167721/ENSG00000127804/ENSG00000125630/ENSG00000130826/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000107937/ENSG00000104626/ENSG00000146223/ENSG00000145220/ENSG00000101361/ENSG00000053372/ENSG00000087269/ENSG00000198492/ENSG00000138442/ENSG00000058729/ENSG00000130713/ENSG00000107371/ENSG00000164167/ENSG00000130935/ENSG00000198000/ENSG00000165732/ENSG00000171490/ENSG00000163811/ENSG00000088205/ENSG00000067533/ENSG00000144736/ENSG00000165526/ENSG00000162408/ENSG00000117395/ENSG00000039123/ENSG00000178105/ENSG00000179041/ENSG00000171316/ENSG00000115053/ENSG00000100029/ENSG00000136045/ENSG00000156697/ENSG00000135372/ENSG00000160208/ENSG00000197498/ENSG00000166938/ENSG00000133316/ENSG00000132275/ENSG00000148300/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000166197/ENSG00000088930/ENSG00000114767/ENSG00000089048/ENSG00000115761/ENSG00000115368/ENSG00000152464/ENSG00000177469/ENSG00000155115/ENSG00000155438/ENSG00000070814/ENSG00000141101/ENSG00000148843/ENSG00000001497/ENSG00000108592/ENSG00000124541/ENSG00000278619/ENSG00000164934/ENSG00000137054/ENSG00000119616/ENSG00000113460/ENSG00000075914/ENSG00000125484/ENSG00000143751/ENSG00000121274/ENSG00000109534/ENSG00000055044/ENSG00000185163/ENSG00000147604/ENSG00000171103/ENSG00000183520/ENSG00000124787/ENSG00000160570/ENSG00000129347/ENSG00000165733/ENSG00000122085/ENSG00000138382/ENSG00000164338/ENSG00000135900/ENSG00000160256/ENSG00000124383/ENSG00000151304/ENSG00000148688/ENSG00000150990/ENSG00000117481/ENSG00000171824/ENSG00000129460/ENSG00000117174/ENSG00000275464/ENSG00000150773/ENSG00000278053/ENSG00000084463/ENSG00000198042/ENSG00000123737/ENSG00000188917/ENSG00000172336/ENSG00000124784/ENSG00000162851/ENSG00000117133/ENSG00000113360/ENSG00000261236/ENSG00000188739/ENSG00000168228/ENSG00000160214/ENSG00000111615/ENSG00000171861/ENSG00000242372/ENSG00000123144/ENSG00000142207/ENSG00000179409/ENSG00000135698/ENSG00000111641/ENSG00000147905/ENSG00000161970/ENSG00000100138/ENSG00000152684/ENSG00000182899/ENSG00000142676/ENSG00000241945/ENSG00000196943/ENSG00000112578/ENSG00000123064/ENSG00000136271/ENSG00000177971/ENSG00000145414/ENSG00000029639/ENSG00000127080/ENSG00000165271/ENSG00000105671/ENSG00000124228/ENSG00000198585/ENSG00000227057/ENSG00000158796/ENSG00000126524"
"GO:0034470","ncRNA processing",415,0.585595163400514,2.93861195023042,1e-10,1.50351351351351e-08,9.88051209103841e-09,3322,"tags=47%, list=18%, signal=39%","ENSG00000065183/ENSG00000170515/ENSG00000132463/ENSG00000065427/ENSG00000167721/ENSG00000127804/ENSG00000130826/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000107937/ENSG00000104626/ENSG00000146223/ENSG00000162623/ENSG00000145220/ENSG00000101361/ENSG00000053372/ENSG00000064102/ENSG00000100220/ENSG00000087269/ENSG00000115970/ENSG00000037474/ENSG00000198492/ENSG00000138442/ENSG00000104356/ENSG00000137760/ENSG00000079785/ENSG00000058729/ENSG00000102786/ENSG00000123600/ENSG00000130713/ENSG00000114503/ENSG00000100416/ENSG00000107371/ENSG00000164167/ENSG00000130935/ENSG00000198000/ENSG00000138050/ENSG00000165732/ENSG00000055917/ENSG00000171490/ENSG00000163811/ENSG00000088205/ENSG00000091127/ENSG00000067533/ENSG00000144736/ENSG00000165526/ENSG00000162408/ENSG00000037897/ENSG00000117395/ENSG00000039123/ENSG00000178105/ENSG00000179041/ENSG00000171316/ENSG00000100029/ENSG00000136045/ENSG00000104613/ENSG00000156697/ENSG00000165819/ENSG00000135372/ENSG00000160208/ENSG00000197498/ENSG00000138035/ENSG00000135297/ENSG00000133316/ENSG00000132275/ENSG00000148300/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000166197/ENSG00000119812/ENSG00000088930/ENSG00000114767/ENSG00000121486/ENSG00000108506/ENSG00000186666/ENSG00000089048/ENSG00000115761/ENSG00000115368/ENSG00000164941/ENSG00000152464/ENSG00000103707/ENSG00000138385/ENSG00000155438/ENSG00000141101/ENSG00000148843/ENSG00000001497/ENSG00000136937/ENSG00000189007/ENSG00000006744/ENSG00000108592/ENSG00000124541/ENSG00000154743/ENSG00000278619/ENSG00000164934/ENSG00000119616/ENSG00000113460/ENSG00000075914/ENSG00000143751/ENSG00000134644/ENSG00000121274/ENSG00000109534/ENSG00000055044/ENSG00000233101/ENSG00000185163/ENSG00000147604/ENSG00000198874/ENSG00000107614/ENSG00000087087/ENSG00000171103/ENSG00000043514/ENSG00000183520/ENSG00000165055/ENSG00000124787/ENSG00000162971/ENSG00000138614/ENSG00000160193/ENSG00000104299/ENSG00000105865/ENSG00000129347/ENSG00000165733/ENSG00000122085/ENSG00000138382/ENSG00000066651/ENSG00000164338/ENSG00000135900/ENSG00000160256/ENSG00000125352/ENSG00000124383/ENSG00000151304/ENSG00000148688/ENSG00000150990/ENSG00000117481/ENSG00000171824/ENSG00000087995/ENSG00000129460/ENSG00000117174/ENSG00000275464/ENSG00000113272/ENSG00000066654/ENSG00000189127/ENSG00000150773/ENSG00000278053/ENSG00000084463/ENSG00000198042/ENSG00000104047/ENSG00000123737/ENSG00000134759/ENSG00000188917/ENSG00000104907/ENSG00000172336/ENSG00000124784/ENSG00000126814/ENSG00000162851/ENSG00000117133/ENSG00000172315/ENSG00000113360/ENSG00000261236/ENSG00000126070/ENSG00000188739/ENSG00000183665/ENSG00000138785/ENSG00000168228/ENSG00000160214/ENSG00000111615/ENSG00000167264/ENSG00000151576/ENSG00000171861/ENSG00000242372/ENSG00000142207/ENSG00000179409/ENSG00000132773/ENSG00000135698/ENSG00000111641/ENSG00000211460/ENSG00000169570/ENSG00000084073/ENSG00000161970/ENSG00000163684/ENSG00000171262/ENSG00000100138/ENSG00000182899/ENSG00000142676/ENSG00000241945/ENSG00000072756/ENSG00000122435/ENSG00000101391/ENSG00000125378/ENSG00000113569/ENSG00000196943/ENSG00000112578/ENSG00000123064"
"GO:0042273","ribosomal large subunit biogenesis",75,0.709792774717209,2.79205073375327,1e-10,1.50351351351351e-08,9.88051209103841e-09,3172,"tags=63%, list=17%, signal=52%","ENSG00000107937/ENSG00000116922/ENSG00000048162/ENSG00000146223/ENSG00000053372/ENSG00000138442/ENSG00000171490/ENSG00000155393/ENSG00000088205/ENSG00000067533/ENSG00000111845/ENSG00000162408/ENSG00000117395/ENSG00000179041/ENSG00000171763/ENSG00000100029/ENSG00000197498/ENSG00000133316/ENSG00000181163/ENSG00000155438/ENSG00000001497/ENSG00000108592/ENSG00000132603/ENSG00000113460/ENSG00000118246/ENSG00000147604/ENSG00000188976/ENSG00000148296/ENSG00000073536/ENSG00000117174/ENSG00000089009/ENSG00000112159/ENSG00000198498/ENSG00000198042/ENSG00000117133/ENSG00000261236/ENSG00000188739/ENSG00000242372/ENSG00000142207/ENSG00000145375/ENSG00000111641/ENSG00000161970/ENSG00000100138/ENSG00000100865/ENSG00000182899/ENSG00000242485/ENSG00000142676"
"GO:0042274","ribosomal small subunit biogenesis",104,0.667665624853869,2.76371000746266,1e-10,1.50351351351351e-08,9.88051209103841e-09,2589,"tags=46%, list=14%, signal=40%","ENSG00000065183/ENSG00000167721/ENSG00000119285/ENSG00000011260/ENSG00000120800/ENSG00000136718/ENSG00000101361/ENSG00000087269/ENSG00000058729/ENSG00000164167/ENSG00000130935/ENSG00000163811/ENSG00000115946/ENSG00000179041/ENSG00000135372/ENSG00000181163/ENSG00000141076/ENSG00000105202/ENSG00000134987/ENSG00000114767/ENSG00000275700/ENSG00000115761/ENSG00000115368/ENSG00000141101/ENSG00000124541/ENSG00000164934/ENSG00000119616/ENSG00000055044/ENSG00000183520/ENSG00000124787/ENSG00000148296/ENSG00000129347/ENSG00000165733/ENSG00000143633/ENSG00000164338/ENSG00000160256/ENSG00000124383/ENSG00000151304/ENSG00000150990/ENSG00000171824/ENSG00000135521/ENSG00000129460/ENSG00000275464/ENSG00000278053/ENSG00000225921/ENSG00000124784/ENSG00000079246/ENSG00000111615"
"GO:0030490","maturation of SSU-rRNA",53,0.733556875698033,2.6545694802707,1e-10,1.50351351351351e-08,9.88051209103841e-09,2293,"tags=55%, list=12%, signal=48%","ENSG00000065183/ENSG00000167721/ENSG00000119285/ENSG00000120800/ENSG00000136718/ENSG00000087269/ENSG00000058729/ENSG00000164167/ENSG00000130935/ENSG00000163811/ENSG00000179041/ENSG00000135372/ENSG00000141076/ENSG00000115761/ENSG00000141101/ENSG00000124541/ENSG00000164934/ENSG00000119616/ENSG00000124787/ENSG00000129347/ENSG00000165733/ENSG00000160256/ENSG00000124383/ENSG00000151304/ENSG00000150990/ENSG00000129460/ENSG00000275464/ENSG00000278053/ENSG00000124784"
"GO:0022618","protein-RNA complex assembly",201,0.572280800816185,2.63313457324504,1e-10,1.50351351351351e-08,9.88051209103841e-09,4907,"tags=57%, list=26%, signal=43%","ENSG00000082516/ENSG00000117360/ENSG00000096384/ENSG00000104131/ENSG00000007392/ENSG00000183431/ENSG00000144231/ENSG00000053372/ENSG00000137574/ENSG00000079785/ENSG00000100462/ENSG00000116455/ENSG00000139726/ENSG00000175792/ENSG00000167005/ENSG00000080824/ENSG00000144736/ENSG00000136450/ENSG00000115524/ENSG00000179041/ENSG00000135829/ENSG00000197498/ENSG00000121058/ENSG00000184110/ENSG00000083635/ENSG00000110958/ENSG00000205571/ENSG00000111605/ENSG00000151131/ENSG00000136937/ENSG00000169249/ENSG00000096063/ENSG00000175054/ENSG00000174243/ENSG00000139218/ENSG00000100664/ENSG00000130741/ENSG00000113460/ENSG00000100353/ENSG00000137656/ENSG00000005436/ENSG00000141759/ENSG00000118246/ENSG00000075856/ENSG00000106263/ENSG00000067248/ENSG00000149100/ENSG00000110107/ENSG00000180574/ENSG00000134597/ENSG00000064703/ENSG00000152147/ENSG00000092208/ENSG00000073536/ENSG00000154548/ENSG00000189091/ENSG00000117174/ENSG00000145833/ENSG00000275464/ENSG00000089009/ENSG00000112159/ENSG00000150773/ENSG00000125870/ENSG00000146963/ENSG00000261236/ENSG00000126070/ENSG00000079246/ENSG00000104408/ENSG00000182004/ENSG00000023734/ENSG00000074201/ENSG00000108848/ENSG00000242372/ENSG00000179409/ENSG00000111641/ENSG00000100028/ENSG00000100138/ENSG00000132680/ENSG00000061936/ENSG00000167088/ENSG00000242485/ENSG00000168883/ENSG00000142676/ENSG00000241945/ENSG00000175390/ENSG00000145414/ENSG00000100410/ENSG00000172409/ENSG00000131043/ENSG00000142252/ENSG00000048740/ENSG00000149187/ENSG00000132153/ENSG00000188529/ENSG00000291035/ENSG00000107581/ENSG00000117569/ENSG00000122406/ENSG00000105618/ENSG00000139343/ENSG00000130811/ENSG00000204392/ENSG00000198242/ENSG00000240682/ENSG00000134371/ENSG00000163877/ENSG00000175467/ENSG00000099995/ENSG00000083896/ENSG00000003756/ENSG00000253729/ENSG00000115128/ENSG00000101343/ENSG00000172809/ENSG00000124562"
"GO:0071826","protein-RNA complex organization",209,0.556117494325101,2.54921689423665,1e-10,1.50351351351351e-08,9.88051209103841e-09,4919,"tags=56%, list=27%, signal=42%","ENSG00000082516/ENSG00000117360/ENSG00000096384/ENSG00000104131/ENSG00000007392/ENSG00000183431/ENSG00000144231/ENSG00000053372/ENSG00000137574/ENSG00000079785/ENSG00000100462/ENSG00000116455/ENSG00000139726/ENSG00000175792/ENSG00000167005/ENSG00000080824/ENSG00000144736/ENSG00000136450/ENSG00000115524/ENSG00000179041/ENSG00000135829/ENSG00000197498/ENSG00000121058/ENSG00000184110/ENSG00000083635/ENSG00000110958/ENSG00000205571/ENSG00000111605/ENSG00000151131/ENSG00000136937/ENSG00000169249/ENSG00000096063/ENSG00000175054/ENSG00000174243/ENSG00000139218/ENSG00000100664/ENSG00000130741/ENSG00000113460/ENSG00000100353/ENSG00000137656/ENSG00000005436/ENSG00000141759/ENSG00000118246/ENSG00000075856/ENSG00000106263/ENSG00000067248/ENSG00000149100/ENSG00000110107/ENSG00000180574/ENSG00000134597/ENSG00000064703/ENSG00000152147/ENSG00000092208/ENSG00000073536/ENSG00000154548/ENSG00000189091/ENSG00000117174/ENSG00000145833/ENSG00000275464/ENSG00000089009/ENSG00000112159/ENSG00000150773/ENSG00000125870/ENSG00000146963/ENSG00000261236/ENSG00000126070/ENSG00000079246/ENSG00000104408/ENSG00000182004/ENSG00000023734/ENSG00000074201/ENSG00000108848/ENSG00000242372/ENSG00000179409/ENSG00000111641/ENSG00000100028/ENSG00000100138/ENSG00000132680/ENSG00000061936/ENSG00000167088/ENSG00000242485/ENSG00000168883/ENSG00000142676/ENSG00000241945/ENSG00000175390/ENSG00000145414/ENSG00000100410/ENSG00000172409/ENSG00000131043/ENSG00000067596/ENSG00000142252/ENSG00000048740/ENSG00000149187/ENSG00000132153/ENSG00000188529/ENSG00000291035/ENSG00000107581/ENSG00000117569/ENSG00000122406/ENSG00000105618/ENSG00000139343/ENSG00000130811/ENSG00000170759/ENSG00000204392/ENSG00000198242/ENSG00000240682/ENSG00000134371/ENSG00000163877/ENSG00000175467/ENSG00000099995/ENSG00000083896/ENSG00000003756/ENSG00000253729/ENSG00000115128/ENSG00000101343/ENSG00000172809/ENSG00000124562/ENSG00000104231"
