"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0009117","nucleotide metabolic process",458,0.432670538847201,1.95327901455395,1e-10,1.89466666666667e-07,1.61929824561404e-07,4868,"tags=41%, list=23%, signal=32%","ENSG00000142657/ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000112992/ENSG00000138363/ENSG00000114573/ENSG00000182054/ENSG00000065427/ENSG00000023228/ENSG00000100714/ENSG00000171848/ENSG00000064763/ENSG00000103485/ENSG00000162813/ENSG00000103202/ENSG00000176890/ENSG00000035687/ENSG00000109971/ENSG00000116288/ENSG00000113161/ENSG00000163655/ENSG00000188641/ENSG00000128050/ENSG00000012660/ENSG00000133835/ENSG00000074800/ENSG00000167325/ENSG00000066322/ENSG00000065135/ENSG00000075239/ENSG00000162390/ENSG00000047230/ENSG00000171314/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000198793/ENSG00000152402/ENSG00000113648/ENSG00000065518/ENSG00000170522/ENSG00000111716/ENSG00000205542/ENSG00000165629/ENSG00000076043/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000122643/ENSG00000131844/ENSG00000106105/ENSG00000143158/ENSG00000162368/ENSG00000130021/ENSG00000123130/ENSG00000160191/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000198836/ENSG00000068366/ENSG00000008130/ENSG00000171109/ENSG00000130830/ENSG00000178035/ENSG00000197594/ENSG00000110435/ENSG00000004455/ENSG00000023697/ENSG00000004779/ENSG00000154518/ENSG00000197601/ENSG00000115129/ENSG00000014641/ENSG00000167508/ENSG00000004864/ENSG00000112972/ENSG00000139180/ENSG00000088002/ENSG00000169567/ENSG00000065833/ENSG00000128951/ENSG00000084774/ENSG00000139372/ENSG00000141510/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000146701/ENSG00000175206/ENSG00000135390/ENSG00000143179/ENSG00000065057/ENSG00000166321/ENSG00000165704/ENSG00000163931/ENSG00000125356/ENSG00000170502/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000168393/ENSG00000159131/ENSG00000113448/ENSG00000163541/ENSG00000158828/ENSG00000145494/ENSG00000165609/ENSG00000110921/ENSG00000116459/ENSG00000130313/ENSG00000105953/ENSG00000112599/ENSG00000110955/ENSG00000073417/ENSG00000112210/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000132341/ENSG00000292339/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000172340/ENSG00000082212/ENSG00000177156/ENSG00000106992/ENSG00000114779/ENSG00000171793/ENSG00000143252/ENSG00000243678/ENSG00000198585/ENSG00000166260/ENSG00000141698/ENSG00000157881/ENSG00000101911/ENSG00000085231/ENSG00000112874/ENSG00000171408/ENSG00000156110/ENSG00000131781/ENSG00000213619/ENSG00000152642/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000147416/ENSG00000100024/ENSG00000160305/ENSG00000159899/ENSG00000147044/ENSG00000138031/ENSG00000166855/ENSG00000183648/ENSG00000119421/ENSG00000005469/ENSG00000033867/ENSG00000154328/ENSG00000182389/ENSG00000116337/ENSG00000138430/ENSG00000215009/ENSG00000272325/ENSG00000076248/ENSG00000114956/ENSG00000196407/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000049239/ENSG00000168653/ENSG00000163344/ENSG00000159199/ENSG00000173598/ENSG00000116981"
"GO:0072521","purine-containing compound metabolic process",420,0.433532214652771,1.9454004407151,1e-10,1.89466666666667e-07,1.61929824561404e-07,4868,"tags=41%, list=23%, signal=32%","ENSG00000142657/ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000112992/ENSG00000138363/ENSG00000114573/ENSG00000182054/ENSG00000023228/ENSG00000100714/ENSG00000064763/ENSG00000103485/ENSG00000162813/ENSG00000103202/ENSG00000004487/ENSG00000035687/ENSG00000109971/ENSG00000113161/ENSG00000163655/ENSG00000188641/ENSG00000128050/ENSG00000012660/ENSG00000133835/ENSG00000074800/ENSG00000066322/ENSG00000065135/ENSG00000075239/ENSG00000162390/ENSG00000171314/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000198793/ENSG00000152402/ENSG00000113648/ENSG00000116237/ENSG00000065518/ENSG00000170522/ENSG00000111716/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000131844/ENSG00000143158/ENSG00000123130/ENSG00000160191/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000198836/ENSG00000068366/ENSG00000008130/ENSG00000171109/ENSG00000130830/ENSG00000178035/ENSG00000197594/ENSG00000110435/ENSG00000004455/ENSG00000023697/ENSG00000004779/ENSG00000154518/ENSG00000169299/ENSG00000197601/ENSG00000115129/ENSG00000014641/ENSG00000167508/ENSG00000004864/ENSG00000112972/ENSG00000139180/ENSG00000088002/ENSG00000169567/ENSG00000065833/ENSG00000141510/ENSG00000117118/ENSG00000138801/ENSG00000079691/ENSG00000103740/ENSG00000146701/ENSG00000175206/ENSG00000135390/ENSG00000099810/ENSG00000166321/ENSG00000106268/ENSG00000165704/ENSG00000163931/ENSG00000125356/ENSG00000170502/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000118777/ENSG00000159131/ENSG00000113448/ENSG00000163541/ENSG00000158828/ENSG00000145494/ENSG00000165609/ENSG00000110921/ENSG00000116459/ENSG00000130313/ENSG00000105953/ENSG00000112599/ENSG00000110955/ENSG00000073417/ENSG00000112210/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000132341/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000172340/ENSG00000082212/ENSG00000177156/ENSG00000106992/ENSG00000114779/ENSG00000143252/ENSG00000243678/ENSG00000198585/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000112874/ENSG00000171408/ENSG00000109667/ENSG00000156110/ENSG00000131781/ENSG00000213619/ENSG00000152642/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000147416/ENSG00000160305/ENSG00000159899/ENSG00000147044/ENSG00000138031/ENSG00000166855/ENSG00000183648/ENSG00000119421/ENSG00000005469/ENSG00000033867/ENSG00000182389/ENSG00000116337/ENSG00000138430/ENSG00000215009/ENSG00000165449/ENSG00000272325/ENSG00000114956/ENSG00000196407/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000049239/ENSG00000168653/ENSG00000163344/ENSG00000159199/ENSG00000173598/ENSG00000116981"
"GO:0006753","nucleoside phosphate metabolic process",466,0.426039965844058,1.9231640277485,1e-10,1.89466666666667e-07,1.61929824561404e-07,4868,"tags=40%, list=23%, signal=32%","ENSG00000142657/ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000112992/ENSG00000138363/ENSG00000114573/ENSG00000182054/ENSG00000065427/ENSG00000023228/ENSG00000100714/ENSG00000171848/ENSG00000064763/ENSG00000103485/ENSG00000162813/ENSG00000103202/ENSG00000176890/ENSG00000035687/ENSG00000109971/ENSG00000116288/ENSG00000113161/ENSG00000163655/ENSG00000188641/ENSG00000128050/ENSG00000012660/ENSG00000133835/ENSG00000074800/ENSG00000167325/ENSG00000066322/ENSG00000065135/ENSG00000075239/ENSG00000162390/ENSG00000047230/ENSG00000171314/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000198793/ENSG00000152402/ENSG00000113648/ENSG00000065518/ENSG00000170522/ENSG00000111716/ENSG00000205542/ENSG00000165629/ENSG00000076043/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000122643/ENSG00000131844/ENSG00000106105/ENSG00000143158/ENSG00000162368/ENSG00000130021/ENSG00000123130/ENSG00000160191/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000198836/ENSG00000068366/ENSG00000008130/ENSG00000171109/ENSG00000130830/ENSG00000178035/ENSG00000197594/ENSG00000110435/ENSG00000004455/ENSG00000023697/ENSG00000004779/ENSG00000154518/ENSG00000197601/ENSG00000115129/ENSG00000014641/ENSG00000167508/ENSG00000004864/ENSG00000112972/ENSG00000139180/ENSG00000088002/ENSG00000169567/ENSG00000065833/ENSG00000128951/ENSG00000084774/ENSG00000139372/ENSG00000141510/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000146701/ENSG00000175206/ENSG00000135390/ENSG00000143179/ENSG00000065057/ENSG00000166321/ENSG00000165704/ENSG00000163931/ENSG00000125356/ENSG00000170502/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000168393/ENSG00000159131/ENSG00000113448/ENSG00000163541/ENSG00000158828/ENSG00000145494/ENSG00000165609/ENSG00000110921/ENSG00000116459/ENSG00000130313/ENSG00000105953/ENSG00000112599/ENSG00000110955/ENSG00000073417/ENSG00000112210/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000132341/ENSG00000292339/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000172340/ENSG00000082212/ENSG00000177156/ENSG00000106992/ENSG00000114779/ENSG00000171793/ENSG00000143252/ENSG00000243678/ENSG00000198585/ENSG00000166260/ENSG00000141698/ENSG00000157881/ENSG00000101911/ENSG00000085231/ENSG00000112874/ENSG00000171408/ENSG00000156110/ENSG00000131781/ENSG00000213619/ENSG00000152642/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000147416/ENSG00000100024/ENSG00000160305/ENSG00000159899/ENSG00000147044/ENSG00000138031/ENSG00000166855/ENSG00000183648/ENSG00000119421/ENSG00000005469/ENSG00000033867/ENSG00000154328/ENSG00000182389/ENSG00000116337/ENSG00000138430/ENSG00000215009/ENSG00000272325/ENSG00000076248/ENSG00000114956/ENSG00000196407/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000049239/ENSG00000168653/ENSG00000163344/ENSG00000159199/ENSG00000173598/ENSG00000116981"
"GO:0006163","purine nucleotide metabolic process",400,0.426994040399247,1.90680009299927,1.74822437592102e-10,2.48422683818377e-07,2.12317249865145e-07,4868,"tags=41%, list=23%, signal=32%","ENSG00000142657/ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000112992/ENSG00000138363/ENSG00000114573/ENSG00000182054/ENSG00000023228/ENSG00000100714/ENSG00000064763/ENSG00000103485/ENSG00000162813/ENSG00000103202/ENSG00000035687/ENSG00000109971/ENSG00000113161/ENSG00000163655/ENSG00000128050/ENSG00000012660/ENSG00000133835/ENSG00000074800/ENSG00000066322/ENSG00000065135/ENSG00000075239/ENSG00000162390/ENSG00000171314/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000198793/ENSG00000152402/ENSG00000113648/ENSG00000065518/ENSG00000170522/ENSG00000111716/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000131844/ENSG00000143158/ENSG00000123130/ENSG00000160191/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000198836/ENSG00000068366/ENSG00000008130/ENSG00000171109/ENSG00000130830/ENSG00000178035/ENSG00000197594/ENSG00000110435/ENSG00000004455/ENSG00000023697/ENSG00000004779/ENSG00000154518/ENSG00000197601/ENSG00000115129/ENSG00000014641/ENSG00000167508/ENSG00000004864/ENSG00000112972/ENSG00000139180/ENSG00000088002/ENSG00000169567/ENSG00000065833/ENSG00000141510/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000146701/ENSG00000175206/ENSG00000135390/ENSG00000166321/ENSG00000165704/ENSG00000163931/ENSG00000125356/ENSG00000170502/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000159131/ENSG00000113448/ENSG00000163541/ENSG00000158828/ENSG00000145494/ENSG00000165609/ENSG00000110921/ENSG00000116459/ENSG00000130313/ENSG00000105953/ENSG00000112599/ENSG00000110955/ENSG00000073417/ENSG00000112210/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000132341/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000172340/ENSG00000082212/ENSG00000177156/ENSG00000106992/ENSG00000114779/ENSG00000143252/ENSG00000243678/ENSG00000198585/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000112874/ENSG00000171408/ENSG00000156110/ENSG00000131781/ENSG00000213619/ENSG00000152642/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000147416/ENSG00000160305/ENSG00000159899/ENSG00000147044/ENSG00000138031/ENSG00000166855/ENSG00000183648/ENSG00000119421/ENSG00000005469/ENSG00000033867/ENSG00000182389/ENSG00000116337/ENSG00000138430/ENSG00000215009/ENSG00000272325/ENSG00000114956/ENSG00000196407/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000049239/ENSG00000168653/ENSG00000163344/ENSG00000159199/ENSG00000173598/ENSG00000116981"
"GO:0009060","aerobic respiration",183,0.522504466833998,2.14003869630137,2.56643285681072e-10,2.91752087162243e-07,2.49349213351189e-07,5212,"tags=52%, list=25%, signal=39%","ENSG00000162433/ENSG00000112992/ENSG00000182054/ENSG00000023228/ENSG00000181192/ENSG00000091483/ENSG00000116288/ENSG00000166575/ENSG00000127540/ENSG00000172115/ENSG00000062485/ENSG00000121691/ENSG00000067829/ENSG00000095002/ENSG00000158864/ENSG00000119912/ENSG00000113648/ENSG00000134057/ENSG00000065518/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000131473/ENSG00000130414/ENSG00000122729/ENSG00000165280/ENSG00000131828/ENSG00000146729/ENSG00000198712/ENSG00000100644/ENSG00000140740/ENSG00000004779/ENSG00000166411/ENSG00000125648/ENSG00000131143/ENSG00000106153/ENSG00000014641/ENSG00000139180/ENSG00000189043/ENSG00000101365/ENSG00000136381/ENSG00000010256/ENSG00000117118/ENSG00000135537/ENSG00000146701/ENSG00000170312/ENSG00000125356/ENSG00000184076/ENSG00000140990/ENSG00000163541/ENSG00000158828/ENSG00000127184/ENSG00000067560/ENSG00000156467/ENSG00000145494/ENSG00000164919/ENSG00000116459/ENSG00000105953/ENSG00000110955/ENSG00000109390/ENSG00000198695/ENSG00000250479/ENSG00000136521/ENSG00000172340/ENSG00000198938/ENSG00000143252/ENSG00000169021/ENSG00000213619/ENSG00000212907/ENSG00000204370/ENSG00000073578/ENSG00000165060/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000198804/ENSG00000178741/ENSG00000183648/ENSG00000131174/ENSG00000119421/ENSG00000213465/ENSG00000114956/ENSG00000009950/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000168653/ENSG00000014919/ENSG00000135441/ENSG00000154723/ENSG00000137288/ENSG00000198727/ENSG00000233954/ENSG00000111775"
"GO:0009165","nucleotide biosynthetic process",261,0.472822165483031,2.01517731084652,6.44370818290978e-10,6.1043395519432e-07,5.2171426779173e-07,4270,"tags=39%, list=20%, signal=31%","ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000138363/ENSG00000114573/ENSG00000065427/ENSG00000023228/ENSG00000100714/ENSG00000171848/ENSG00000103485/ENSG00000103202/ENSG00000176890/ENSG00000035687/ENSG00000163655/ENSG00000128050/ENSG00000012660/ENSG00000074800/ENSG00000167325/ENSG00000066322/ENSG00000075239/ENSG00000047230/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000152402/ENSG00000065518/ENSG00000170522/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000106105/ENSG00000143158/ENSG00000162368/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000068366/ENSG00000008130/ENSG00000178035/ENSG00000110435/ENSG00000004455/ENSG00000004779/ENSG00000154518/ENSG00000004864/ENSG00000139180/ENSG00000065833/ENSG00000128951/ENSG00000084774/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000175206/ENSG00000135390/ENSG00000143179/ENSG00000165704/ENSG00000125356/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000168393/ENSG00000159131/ENSG00000158828/ENSG00000145494/ENSG00000116459/ENSG00000112599/ENSG00000110955/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000106992/ENSG00000171793/ENSG00000143252/ENSG00000243678/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000085231/ENSG00000112874/ENSG00000156110/ENSG00000213619/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000160305/ENSG00000159899/ENSG00000138031"
"GO:1901293","nucleoside phosphate biosynthetic process",262,0.4715489181872,2.0123503281774,8.51308816078062e-10,6.91262758655386e-07,5.90795516721843e-07,4270,"tags=39%, list=20%, signal=31%","ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000138363/ENSG00000114573/ENSG00000065427/ENSG00000023228/ENSG00000100714/ENSG00000171848/ENSG00000103485/ENSG00000103202/ENSG00000176890/ENSG00000035687/ENSG00000163655/ENSG00000128050/ENSG00000012660/ENSG00000074800/ENSG00000167325/ENSG00000066322/ENSG00000075239/ENSG00000047230/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000152402/ENSG00000065518/ENSG00000170522/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000106105/ENSG00000143158/ENSG00000162368/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000068366/ENSG00000008130/ENSG00000178035/ENSG00000110435/ENSG00000004455/ENSG00000004779/ENSG00000154518/ENSG00000004864/ENSG00000139180/ENSG00000065833/ENSG00000128951/ENSG00000084774/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000175206/ENSG00000135390/ENSG00000143179/ENSG00000165704/ENSG00000125356/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000168393/ENSG00000159131/ENSG00000158828/ENSG00000145494/ENSG00000116459/ENSG00000112599/ENSG00000110955/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000106992/ENSG00000171793/ENSG00000143252/ENSG00000243678/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000085231/ENSG00000112874/ENSG00000156110/ENSG00000213619/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000160305/ENSG00000159899/ENSG00000138031"
"GO:0045333","cellular respiration",227,0.485935401351659,2.04695354534459,1.09085021596682e-09,7.75049078444425e-07,6.62404440353536e-07,5243,"tags=49%, list=25%, signal=37%","ENSG00000162433/ENSG00000112992/ENSG00000182054/ENSG00000023228/ENSG00000181192/ENSG00000091483/ENSG00000116288/ENSG00000166575/ENSG00000127540/ENSG00000172115/ENSG00000115159/ENSG00000062485/ENSG00000121691/ENSG00000067829/ENSG00000095002/ENSG00000158864/ENSG00000119912/ENSG00000113648/ENSG00000134057/ENSG00000065518/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000177628/ENSG00000131473/ENSG00000130414/ENSG00000203668/ENSG00000122729/ENSG00000165280/ENSG00000131828/ENSG00000146729/ENSG00000198712/ENSG00000100644/ENSG00000140740/ENSG00000126602/ENSG00000004779/ENSG00000166411/ENSG00000125648/ENSG00000131143/ENSG00000106153/ENSG00000014641/ENSG00000004864/ENSG00000139180/ENSG00000115840/ENSG00000189043/ENSG00000101365/ENSG00000136381/ENSG00000010256/ENSG00000117118/ENSG00000135537/ENSG00000146701/ENSG00000105379/ENSG00000122873/ENSG00000170312/ENSG00000125356/ENSG00000184076/ENSG00000140990/ENSG00000169230/ENSG00000163541/ENSG00000158828/ENSG00000142166/ENSG00000127184/ENSG00000067560/ENSG00000156467/ENSG00000145494/ENSG00000164919/ENSG00000116459/ENSG00000105953/ENSG00000110955/ENSG00000140374/ENSG00000109390/ENSG00000198695/ENSG00000250479/ENSG00000136521/ENSG00000172340/ENSG00000198938/ENSG00000055917/ENSG00000256525/ENSG00000143252/ENSG00000169021/ENSG00000213619/ENSG00000212907/ENSG00000204370/ENSG00000073578/ENSG00000165060/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000198804/ENSG00000178741/ENSG00000183648/ENSG00000131174/ENSG00000119421/ENSG00000138035/ENSG00000213465/ENSG00000114956/ENSG00000009950/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000168653/ENSG00000014919/ENSG00000135441/ENSG00000167588/ENSG00000154723/ENSG00000137288/ENSG00000198727/ENSG00000233954/ENSG00000111775/ENSG00000186687"
"GO:0006164","purine nucleotide biosynthetic process",226,0.476566116738003,2.007293055487,4.25644956712267e-09,2.68818437105836e-06,2.29748710552879e-06,4820,"tags=43%, list=23%, signal=34%","ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000138363/ENSG00000114573/ENSG00000023228/ENSG00000100714/ENSG00000103485/ENSG00000103202/ENSG00000035687/ENSG00000163655/ENSG00000128050/ENSG00000012660/ENSG00000074800/ENSG00000066322/ENSG00000075239/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000152402/ENSG00000065518/ENSG00000170522/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000115919/ENSG00000097021/ENSG00000143158/ENSG00000165280/ENSG00000124212/ENSG00000131828/ENSG00000068366/ENSG00000008130/ENSG00000178035/ENSG00000110435/ENSG00000004455/ENSG00000004779/ENSG00000154518/ENSG00000004864/ENSG00000139180/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000175206/ENSG00000135390/ENSG00000165704/ENSG00000125356/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000159131/ENSG00000158828/ENSG00000145494/ENSG00000116459/ENSG00000112599/ENSG00000110955/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000198695/ENSG00000131238/ENSG00000106733/ENSG00000136521/ENSG00000106992/ENSG00000143252/ENSG00000243678/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000112874/ENSG00000156110/ENSG00000213619/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000160305/ENSG00000159899/ENSG00000138031/ENSG00000183648/ENSG00000119421/ENSG00000033867/ENSG00000116337/ENSG00000114956/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000168653/ENSG00000159199"
"GO:0019693","ribose phosphate metabolic process",344,0.425964998346288,1.86422546631459,4.97793459413259e-09,2.82945802330497e-06,2.4182282265181e-06,4868,"tags=41%, list=23%, signal=32%","ENSG00000162433/ENSG00000151726/ENSG00000198682/ENSG00000138363/ENSG00000114573/ENSG00000023228/ENSG00000100714/ENSG00000064763/ENSG00000162813/ENSG00000103202/ENSG00000035687/ENSG00000109971/ENSG00000113161/ENSG00000163655/ENSG00000188641/ENSG00000128050/ENSG00000012660/ENSG00000133835/ENSG00000074800/ENSG00000066322/ENSG00000065135/ENSG00000075239/ENSG00000162390/ENSG00000047230/ENSG00000143799/ENSG00000147224/ENSG00000158864/ENSG00000152402/ENSG00000065518/ENSG00000170522/ENSG00000205542/ENSG00000165629/ENSG00000150768/ENSG00000152234/ENSG00000121281/ENSG00000131473/ENSG00000130414/ENSG00000097021/ENSG00000131844/ENSG00000143158/ENSG00000162368/ENSG00000123130/ENSG00000160191/ENSG00000165280/ENSG00000131828/ENSG00000198836/ENSG00000068366/ENSG00000008130/ENSG00000171109/ENSG00000130830/ENSG00000178035/ENSG00000197594/ENSG00000110435/ENSG00000004455/ENSG00000004779/ENSG00000154518/ENSG00000197601/ENSG00000167508/ENSG00000004864/ENSG00000112972/ENSG00000139180/ENSG00000088002/ENSG00000169567/ENSG00000084774/ENSG00000117118/ENSG00000138801/ENSG00000103740/ENSG00000175206/ENSG00000135390/ENSG00000143179/ENSG00000165704/ENSG00000125356/ENSG00000170502/ENSG00000107798/ENSG00000196839/ENSG00000140990/ENSG00000159131/ENSG00000113448/ENSG00000163541/ENSG00000158828/ENSG00000145494/ENSG00000165609/ENSG00000110921/ENSG00000116459/ENSG00000105953/ENSG00000110955/ENSG00000073417/ENSG00000112210/ENSG00000109390/ENSG00000197977/ENSG00000125375/ENSG00000132341/ENSG00000198695/ENSG00000131238/ENSG00000136521/ENSG00000172340/ENSG00000106992/ENSG00000114779/ENSG00000171793/ENSG00000143252/ENSG00000243678/ENSG00000166260/ENSG00000157881/ENSG00000101911/ENSG00000171408/ENSG00000156110/ENSG00000213619/ENSG00000099797/ENSG00000212907/ENSG00000149925/ENSG00000204370/ENSG00000073578/ENSG00000198899/ENSG00000267855/ENSG00000198886/ENSG00000169020/ENSG00000147416/ENSG00000100024/ENSG00000160305/ENSG00000159899/ENSG00000147044/ENSG00000138031/ENSG00000166855/ENSG00000183648/ENSG00000119421/ENSG00000005469/ENSG00000182389/ENSG00000116337/ENSG00000138430/ENSG00000215009/ENSG00000272325/ENSG00000196407/ENSG00000099795/ENSG00000102125/ENSG00000184752/ENSG00000168653/ENSG00000163344/ENSG00000159199/ENSG00000173598/ENSG00000116981"
