"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006397","GO:0006397","mRNA processing",452,-0.403494350529737,-1.7489378821486,5.38520369296037e-08,0.000306094977907867,0.00026659592597887,5971,"tags=45%, list=29%, signal=33%","ENSG00000163510/ENSG00000204392/ENSG00000107290/ENSG00000138231/ENSG00000134748/ENSG00000060688/ENSG00000113593/ENSG00000140939/ENSG00000233101/ENSG00000165832/ENSG00000114316/ENSG00000112739/ENSG00000131876/ENSG00000152601/ENSG00000138433/ENSG00000134186/ENSG00000138376/ENSG00000127993/ENSG00000135250/ENSG00000168566/ENSG00000198783/ENSG00000153914/ENSG00000132680/ENSG00000178951/ENSG00000177483/ENSG00000101161/ENSG00000141425/ENSG00000123154/ENSG00000165630/ENSG00000108349/ENSG00000174953/ENSG00000177192/ENSG00000165494/ENSG00000136527/ENSG00000115053/ENSG00000084093/ENSG00000064607/ENSG00000067596/ENSG00000061936/ENSG00000182872/ENSG00000146007/ENSG00000134398/ENSG00000075856/ENSG00000169045/ENSG00000070756/ENSG00000136807/ENSG00000116455/ENSG00000171960/ENSG00000116001/ENSG00000174720/ENSG00000176102/ENSG00000114416/ENSG00000141543/ENSG00000115875/ENSG00000167112/ENSG00000109971/ENSG00000119707/ENSG00000134453/ENSG00000104967/ENSG00000163605/ENSG00000104824/ENSG00000100462/ENSG00000117614/ENSG00000087087/ENSG00000162664/ENSG00000138035/ENSG00000183684/ENSG00000092208/ENSG00000074201/ENSG00000182004/ENSG00000108561/ENSG00000132463/ENSG00000100650/ENSG00000160208/ENSG00000214575/ENSG00000188529/ENSG00000142528/ENSG00000164609/ENSG00000090060/ENSG00000178607/ENSG00000173914/ENSG00000100888/ENSG00000111605/ENSG00000132792/ENSG00000168066/ENSG00000139540/ENSG00000110107/ENSG00000102317/ENSG00000179409/ENSG00000169976/ENSG00000135473/ENSG00000240682/ENSG00000177613/ENSG00000149532/ENSG00000101489/ENSG00000143751/ENSG00000112183/ENSG00000136937/ENSG00000119720/ENSG00000125676/ENSG00000116754/ENSG00000198563/ENSG00000165819/ENSG00000161981/ENSG00000263465/ENSG00000170935/ENSG00000213516/ENSG00000071859/ENSG00000064703/ENSG00000137200/ENSG00000088247/ENSG00000099899/ENSG00000113649/ENSG00000101343/ENSG00000003756/ENSG00000144231/ENSG00000122257/ENSG00000100813/ENSG00000136709/ENSG00000143889/ENSG00000116560/ENSG00000086589/ENSG00000147140/ENSG00000079785/ENSG00000104859/ENSG00000164985/ENSG00000198860/ENSG00000163877/ENSG00000273559/ENSG00000100941/ENSG00000140830/ENSG00000164663/ENSG00000096401/ENSG00000139746/ENSG00000167258/ENSG00000170144/ENSG00000099889/ENSG00000142192/ENSG00000123200/ENSG00000125449/ENSG00000108654/ENSG00000169813/ENSG00000096063/ENSG00000172062/ENSG00000137574/ENSG00000077312/ENSG00000205937/ENSG00000111786/ENSG00000137656/ENSG00000082516/ENSG00000074356/ENSG00000149187/ENSG00000106245/ENSG00000107951/ENSG00000131043/ENSG00000185272/ENSG00000135316/ENSG00000115421/ENSG00000007392/ENSG00000165526/ENSG00000108848/ENSG00000155858/ENSG00000155966/ENSG00000100023/ENSG00000106344/ENSG00000160917/ENSG00000100028/ENSG00000180917/ENSG00000100056/ENSG00000114503/ENSG00000117616/ENSG00000100201/ENSG00000110063/ENSG00000197381/ENSG00000099622/ENSG00000215251/ENSG00000146457/ENSG00000156990/ENSG00000004487/ENSG00000070495/ENSG00000132819/ENSG00000174840/ENSG00000172409/ENSG00000128534/ENSG00000131051/ENSG00000101138/ENSG00000183431/ENSG00000167005/ENSG00000213079/ENSG00000135486/ENSG00000146963/ENSG00000091127/ENSG00000152520/ENSG00000154548/ENSG00000112941/ENSG00000128563/ENSG00000109819/ENSG00000100461/ENSG00000101452/ENSG00000189091/ENSG00000124193/ENSG00000101413"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis",467,-0.386234902122228,-1.67834102978489,1.83526188781459e-07,0.000521581428516908,0.000454275613599581,5979,"tags=45%, list=29%, signal=33%","ENSG00000160214/ENSG00000132341/ENSG00000204392/ENSG00000107290/ENSG00000111845/ENSG00000182362/ENSG00000140939/ENSG00000138442/ENSG00000147403/ENSG00000114316/ENSG00000182810/ENSG00000131876/ENSG00000125485/ENSG00000135900/ENSG00000055044/ENSG00000104884/ENSG00000092847/ENSG00000155438/ENSG00000148296/ENSG00000135250/ENSG00000182899/ENSG00000129347/ENSG00000169251/ENSG00000132680/ENSG00000278053/ENSG00000110958/ENSG00000254858/ENSG00000101161/ENSG00000124784/ENSG00000171316/ENSG00000075914/ENSG00000165630/ENSG00000114391/ENSG00000118246/ENSG00000110700/ENSG00000171763/ENSG00000145414/ENSG00000183520/ENSG00000124541/ENSG00000142207/ENSG00000061936/ENSG00000143486/ENSG00000130935/ENSG00000107581/ENSG00000147679/ENSG00000213553/ENSG00000134698/ENSG00000083845/ENSG00000104131/ENSG00000130810/ENSG00000089009/ENSG00000075856/ENSG00000122406/ENSG00000138326/ENSG00000116455/ENSG00000179041/ENSG00000132467/ENSG00000291035/ENSG00000048162/ENSG00000142937/ENSG00000141543/ENSG00000113460/ENSG00000290831/ENSG00000171490/ENSG00000170889/ENSG00000089048/ENSG00000171103/ENSG00000162408/ENSG00000150990/ENSG00000100462/ENSG00000188846/ENSG00000096384/ENSG00000092208/ENSG00000074201/ENSG00000198042/ENSG00000134419/ENSG00000182004/ENSG00000108561/ENSG00000084092/ENSG00000105373/ENSG00000122140/ENSG00000100650/ENSG00000160208/ENSG00000088205/ENSG00000188529/ENSG00000164609/ENSG00000165699/ENSG00000134697/ENSG00000145425/ENSG00000111605/ENSG00000198034/ENSG00000168066/ENSG00000164338/ENSG00000110107/ENSG00000161970/ENSG00000179409/ENSG00000169976/ENSG00000275464/ENSG00000240682/ENSG00000198301/ENSG00000198000/ENSG00000112306/ENSG00000149532/ENSG00000165732/ENSG00000101489/ENSG00000143633/ENSG00000143751/ENSG00000100129/ENSG00000136937/ENSG00000145220/ENSG00000198563/ENSG00000115368/ENSG00000089157/ENSG00000148843/ENSG00000130826/ENSG00000178896/ENSG00000188739/ENSG00000137876/ENSG00000139842/ENSG00000162851/ENSG00000058729/ENSG00000064703/ENSG00000186468/ENSG00000101343/ENSG00000132275/ENSG00000003756/ENSG00000144231/ENSG00000288920/ENSG00000142676/ENSG00000148303/ENSG00000079785/ENSG00000164985/ENSG00000185163/ENSG00000111641/ENSG00000163877/ENSG00000178694/ENSG00000198755/ENSG00000242372/ENSG00000124228/ENSG00000053372/ENSG00000166197/ENSG00000087269/ENSG00000073536/ENSG00000147604/ENSG00000077348/ENSG00000180574/ENSG00000142541/ENSG00000135763/ENSG00000105193/ENSG00000096063/ENSG00000168028/ENSG00000172062/ENSG00000120800/ENSG00000137574/ENSG00000135521/ENSG00000111786/ENSG00000171858/ENSG00000130741/ENSG00000137656/ENSG00000119285/ENSG00000163811/ENSG00000082898/ENSG00000082516/ENSG00000149187/ENSG00000001497/ENSG00000143319/ENSG00000131043/ENSG00000139726/ENSG00000007392/ENSG00000130713/ENSG00000135821/ENSG00000105372/ENSG00000165526/ENSG00000108848/ENSG00000083520/ENSG00000272047/ENSG00000188976/ENSG00000135372/ENSG00000172336/ENSG00000105202/ENSG00000065183/ENSG00000117597/ENSG00000151304/ENSG00000184110/ENSG00000100028/ENSG00000117481/ENSG00000120699/ENSG00000117616/ENSG00000100201/ENSG00000146223/ENSG00000130119/ENSG00000029639/ENSG00000198242/ENSG00000101181/ENSG00000175390/ENSG00000167721/ENSG00000223496/ENSG00000155393/ENSG00000132603/ENSG00000172409/ENSG00000083635/ENSG00000183431/ENSG00000198492/ENSG00000167005/ENSG00000177954/ENSG00000141101/ENSG00000146963/ENSG00000154548/ENSG00000101361/ENSG00000189091/ENSG00000116922/ENSG00000124193"
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion",189,0.462048900556182,1.81715163725981,2.80099252154649e-06,0.00321055198926228,0.0027962565290382,1443,"tags=19%, list=7%, signal=18%","ENSG00000049130/ENSG00000026508/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000136244/ENSG00000075624/ENSG00000106571/ENSG00000143772/ENSG00000119508/ENSG00000135046/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000272398/ENSG00000134954/ENSG00000165025/ENSG00000121807/ENSG00000150782/ENSG00000107099/ENSG00000072274/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000115457/ENSG00000067606/ENSG00000071051/ENSG00000077238/ENSG00000168040/ENSG00000108947/ENSG00000113811/ENSG00000196352/ENSG00000164136/ENSG00000167207"
"GO:0061458","GO:0061458","reproductive system development",248,-0.440300872588045,-1.80557011390499,2.82420125726801e-06,0.00321055198926228,0.0027962565290382,1627,"tags=20%, list=8%, signal=18%","ENSG00000091831/ENSG00000141448/ENSG00000160714/ENSG00000157796/ENSG00000184903/ENSG00000125875/ENSG00000032219/ENSG00000166224/ENSG00000172817/ENSG00000172216/ENSG00000005889/ENSG00000125378/ENSG00000143867/ENSG00000087510/ENSG00000158480/ENSG00000130699/ENSG00000106144/ENSG00000054598/ENSG00000137868/ENSG00000163083/ENSG00000184937/ENSG00000129757/ENSG00000171791/ENSG00000128714/ENSG00000106799/ENSG00000100625/ENSG00000137273/ENSG00000125398/ENSG00000087245/ENSG00000197122/ENSG00000114742/ENSG00000099942/ENSG00000124882/ENSG00000073282/ENSG00000136492/ENSG00000164104/ENSG00000168036/ENSG00000205336/ENSG00000141449/ENSG00000164292/ENSG00000162552/ENSG00000171105/ENSG00000181690/ENSG00000154734/ENSG00000121039/ENSG00000128052/ENSG00000175899/ENSG00000157404/ENSG00000172201"
"GO:0048608","GO:0048608","reproductive structure development",245,-0.44176937785858,-1.8004354164183,2.79166461737883e-06,0.00321055198926228,0.0027962565290382,1627,"tags=20%, list=8%, signal=18%","ENSG00000091831/ENSG00000141448/ENSG00000157796/ENSG00000184903/ENSG00000125875/ENSG00000032219/ENSG00000166224/ENSG00000172817/ENSG00000172216/ENSG00000005889/ENSG00000125378/ENSG00000143867/ENSG00000087510/ENSG00000158480/ENSG00000130699/ENSG00000106144/ENSG00000054598/ENSG00000137868/ENSG00000163083/ENSG00000184937/ENSG00000129757/ENSG00000171791/ENSG00000128714/ENSG00000106799/ENSG00000100625/ENSG00000137273/ENSG00000125398/ENSG00000087245/ENSG00000197122/ENSG00000114742/ENSG00000099942/ENSG00000124882/ENSG00000073282/ENSG00000136492/ENSG00000164104/ENSG00000168036/ENSG00000205336/ENSG00000141449/ENSG00000164292/ENSG00000162552/ENSG00000171105/ENSG00000181690/ENSG00000154734/ENSG00000121039/ENSG00000128052/ENSG00000175899/ENSG00000157404/ENSG00000172201"
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",84,0.566686046452247,1.98699160609869,1.00257841658707e-05,0.00566587482385194,0.00493474004529347,3041,"tags=36%, list=15%, signal=31%","ENSG00000148926/ENSG00000213694/ENSG00000117114/ENSG00000170214/ENSG00000184588/ENSG00000078369/ENSG00000154229/ENSG00000140577/ENSG00000171517/ENSG00000113369/ENSG00000153294/ENSG00000180758/ENSG00000150471/ENSG00000153292/ENSG00000113448/ENSG00000121281/ENSG00000186469/ENSG00000205213/ENSG00000065989/ENSG00000162104/ENSG00000175868/ENSG00000127507/ENSG00000121753/ENSG00000058668/ENSG00000123146/ENSG00000069122/ENSG00000170425/ENSG00000169252/ENSG00000109062/ENSG00000105290"
"GO:0071887","GO:0071887","leukocyte apoptotic process",94,0.534726281110588,1.89585991250752,1.15775250438639e-05,0.00566587482385194,0.00493474004529347,2113,"tags=26%, list=10%, signal=23%","ENSG00000049130/ENSG00000132906/ENSG00000073849/ENSG00000136244/ENSG00000131981/ENSG00000160049/ENSG00000106571/ENSG00000143772/ENSG00000135046/ENSG00000089041/ENSG00000153094/ENSG00000056972/ENSG00000107099/ENSG00000135047/ENSG00000081189/ENSG00000051382/ENSG00000168040/ENSG00000167207/ENSG00000100644/ENSG00000165806/ENSG00000185950/ENSG00000081181/ENSG00000160791/ENSG00000146072"
"GO:0045137","GO:0045137","development of primary sexual characteristics",189,-0.455550382208121,-1.80535274600893,9.14347444022864e-06,0.00566587482385194,0.00493474004529347,1627,"tags=20%, list=8%, signal=19%","ENSG00000091831/ENSG00000141448/ENSG00000157796/ENSG00000184903/ENSG00000125875/ENSG00000032219/ENSG00000166224/ENSG00000172216/ENSG00000005889/ENSG00000143867/ENSG00000087510/ENSG00000158480/ENSG00000130699/ENSG00000106144/ENSG00000054598/ENSG00000163083/ENSG00000184937/ENSG00000171791/ENSG00000106799/ENSG00000100625/ENSG00000125398/ENSG00000087245/ENSG00000197122/ENSG00000114742/ENSG00000099942/ENSG00000124882/ENSG00000136492/ENSG00000164104/ENSG00000205336/ENSG00000164292/ENSG00000145685/ENSG00000162552/ENSG00000171105/ENSG00000154734/ENSG00000121039/ENSG00000128052/ENSG00000175899/ENSG00000157404"
"GO:0007548","GO:0007548","sex differentiation",224,-0.437484093573429,-1.77138256584745,8.08524145765753e-06,0.00566587482385194,0.00493474004529347,1627,"tags=20%, list=8%, signal=19%","ENSG00000091831/ENSG00000141448/ENSG00000157796/ENSG00000122756/ENSG00000184903/ENSG00000125875/ENSG00000032219/ENSG00000166224/ENSG00000172216/ENSG00000005889/ENSG00000143867/ENSG00000087510/ENSG00000158480/ENSG00000130699/ENSG00000106144/ENSG00000054598/ENSG00000137868/ENSG00000163083/ENSG00000184937/ENSG00000171791/ENSG00000128714/ENSG00000106799/ENSG00000100625/ENSG00000137273/ENSG00000125398/ENSG00000087245/ENSG00000197122/ENSG00000114742/ENSG00000099942/ENSG00000124882/ENSG00000073282/ENSG00000136492/ENSG00000164104/ENSG00000168036/ENSG00000205336/ENSG00000141449/ENSG00000164292/ENSG00000145685/ENSG00000162552/ENSG00000171105/ENSG00000154734/ENSG00000121039/ENSG00000128052/ENSG00000175899/ENSG00000157404"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",191,0.449427992563479,1.76786984947304,1.11374992067957e-05,0.00566587482385194,0.00493474004529347,3040,"tags=28%, list=15%, signal=24%","ENSG00000138347/ENSG00000169851/ENSG00000173482/ENSG00000136826/ENSG00000136689/ENSG00000165731/ENSG00000189184/ENSG00000127418/ENSG00000169855/ENSG00000139211/ENSG00000143217/ENSG00000253873/ENSG00000086570/ENSG00000156453/ENSG00000185008/ENSG00000163347/ENSG00000158258/ENSG00000196083/ENSG00000150471/ENSG00000156284/ENSG00000186567/ENSG00000081818/ENSG00000139182/ENSG00000017260/ENSG00000051382/ENSG00000089327/ENSG00000188404/ENSG00000046604/ENSG00000113248/ENSG00000085552/ENSG00000196159/ENSG00000149573/ENSG00000083857/ENSG00000005884/ENSG00000112139/ENSG00000272674/ENSG00000139880/ENSG00000120327/ENSG00000184349/ENSG00000254122/ENSG00000113555/ENSG00000177839/ENSG00000110400/ENSG00000198910/ENSG00000145934/ENSG00000128536/ENSG00000039068/ENSG00000125845/ENSG00000171603/ENSG00000197410/ENSG00000165323/ENSG00000120324/ENSG00000177963/ENSG00000075945"
