"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1903039","positive regulation of leukocyte cell-cell adhesion",189,0.462048900548301,1.8124235504398,6.51500076911059e-06,0.00556685769387819,0.00491448028199513,1443,"tags=19%, list=7%, signal=18%","ENSG00000049130/ENSG00000026508/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000136244/ENSG00000075624/ENSG00000106571/ENSG00000143772/ENSG00000119508/ENSG00000135046/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000272398/ENSG00000134954/ENSG00000165025/ENSG00000121807/ENSG00000150782/ENSG00000107099/ENSG00000072274/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000115457/ENSG00000067606/ENSG00000071051/ENSG00000077238/ENSG00000168040/ENSG00000108947/ENSG00000113811/ENSG00000196352/ENSG00000164136/ENSG00000167207"
"GO:0022409","positive regulation of cell-cell adhesion",225,0.438838568416158,1.76138629392556,6.85573607620466e-06,0.00556685769387819,0.00491448028199513,1443,"tags=19%, list=7%, signal=18%","ENSG00000049130/ENSG00000026508/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000136244/ENSG00000075624/ENSG00000106571/ENSG00000143772/ENSG00000119508/ENSG00000135046/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000272398/ENSG00000134954/ENSG00000165025/ENSG00000121807/ENSG00000150782/ENSG00000101144/ENSG00000174839/ENSG00000107099/ENSG00000072274/ENSG00000129514/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000115457/ENSG00000067606/ENSG00000011422/ENSG00000071051/ENSG00000162434/ENSG00000077238/ENSG00000168040/ENSG00000108947/ENSG00000113811/ENSG00000137312/ENSG00000196352/ENSG00000164136/ENSG00000167207"
"GO:0050870","positive regulation of T cell activation",172,0.462686633778111,1.78490280539277,9.19634069238029e-06,0.00653400006193619,0.00576828369481274,1578,"tags=20%, list=8%, signal=18%","ENSG00000049130/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000136244/ENSG00000075624/ENSG00000106571/ENSG00000143772/ENSG00000135046/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000272398/ENSG00000165025/ENSG00000121807/ENSG00000150782/ENSG00000107099/ENSG00000072274/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000115457/ENSG00000067606/ENSG00000071051/ENSG00000077238/ENSG00000168040/ENSG00000108947/ENSG00000113811/ENSG00000196352/ENSG00000164136/ENSG00000167207/ENSG00000141968"
"GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway",84,0.566686046452281,1.97252158608985,1.21197075537085e-05,0.00752543247829219,0.006643530616693,3041,"tags=36%, list=15%, signal=31%","ENSG00000148926/ENSG00000213694/ENSG00000117114/ENSG00000170214/ENSG00000184588/ENSG00000078369/ENSG00000154229/ENSG00000140577/ENSG00000171517/ENSG00000113369/ENSG00000153294/ENSG00000180758/ENSG00000150471/ENSG00000153292/ENSG00000113448/ENSG00000121281/ENSG00000186469/ENSG00000205213/ENSG00000065989/ENSG00000162104/ENSG00000175868/ENSG00000127507/ENSG00000121753/ENSG00000058668/ENSG00000123146/ENSG00000069122/ENSG00000170425/ENSG00000169252/ENSG00000109062/ENSG00000105290"
"GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules",191,0.449427992563482,1.7676038555575,1.71039455155134e-05,0.00795203840623894,0.00702014279835198,3040,"tags=28%, list=15%, signal=24%","ENSG00000138347/ENSG00000169851/ENSG00000173482/ENSG00000136826/ENSG00000136689/ENSG00000165731/ENSG00000189184/ENSG00000127418/ENSG00000169855/ENSG00000139211/ENSG00000143217/ENSG00000253873/ENSG00000086570/ENSG00000156453/ENSG00000185008/ENSG00000163347/ENSG00000158258/ENSG00000196083/ENSG00000150471/ENSG00000156284/ENSG00000186567/ENSG00000081818/ENSG00000139182/ENSG00000017260/ENSG00000051382/ENSG00000089327/ENSG00000188404/ENSG00000046604/ENSG00000113248/ENSG00000085552/ENSG00000196159/ENSG00000149573/ENSG00000083857/ENSG00000005884/ENSG00000112139/ENSG00000272674/ENSG00000139880/ENSG00000120327/ENSG00000184349/ENSG00000254122/ENSG00000113555/ENSG00000177839/ENSG00000110400/ENSG00000198910/ENSG00000145934/ENSG00000128536/ENSG00000039068/ENSG00000125845/ENSG00000171603/ENSG00000197410/ENSG00000165323/ENSG00000120324/ENSG00000177963/ENSG00000075945"
"GO:2000116","regulation of cysteine-type endopeptidase activity",160,0.471449704838566,1.80127381721081,1.98135770125426e-05,0.00804431226709228,0.00710160312923236,2790,"tags=27%, list=13%, signal=23%","ENSG00000026508/ENSG00000132906/ENSG00000175793/ENSG00000010810/ENSG00000112378/ENSG00000172175/ENSG00000136826/ENSG00000137752/ENSG00000196730/ENSG00000181104/ENSG00000169855/ENSG00000096968/ENSG00000117525/ENSG00000116288/ENSG00000165025/ENSG00000106100/ENSG00000129521/ENSG00000197442/ENSG00000172115/ENSG00000158125/ENSG00000123612/ENSG00000180953/ENSG00000011422/ENSG00000168040/ENSG00000240583/ENSG00000144746/ENSG00000132170/ENSG00000099992/ENSG00000003400/ENSG00000112715/ENSG00000221867/ENSG00000115317/ENSG00000198363/ENSG00000121858/ENSG00000172243/ENSG00000112977/ENSG00000075891/ENSG00000078081/ENSG00000233276/ENSG00000064012/ENSG00000114446/ENSG00000170236/ENSG00000156574"
"GO:0002830","positive regulation of type 2 immune response",10,0.895366290055978,1.94957406253493,2.70508511902063e-05,0.0083342013057315,0.00735752020897479,1443,"tags=70%, list=7%, signal=65%","ENSG00000136244/ENSG00000107485/ENSG00000150782/ENSG00000213047/ENSG00000067606/ENSG00000077238/ENSG00000167207"
"GO:0071887","leukocyte apoptotic process",94,0.534726281110579,1.89883203925391,2.85946517778247e-05,0.0083342013057315,0.00735752020897479,2113,"tags=26%, list=10%, signal=23%","ENSG00000049130/ENSG00000132906/ENSG00000073849/ENSG00000136244/ENSG00000131981/ENSG00000160049/ENSG00000106571/ENSG00000143772/ENSG00000135046/ENSG00000089041/ENSG00000153094/ENSG00000056972/ENSG00000107099/ENSG00000135047/ENSG00000081189/ENSG00000051382/ENSG00000168040/ENSG00000167207/ENSG00000100644/ENSG00000165806/ENSG00000185950/ENSG00000081181/ENSG00000160791/ENSG00000146072"
"GO:0051251","positive regulation of lymphocyte activation",232,0.421436407346108,1.68609995329737,3.0791384134476e-05,0.0083342013057315,0.00735752020897479,1443,"tags=17%, list=7%, signal=16%","ENSG00000049130/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000136244/ENSG00000075624/ENSG00000124762/ENSG00000122512/ENSG00000106571/ENSG00000134215/ENSG00000143772/ENSG00000135046/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000116670/ENSG00000272398/ENSG00000165025/ENSG00000121807/ENSG00000150782/ENSG00000107099/ENSG00000072274/ENSG00000081189/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000115457/ENSG00000172936/ENSG00000067606/ENSG00000071051/ENSG00000077238/ENSG00000168040/ENSG00000108947/ENSG00000198846/ENSG00000113811/ENSG00000196352/ENSG00000164136/ENSG00000167207"
"GO:0045785","positive regulation of cell adhesion",361,0.379644476122341,1.59991178689789,2.330993749952e-05,0.0083342013057315,0.00735752020897479,1585,"tags=20%, list=8%, signal=19%","ENSG00000049130/ENSG00000026508/ENSG00000100097/ENSG00000010810/ENSG00000172175/ENSG00000020633/ENSG00000164171/ENSG00000136244/ENSG00000075624/ENSG00000197747/ENSG00000091986/ENSG00000165731/ENSG00000106571/ENSG00000134215/ENSG00000143772/ENSG00000119508/ENSG00000135046/ENSG00000099250/ENSG00000154229/ENSG00000008256/ENSG00000198793/ENSG00000107485/ENSG00000096968/ENSG00000272398/ENSG00000173156/ENSG00000136238/ENSG00000134954/ENSG00000165025/ENSG00000121807/ENSG00000091136/ENSG00000150782/ENSG00000101144/ENSG00000168743/ENSG00000213853/ENSG00000174839/ENSG00000173402/ENSG00000120899/ENSG00000071054/ENSG00000107099/ENSG00000072274/ENSG00000101311/ENSG00000091409/ENSG00000129514/ENSG00000108691/ENSG00000138814/ENSG00000231389/ENSG00000110492/ENSG00000124782/ENSG00000115457/ENSG00000153071/ENSG00000105810/ENSG00000126458/ENSG00000067606/ENSG00000011422/ENSG00000071051/ENSG00000162434/ENSG00000077238/ENSG00000171877/ENSG00000168040/ENSG00000168615/ENSG00000108947/ENSG00000113811/ENSG00000196569/ENSG00000137312/ENSG00000196352/ENSG00000164136/ENSG00000154175/ENSG00000167207/ENSG00000185043/ENSG00000005884/ENSG00000181284/ENSG00000141968/ENSG00000082701"
