"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",129,-0.683932074022965,-3.01026878513932,1e-10,2.48571428571429e-09,1.77443609022556e-09,3333,"tags=64%, list=19%, signal=52%","6206/6166/51121/6218/51318/64960/6222/7311/6208/6204/6159/65003/6209/11224/6203/6229/6205/6170/6134/6227/6224/6193/6181/6168/6217/65005/6189/6142/6136/6194/6155/6231/6157/6144/6202/6232/11222/6233/6191/6207/6230/6210/28998/51065/64969/29074/6160/29093/219927/6201/51023/6188/6133/6161/6141/23521/2197/6228/6167/6147/6154/64968/6164/6138/6152/6135/64965/6158/6165/4736/6173/6122/6130/6125/6139/6143/6156/200916/6128/9045/6124/9349/6129"
"hsa03050","hsa03050","Proteasome",43,-0.796539329890944,-2.8569684610892,1e-10,2.48571428571429e-09,1.77443609022556e-09,1518,"tags=70%, list=9%, signal=64%","9491/5708/5721/5719/5718/5689/5702/10197/11047/5685/5706/5691/5717/5709/5701/9861/51371/5692/23198/5684/5704/10213/5694/5710/5690/5705/5686/5700/5707/5695"
"hsa05020","hsa05020","Prion disease",241,-0.572851910706881,-2.74647385364536,1e-10,2.48571428571429e-09,1.77443609022556e-09,2437,"tags=44%, list=14%, signal=38%","1457/4711/10476/513/2905/1327/54205/5714/7846/7384/1345/4702/5688/116444/517/539/4724/4688/516/4717/6263/581/1537/4715/5533/7381/4535/7385/1965/7388/5708/515/4720/4512/498/4712/4704/4725/5580/5594/4722/776/5719/5718/4539/1459/5603/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/5717/4538/5532/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/5700/5707/203068/4541/3304/3303/10963/84790/5695/7416/3312/10376"
"hsa00190","hsa00190","Oxidative phosphorylation",124,-0.618355950268563,-2.69412895788733,1e-10,2.48571428571429e-09,1.77443609022556e-09,3901,"tags=64%, list=23%, signal=50%","126328/506/522/1347/4708/1329/4705/55967/4694/4707/1350/4697/4709/54539/1349/514/6389/9377/9550/4714/4711/10476/513/1327/54205/7384/525/1345/4702/517/539/4724/516/4717/1537/4715/10312/10063/7381/4535/27068/7385/7388/515/4720/4512/498/4712/4704/51382/4725/4722/4539/4514/6390/9114/509/6391/528/64077/4728/4706/4538/518/4726/5464/4710/4719/529/4731/4508/4716/4513/4540/4519/51606/10975/23545/4541"
"hsa05012","hsa05012","Parkinson disease",246,-0.543104476448968,-2.60182473957078,1e-10,2.48571428571429e-09,1.77443609022556e-09,3816,"tags=54%, list=22%, signal=43%","522/1347/64837/2771/4708/11315/818/3710/1329/4705/25800/55967/55630/4694/7314/4707/1350/4697/10105/5335/4709/7311/54539/1349/5687/514/817/6389/9377/4714/84617/5682/808/4711/10476/513/1327/54205/5714/7846/7384/7345/1345/4702/5688/517/539/4724/516/4717/6263/581/1537/4715/7381/4535/7385/1965/7388/2773/6233/5708/515/805/4720/4512/498/4712/4704/4725/4722/7295/5719/4780/5718/4539/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/7317/5717/4538/5709/801/5701/9861/518/5692/4726/5684/5704/10213/4710/4719/5694/4731/4508/55669/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/10131/5700/5707/203068/4541/7327/7157/84790/5695/7416/10376"
"hsa05016","hsa05016","Huntington disease",280,-0.525309567612299,-2.56354623667907,1e-10,2.48571428571429e-09,1.77443609022556e-09,2645,"tags=39%, list=15%, signal=34%","7186/4714/84617/6874/5682/1212/4711/5432/10476/513/5435/1327/54205/5714/7846/7384/5468/1345/4702/5688/517/539/4724/516/160/4717/581/1537/4715/127602/7381/4535/7385/55062/7388/5430/5437/5708/515/8218/4720/4512/498/4712/4704/4725/22863/4722/5719/5718/5331/4539/3092/4514/6390/292/5689/5702/7417/509/6507/11047/6391/1213/7419/5685/5706/4728/6647/4706/5691/5717/4538/1211/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/4716/4513/5690/4540/5705/4519/5431/10975/5686/5700/5707/203068/4541/7157/84790/5695/7416/10540/10376"
"hsa03040","hsa03040","Spliceosome",131,-0.559623096360577,-2.45446052890601,1e-10,2.48571428571429e-09,1.77443609022556e-09,3738,"tags=55%, list=22%, signal=43%","11017/83443/55110/6633/6432/51645/4116/6636/9785/55119/24148/101954278/6431/23451/6434/51503/642659/6628/6632/6637/3183/58517/6631/3190/7919/10465/2521/5356/10992/9092/8683/22985/3192/10262/51639/57187/25766/1655/6634/9879/23450/9416/56259/10915/153527/220988/11338/27339/6627/10907/4809/6625/6629/57819/10946/6635/10713/6626/4670/27316/6430/10291/11157/3178/8175/6427/10084/6426/10189/3304/3303/3312"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",332,-0.485377714414933,-2.41955463194341,1e-10,2.48571428571429e-09,1.77443609022556e-09,2802,"tags=41%, list=16%, signal=35%","6389/7175/10482/9377/642659/7186/4714/84617/9688/5682/23225/4711/10476/513/2905/1327/54205/5714/7846/53371/7384/55706/29979/1345/4702/2521/5688/10280/9818/517/539/4724/516/4717/10452/55746/581/1537/4715/4928/5533/127602/7381/4535/7385/55062/1965/7388/23435/5708/515/5216/4720/4512/498/4712/11273/5861/4704/79023/4725/220988/22863/4927/4722/23511/5719/5718/4539/5603/4514/6390/637/310/5689/5702/509/11047/6391/8878/5685/5706/6311/4728/79902/6647/2733/311/4706/5691/5717/4538/5532/5709/81929/60/5701/9861/518/9896/5692/400916/3178/4726/5684/5704/10213/4710/4719/5694/4731/4508/5710/4716/4513/5690/4540/5705/4519/9631/10975/5686/71/5700/5707/56893/203068/4541/10189/7157/84790/5695/7416/10540/10376"
"hsa04714","hsa04714","Thermogenesis",214,-0.49989389716173,-2.3728235039328,1e-10,2.48571428571429e-09,1.77443609022556e-09,3907,"tags=51%, list=23%, signal=40%","6300/126328/506/522/1347/4708/7248/1329/4705/55967/55471/152831/6604/4694/123096/4707/1350/4697/5571/4709/54539/1349/4878/514/51703/6389/4893/9377/6597/4714/79133/57104/4711/10476/513/1327/5346/7384/5468/6603/6599/1345/4702/1375/517/539/4724/6194/516/4717/1537/4715/10063/7381/4535/91942/6602/7385/7388/2260/107/515/86/656/4720/4512/498/4712/4704/4725/4722/109/4539/5563/5603/4514/6390/6195/509/6391/84335/5566/63976/4728/4706/4538/60/518/4726/1385/113/2180/4710/4719/4731/4508/5567/116228/4716/4513/2182/4540/4519/10975/71/4541/6598/1374/23028"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",177,-0.48481270638682,-2.23323439961311,1e-10,2.48571428571429e-09,1.77443609022556e-09,3333,"tags=47%, list=19%, signal=39%","6206/6166/51121/6218/5335/6222/7311/6208/6204/6159/6209/11224/6203/6229/6205/6347/6170/6134/6227/6224/6193/6885/6181/10747/3661/6168/9636/6217/6773/6189/6142/6136/6194/6155/6231/6157/6144/6202/1147/6232/6233/6191/6207/10379/6230/6210/5594/51065/5603/6160/6201/6188/5336/6133/6161/6141/23521/2197/6228/3455/6167/6147/6154/6164/57506/6138/6152/6135/6158/6165/4736/6173/6122/6130/6125/6139/6143/6156/200916/6128/9045/6124/9349/6129"
