"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",129,-0.683932074022965,-2.97677442973037,1e-10,2.67692307692308e-09,1.91902834008097e-09,3333,"tags=64%, list=19%, signal=52%","6206/6166/51121/6218/51318/64960/6222/7311/6208/6204/6159/65003/6209/11224/6203/6229/6205/6170/6134/6227/6224/6193/6181/6168/6217/65005/6189/6142/6136/6194/6155/6231/6157/6144/6202/6232/11222/6233/6191/6207/6230/6210/28998/51065/64969/29074/6160/29093/219927/6201/51023/6188/6133/6161/6141/23521/2197/6228/6167/6147/6154/64968/6164/6138/6152/6135/64965/6158/6165/4736/6173/6122/6130/6125/6139/6143/6156/200916/6128/9045/6124/9349/6129"
"hsa03050","Proteasome",43,-0.796539328737285,-2.82047918619546,1e-10,2.67692307692308e-09,1.91902834008097e-09,1518,"tags=70%, list=9%, signal=64%","9491/5708/5721/5719/5718/5689/5702/10197/11047/5685/5706/5691/5717/5709/5701/9861/51371/5692/23198/5684/5704/10213/5694/5710/5690/5705/5686/5700/5707/5695"
"hsa05020","Prion disease",241,-0.572851909980147,-2.71629533106728,1e-10,2.67692307692308e-09,1.91902834008097e-09,2437,"tags=44%, list=14%, signal=38%","1457/4711/10476/513/2905/1327/54205/5714/7846/7384/1345/4702/5688/116444/517/539/4724/4688/516/4717/6263/581/1537/4715/5533/7381/4535/7385/1965/7388/5708/515/4720/4512/498/4712/4704/4725/5580/5594/4722/776/5719/5718/4539/1459/5603/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/5717/4538/5532/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/5700/5707/203068/4541/3304/3303/10963/84790/5695/7416/3312/10376"
"hsa00190","Oxidative phosphorylation",124,-0.618355950268564,-2.6798505293041,1e-10,2.67692307692308e-09,1.91902834008097e-09,3901,"tags=64%, list=23%, signal=50%","126328/506/522/1347/4708/1329/4705/55967/4694/4707/1350/4697/4709/54539/1349/514/6389/9377/9550/4714/4711/10476/513/1327/54205/7384/525/1345/4702/517/539/4724/516/4717/1537/4715/10312/10063/7381/4535/27068/7385/7388/515/4720/4512/498/4712/4704/51382/4725/4722/4539/4514/6390/9114/509/6391/528/64077/4728/4706/4538/518/4726/5464/4710/4719/529/4731/4508/4716/4513/4540/4519/51606/10975/23545/4541"
"hsa05012","Parkinson disease",246,-0.54310447603064,-2.57520395414904,1e-10,2.67692307692308e-09,1.91902834008097e-09,3816,"tags=54%, list=22%, signal=43%","522/1347/64837/2771/4708/11315/818/3710/1329/4705/25800/55967/55630/4694/7314/4707/1350/4697/10105/5335/4709/7311/54539/1349/5687/514/817/6389/9377/4714/84617/5682/808/4711/10476/513/1327/54205/5714/7846/7384/7345/1345/4702/5688/517/539/4724/516/4717/6263/581/1537/4715/7381/4535/7385/1965/7388/2773/6233/5708/515/805/4720/4512/498/4712/4704/4725/4722/7295/5719/4780/5718/4539/4514/6390/292/5689/5702/7417/509/11047/6391/5566/7419/5685/5706/4728/6647/4706/5691/7317/5717/4538/5709/801/5701/9861/518/5692/4726/5684/5704/10213/4710/4719/5694/4731/4508/55669/291/5710/5567/4716/4513/5690/4540/5705/4519/10975/5686/10131/5700/5707/203068/4541/7327/7157/84790/5695/7416/10376"
"hsa05016","Huntington disease",280,-0.525309566838496,-2.52840868099709,1e-10,2.67692307692308e-09,1.91902834008097e-09,2645,"tags=39%, list=15%, signal=34%","7186/4714/84617/6874/5682/1212/4711/5432/10476/513/5435/1327/54205/5714/7846/7384/5468/1345/4702/5688/517/539/4724/516/160/4717/581/1537/4715/127602/7381/4535/7385/55062/7388/5430/5437/5708/515/8218/4720/4512/498/4712/4704/4725/22863/4722/5719/5718/5331/4539/3092/4514/6390/292/5689/5702/7417/509/6507/11047/6391/1213/7419/5685/5706/4728/6647/4706/5691/5717/4538/1211/5709/5701/9861/518/5692/4726/5684/5704/10213/1385/4710/4719/5694/4731/4508/291/5710/4716/4513/5690/4540/5705/4519/5431/10975/5686/5700/5707/203068/4541/7157/84790/5695/7416/10540/10376"
"hsa03040","Spliceosome",131,-0.559623096360577,-2.43834084628799,1e-10,2.67692307692308e-09,1.91902834008097e-09,3738,"tags=55%, list=22%, signal=43%","11017/83443/55110/6633/6432/51645/4116/6636/9785/55119/24148/101954278/6431/23451/6434/51503/642659/6628/6632/6637/3183/58517/6631/3190/7919/10465/2521/5356/10992/9092/8683/22985/3192/10262/51639/57187/25766/1655/6634/9879/23450/9416/56259/10915/153527/220988/11338/27339/6627/10907/4809/6625/6629/57819/10946/6635/10713/6626/4670/27316/6430/10291/11157/3178/8175/6427/10084/6426/10189/3304/3303/3312"
"hsa05014","Amyotrophic lateral sclerosis",332,-0.485377713735331,-2.37665607509104,1e-10,2.67692307692308e-09,1.91902834008097e-09,2802,"tags=41%, list=16%, signal=35%","6389/7175/10482/9377/642659/7186/4714/84617/9688/5682/23225/4711/10476/513/2905/1327/54205/5714/7846/53371/7384/55706/29979/1345/4702/2521/5688/10280/9818/517/539/4724/516/4717/10452/55746/581/1537/4715/4928/5533/127602/7381/4535/7385/55062/1965/7388/23435/5708/515/5216/4720/4512/498/4712/11273/5861/4704/79023/4725/220988/22863/4927/4722/23511/5719/5718/4539/5603/4514/6390/637/310/5689/5702/509/11047/6391/8878/5685/5706/6311/4728/79902/6647/2733/311/4706/5691/5717/4538/5532/5709/81929/60/5701/9861/518/9896/5692/400916/3178/4726/5684/5704/10213/4710/4719/5694/4731/4508/5710/4716/4513/5690/4540/5705/4519/9631/10975/5686/71/5700/5707/56893/203068/4541/10189/7157/84790/5695/7416/10540/10376"
"hsa04714","Thermogenesis",214,-0.499893897161739,-2.33938953295884,1e-10,2.67692307692308e-09,1.91902834008097e-09,3907,"tags=51%, list=23%, signal=40%","6300/126328/506/522/1347/4708/7248/1329/4705/55967/55471/152831/6604/4694/123096/4707/1350/4697/5571/4709/54539/1349/4878/514/51703/6389/4893/9377/6597/4714/79133/57104/4711/10476/513/1327/5346/7384/5468/6603/6599/1345/4702/1375/517/539/4724/6194/516/4717/1537/4715/10063/7381/4535/91942/6602/7385/7388/2260/107/515/86/656/4720/4512/498/4712/4704/4725/4722/109/4539/5563/5603/4514/6390/6195/509/6391/84335/5566/63976/4728/4706/4538/60/518/4726/1385/113/2180/4710/4719/4731/4508/5567/116228/4716/4513/2182/4540/4519/10975/71/4541/6598/1374/23028"
"hsa05415","Diabetic cardiomyopathy",184,-0.479078762206882,-2.19924624991438,1e-10,2.67692307692308e-09,1.91902834008097e-09,3907,"tags=52%, list=23%, signal=41%","6300/126328/506/522/1347/177/4708/818/1329/4705/488/55967/4694/5501/2673/4707/1350/4697/10105/6517/4709/5465/54539/1349/51660/514/817/6389/9377/4714/7040/207/4711/10476/513/1327/7384/1345/4702/1375/517/9882/539/4724/4688/516/4717/1537/4715/7381/4535/7385/7388/5165/515/4720/4512/498/4712/4704/4725/5580/4722/5331/4539/5603/4514/6390/292/7417/509/6391/7419/2597/4728/4706/5160/4538/25874/518/2997/4726/4710/4719/4731/4508/291/4716/4513/4540/4519/9945/10975/4541/2936/7416"
"hsa05010","Alzheimer disease",348,-0.440522621717581,-2.18039584891678,1e-10,2.67692307692308e-09,1.91902834008097e-09,3613,"tags=42%, list=21%, signal=34%","3710/1329/4705/488/25800/55967/55630/4694/3028/8324/4707/1350/4697/1857/5481/8851/10105/4709/54539/1349/5687/514/6389/283106/4893/9377/7186/4714/84617/207/5682/1457/808/4711/10476/513/2905/1327/54205/5714/7846/7384/1345/4702/5688/517/539/4724/516/4717/8325/1499/8471/6263/1537/4715/5533/1147/7481/5604/7381/4535/7385/55062/1965/7388/10297/5708/515/805/369/57142/4720/4512/498/4712/4704/4725/22863/5594/4722/3416/776/5719/5605/5718/5331/4539/1459/4514/6390/637/292/5689/5702/7417/509/11047/6391/7419/2597/5685/5706/4728/4706/5691/5717/4538/5532/5709/801/5701/9861/518/5692/4726/5684/5704/10213/4710/4719/5694/4041/8883/4731/4508/291/5710/4716/4513/5690/4540/5705/4519/10975/5686/5700/5707/203068/25825/4541/84790/5695/7416/10376"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",202,-0.466032272280043,-2.14965578945154,1e-10,2.67692307692308e-09,1.91902834008097e-09,3916,"tags=52%, list=23%, signal=41%","119391/6300/126328/506/10861/522/1347/6648/4708/1956/1329/4705/653689/55967/4694/4707/1350/65010/3162/4697/10105/847/4709/54539/1349/514/6389/4893/9377/3091/4714/207/5338/5781/2052/4711/10476/513/1327/7384/1345/4702/517/539/4724/4688/516/9020/6714/4717/2947/1537/4715/5770/1147/5604/7381/4535/7385/7388/1571/405/515/369/6416/4720/4512/498/4712/4704/4725/5580/5594/4722/4780/5605/4257/4539/5603/4514/6390/292/7417/4258/509/6391/7419/4728/6647/4706/9446/4538/518/4726/4710/4719/4731/4508/291/4716/4513/4540/4519/10975/4541/7416"
"hsa05022","Pathways of neurodegeneration - multiple diseases",427,-0.40091935083031,-2.01936270453123,1e-10,2.67692307692308e-09,1.91902834008097e-09,3919,"tags=42%, list=23%, signal=33%","7477/6300/126328/506/1639/522/1347/177/11258/64837/4708/11315/818/3710/1329/4705/488/55967/4694/7314/3028/8324/4707/1350/4697/1857/5481/8851/10105/5335/847/10121/4709/7311/54539/1349/5687/7415/6804/514/817/6389/283106/4893/9377/7186/4714/84617/5682/1457/808/4711/10476/513/2905/1327/54205/5714/7846/7384/7345/1345/4702/2521/5688/10280/517/539/4724/516/4717/8325/1499/10452/6263/581/1537/4715/5533/7481/5604/127602/7381/4535/7385/55062/1965/7388/23435/6233/10297/5708/515/805/369/6712/4720/4512/498/4712/11273/5861/4704/4725/22863/5594/4722/776/5719/5605/5718/5331/4539/3092/1459/5603/4514/6390/637/292/5689/5702/7417/509/11047/6391/7419/8878/5685/5706/6311/4728/6647/4706/5691/7317/5717/4538/5532/5709/801/5701/9861/518/9896/5692/4726/5684/5704/10213/4710/4719/5694/4041/4731/4508/55669/291/5710/4716/4513/5690/4540/5705/4519/10975/5686/10131/5700/5707/203068/4541/7327/84790/5695/7416/10540/10376"
