"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05020","hsa05020","Prion disease",235,-0.523281582247077,-2.16641514057022,1e-10,1.74e-08,1.02631578947368e-08,4503,"tags=53%, list=28%, signal=39%","5880/775/4537/7419/4694/513/27089/5683/5533/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/10381/4728/56901/581/1349/1432/6300/4701/515/3709/7979/506/5601/5693/4705/10476/1345/4538/7280/9861/836/4539/11047/4717/1327/3303/7381/2932/4706/1350/4725/6390/5293/4711/3915/9377/89953/5688/5621/842/5685/2905/5682/518/5719/3304/10213/517/7384/5684/29796/5704/5532/4508/6391/5718/347733/5717/6647/509/4710/5708/4540/292/3798/5709/3708/5686/7277/5691/7385/6389/10382/5705/5580/4541/5566/4513/5694/5689/498/776/7416/5692/5701/5700/10963/10975/3312/5690/5595/4720/291/148327/9586/84790/5710/5603/5707/7846/203068/5695/4684/10376/4719"
"hsa05012","hsa05012","Parkinson disease",240,-0.519176142977643,-2.15473972584613,1e-10,1.74e-08,1.02631578947368e-08,4388,"tags=54%, list=27%, signal=40%","7419/4694/513/27089/5683/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/10381/7318/4728/56901/581/1349/4701/515/3709/7979/818/506/5601/5693/6233/4705/10476/1345/4538/7280/9861/4780/836/4539/11047/4717/1327/7381/11315/805/4706/1350/4725/6390/4711/65018/9377/89953/5688/842/5685/7311/7327/4137/817/5682/518/5719/7314/283375/10213/517/7384/5684/29796/5704/4508/7494/6391/5718/2773/347733/5717/6647/509/10131/4710/5708/7345/4540/292/3798/5709/3708/5686/7277/5691/64116/7385/6389/10382/5705/7317/4541/5566/4513/5694/5689/7157/498/55669/7416/5692/2771/2778/5701/5700/801/10975/808/5690/4720/291/4891/2774/84790/5710/5707/7846/203068/9246/5695/51806/10376/4719"
"hsa01212","hsa01212","Fatty acid metabolism",54,-0.72550495332661,-2.40731248913815,2.97221758041634e-10,2.58582929496221e-08,1.52521691626628e-08,1599,"tags=46%, list=10%, signal=42%","126129/8310/3033/9524/36/31/2194/38/2181/6342/64834/10449/34/1374/51/79071/3030/2182/3295/9415/60481/39/3992/6319/2180"
"hsa01200","hsa01200","Carbon metabolism",100,-0.620278240380749,-2.30052052874124,2.57819943102832e-10,2.58582929496221e-08,1.52521691626628e-08,3059,"tags=56%, list=19%, signal=46%","8802/8803/6390/6470/5095/7167/35/2746/4191/128/8801/1743/25796/5224/2023/5223/5211/2597/3420/6391/4594/5091/5631/1738/7086/8310/1737/26227/4190/3098/2098/2821/230/1431/5213/5214/6389/6888/38/5160/2271/5230/3417/4329/4199/3421/48/26275/55902/847/5315/51/5096/5226/3418/39"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",325,-0.458109612118537,-1.95532335869199,6.5113347969711e-10,4.53188901869188e-08,2.67307428507234e-08,4495,"tags=49%, list=28%, signal=36%","5630/10121/145957/4537/7175/4744/4694/513/27089/5683/5533/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/3181/10381/6506/4728/56901/581/1349/1432/6300/4701/515/7979/506/55102/5693/8408/1639/4705/10476/2878/23435/1345/2521/4538/7280/9861/836/4539/11047/4717/5216/1327/81631/7381/29979/4706/1350/4725/6390/834/4711/10280/65018/11258/9377/89953/5688/9217/842/5685/2905/10120/1767/5682/518/643246/637/5719/79902/129401/6428/10213/517/7384/5684/8878/29796/23511/5704/5532/4508/7494/6391/5718/347733/220988/1768/5717/7415/6647/55746/509/4710/5708/4540/23225/3798/2733/5709/196385/5686/7277/5691/10013/7385/6389/10382/5705/4541/6432/9688/4513/5694/5689/5861/7157/498/56893/7416/23165/400916/5692/71/310/5701/5700/10975/5608/847/5217/5690/4720/9631/9896/3178/84790/5710/60/311/5603/5707/7846/203068/5695/55062/10540/10376/4719"
"hsa05208","hsa05208","Chemical carcinogenesis - reactive oxygen species",195,-0.500865175878883,-2.02569475132992,2.61609945132179e-09,1.51733768176664e-07,8.94981391241666e-08,4388,"tags=51%, list=27%, signal=38%","7419/4790/4694/4259/52/513/27089/1340/4512/514/4698/126328/54539/4704/4696/369/4728/56901/27/1349/1432/5337/5605/208/6300/4701/515/1728/506/5601/4705/10476/1345/4538/23683/4780/4539/4717/1327/7381/4706/1350/4725/6390/3091/5293/4711/9377/4257/10327/5747/8644/5604/518/517/7384/29796/4508/1836/6391/65010/9446/6647/509/4710/3725/4540/292/5795/9020/4258/7385/6389/2053/5770/5580/4541/1950/4513/2941/498/2052/7416/2947/2948/405/3162/5338/10975/847/5595/4720/291/5603/1645/1646/4719/1545/1543"
"hsa04820","hsa04820","Cytoskeleton in muscle cells",180,-0.505442864172821,-2.02892576638117,1.24354705439453e-08,5.46230585188825e-07,3.22186824294679e-07,2584,"tags=35%, list=16%, signal=30%","25777/3695/171024/1299/7094/26287/7170/1289/2023/79784/6640/1465/476/58529/2335/7791/23500/84467/91010/72/6709/829/4001/8736/1829/3680/10529/7059/9260/7168/7138/1298/1287/2006/7135/1824/7431/3673/1277/1466/288/1729/481/832/3696/3930/71/2192/6382/483/3728/23002/7111/27295/2273/3691/7414/7171/60/633/3694/10611/2274"
"hsa05016","hsa05016","Huntington disease",274,-0.450101985921024,-1.8847290921701,1.25570249468695e-08,5.46230585188825e-07,3.22186824294679e-07,4494,"tags=47%, list=28%, signal=35%","10121/4537/1211/7419/4694/513/27089/5683/260334/1340/5702/4512/514/163/4698/126328/54539/4704/4696/10381/6506/4728/160/5435/56901/5331/581/1349/4701/515/7979/506/55102/5601/5693/8408/1639/4705/10476/2878/1345/4538/7280/9861/836/4539/11047/4717/1327/5430/7381/4706/1350/4725/6390/3065/4711/1175/11258/9377/89953/5688/842/5685/10120/8218/1173/1767/5682/518/5719/10213/517/7384/5684/29796/3092/5704/4508/6391/5718/347733/1768/5717/6647/509/4710/5708/4540/292/3798/5709/3708/196385/5686/7277/5691/7385/6389/10382/5705/4541/4513/5694/5689/7157/498/7416/5692/5701/5700/1213/10975/5690/4720/291/148327/9586/84790/5710/5707/7846/203068/5695/55062/10540/10376/5431/4719"
"hsa05415","hsa05415","Diabetic cardiomyopathy",180,-0.494408409580776,-1.9846317604179,6.25051338213425e-08,2.41686517442524e-06,1.42555568364465e-06,4549,"tags=51%, list=28%, signal=37%","7417/5880/4537/7419/4790/4694/513/27089/1340/4313/4512/514/4698/126328/54539/4704/2539/4696/5524/4728/56901/5500/5331/1349/1432/208/6300/4701/5162/515/818/506/5601/177/4705/10476/1345/4538/4539/4717/1327/487/7381/2932/1375/4706/1350/4725/6390/5293/4711/9377/51660/1636/817/7046/2997/518/2597/517/7384/29796/4508/6391/6517/142/509/4710/4540/25874/292/7385/6389/4088/5160/5580/4541/488/1277/4513/498/489/7416/5164/10975/4720/291/5603/5165/2936/4719"
"hsa05010","hsa05010","Alzheimer disease",344,-0.415979915220585,-1.78609747044443,8.71231332195643e-08,3.03188503604084e-06,1.78831694503316e-06,4388,"tags=44%, list=27%, signal=33%","7419/4790/4041/4694/513/27089/5683/5533/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/10381/369/4728/56901/5331/23385/1349/5605/208/4701/515/3709/7979/506/55102/5601/177/5693/8408/4705/10476/89780/1345/4538/7280/9861/836/4539/11047/4717/1327/487/7381/2932/805/4706/1350/4725/6390/3416/54361/5293/4711/9377/89953/5688/842/5685/2905/4137/5604/5682/518/637/355/5719/8883/283375/10213/2597/517/7384/5684/29796/8313/5704/5532/4508/7494/6391/25825/5718/347733/5717/509/83464/4710/5708/8660/7474/4035/4540/292/3798/5709/3708/5686/7277/5691/23621/64116/7385/6389/7483/10382/5705/823/4541/488/4513/5694/5689/498/8324/489/776/7416/5692/351/5701/4311/5700/1499/801/10975/808/5690/5595/4720/291/4891/57142/84790/5710/5707/7846/203068/5695/10313/55062/51806/10376/4719"
"hsa00100","hsa00100","Steroid biosynthesis",19,-0.853221874900577,-2.2816969415729,1.16321156244499e-07,3.67997839755325e-06,2.17058616915573e-06,1929,"tags=84%, list=12%, signal=74%","6309/50814/3988/1595/7108/1591/3930/1718/1717/4047/51478/10682/6307/6646/2222/6713"
"hsa04145","hsa04145","Phagosome",116,-0.555739770180147,-2.10706977858302,1.32886891240287e-07,3.85371984596831e-06,2.27306524489964e-06,1831,"tags=29%, list=11%, signal=26%","9902/347733/535/529/949/7059/7277/51606/8411/338382/525/3109/10382/3673/81035/50617/5869/71/3108/1781/10333/155066/23673/84790/60/7846/203068/811/929/10376/22925/523/64581/7037"
"hsa00190","hsa00190","Oxidative phosphorylation",123,-0.529604446347853,-2.03133790298855,2.58378089587998e-07,6.91658270589409e-06,4.07965404612628e-06,4365,"tags=53%, list=27%, signal=39%","4694/513/27089/1340/4512/514/4698/126328/54539/4704/537/245973/4696/4728/56901/1349/4701/515/506/51382/4705/10476/1345/4538/528/4539/4717/1327/7381/4706/1350/4725/6390/4711/10063/10312/9377/27068/518/9114/517/7384/29796/4508/6391/509/535/529/4710/4540/51606/5464/7385/6389/525/4541/4513/498/50617/155066/10975/64077/4720/4719/523"
"hsa03320","hsa03320","PPAR signaling pathway",55,-0.663051304319096,-2.20402299388234,3.37355249928868e-07,8.38568764108901e-06,4.94618599519769e-06,1599,"tags=31%, list=10%, signal=28%","126129/8310/1622/10580/5106/2181/6342/34/4199/1374/51/2710/2182/9415/6319/3157/2180"
"hsa00280","hsa00280","Valine, leucine and isoleucine degradation",43,-0.685264983723348,-2.15742451459652,3.83177659584858e-07,8.8897217023687e-06,5.24348376274016e-06,2800,"tags=65%, list=17%, signal=54%","5095/35/27034/587/54511/3155/223/4594/1738/3033/36/38/594/64087/56922/10449/217/5019/34/4329/26275/5096/3030/65985/11112/39/501/3157"
"hsa03050","hsa03050","Proteasome",43,-0.676047802633746,-2.12840599926229,8.7282206051979e-07,1.89838798163054e-05,1.11973882764052e-05,3590,"tags=79%, list=22%, signal=62%","5683/5721/5698/5702/7979/5693/9861/11047/51371/5688/5685/5696/5682/5719/10213/5684/5704/5718/5717/5708/5709/5686/5691/5705/5694/5689/5692/5701/5700/5690/5710/5707/5695/23198"
