"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05020","Prion disease",235,-0.523281581892457,-2.19139298244133,1e-10,1.74e-08,1.06842105263158e-08,4503,"tags=53%, list=28%, signal=39%","5880/775/4537/7419/4694/513/27089/5683/5533/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/10381/4728/56901/581/1349/1432/6300/4701/515/3709/7979/506/5601/5693/4705/10476/1345/4538/7280/9861/836/4539/11047/4717/1327/3303/7381/2932/4706/1350/4725/6390/5293/4711/3915/9377/89953/5688/5621/842/5685/2905/5682/518/5719/3304/10213/517/7384/5684/29796/5704/5532/4508/6391/5718/347733/5717/6647/509/4710/5708/4540/292/3798/5709/3708/5686/7277/5691/7385/6389/10382/5705/5580/4541/5566/4513/5694/5689/498/776/7416/5692/5701/5700/10963/10975/3312/5690/5595/4720/291/148327/9586/84790/5710/5603/5707/7846/203068/5695/4684/10376/4719"
"hsa05012","Parkinson disease",240,-0.519176142740681,-2.18394742738868,1e-10,1.74e-08,1.06842105263158e-08,4388,"tags=54%, list=27%, signal=40%","7419/4694/513/27089/5683/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/10381/7318/4728/56901/581/1349/4701/515/3709/7979/818/506/5601/5693/6233/4705/10476/1345/4538/7280/9861/4780/836/4539/11047/4717/1327/7381/11315/805/4706/1350/4725/6390/4711/65018/9377/89953/5688/842/5685/7311/7327/4137/817/5682/518/5719/7314/283375/10213/517/7384/5684/29796/5704/4508/7494/6391/5718/2773/347733/5717/6647/509/10131/4710/5708/7345/4540/292/3798/5709/3708/5686/7277/5691/64116/7385/6389/10382/5705/7317/4541/5566/4513/5694/5689/7157/498/55669/7416/5692/2771/2778/5701/5700/801/10975/808/5690/4720/291/4891/2774/84790/5710/5707/7846/203068/9246/5695/51806/10376/4719"
"hsa01200","Carbon metabolism",100,-0.620278240380744,-2.30423077683296,3.72735176085426e-10,4.32372804259094e-08,2.65492072790672e-08,3059,"tags=56%, list=19%, signal=46%","8802/8803/6390/6470/5095/7167/35/2746/4191/128/8801/1743/25796/5224/2023/5223/5211/2597/3420/6391/4594/5091/5631/1738/7086/8310/1737/26227/4190/3098/2098/2821/230/1431/5213/5214/6389/6888/38/5160/2271/5230/3417/4329/4199/3421/48/26275/55902/847/5315/51/5096/5226/3418/39"
"hsa05014","Amyotrophic lateral sclerosis",325,-0.458109611784642,-1.96717576148784,5.84311819611454e-10,5.08351283061965e-08,3.12145524687171e-08,4495,"tags=49%, list=28%, signal=36%","5630/10121/145957/4537/7175/4744/4694/513/27089/5683/5533/260334/1340/5702/4512/514/4698/126328/54539/4704/4696/3181/10381/6506/4728/56901/581/1349/1432/6300/4701/515/7979/506/55102/5693/8408/1639/4705/10476/2878/23435/1345/2521/4538/7280/9861/836/4539/11047/4717/5216/1327/81631/7381/29979/4706/1350/4725/6390/834/4711/10280/65018/11258/9377/89953/5688/9217/842/5685/2905/10120/1767/5682/518/643246/637/5719/79902/129401/6428/10213/517/7384/5684/8878/29796/23511/5704/5532/4508/7494/6391/5718/347733/220988/1768/5717/7415/6647/55746/509/4710/5708/4540/23225/3798/2733/5709/196385/5686/7277/5691/10013/7385/6389/10382/5705/4541/6432/9688/4513/5694/5689/5861/7157/498/56893/7416/23165/400916/5692/71/310/5701/5700/10975/5608/847/5217/5690/4720/9631/9896/3178/84790/5710/60/311/5603/5707/7846/203068/5695/55062/10540/10376/4719"
"hsa01212","Fatty acid metabolism",54,-0.725504953326606,-2.38163976091516,1.04729226434141e-09,7.28915415981622e-08,4.47579641392224e-08,1599,"tags=46%, list=10%, signal=42%","126129/8310/3033/9524/36/31/2194/38/2181/6342/64834/10449/34/1374/51/79071/3030/2182/3295/9415/60481/39/3992/6319/2180"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",195,-0.500865175878885,-2.04147119730933,7.82111966123882e-09,4.53624940351852e-07,2.78541630040611e-07,4388,"tags=51%, list=27%, signal=38%","7419/4790/4694/4259/52/513/27089/1340/4512/514/4698/126328/54539/4704/4696/369/4728/56901/27/1349/1432/5337/5605/208/6300/4701/515/1728/506/5601/4705/10476/1345/4538/23683/4780/4539/4717/1327/7381/4706/1350/4725/6390/3091/5293/4711/9377/4257/10327/5747/8644/5604/518/517/7384/29796/4508/1836/6391/65010/9446/6647/509/4710/3725/4540/292/5795/9020/4258/7385/6389/2053/5770/5580/4541/1950/4513/2941/498/2052/7416/2947/2948/405/3162/5338/10975/847/5595/4720/291/5603/1645/1646/4719/1545/1543"
"hsa04820","Cytoskeleton in muscle cells",180,-0.505442864168683,-2.03102419808212,1.53379533767921e-08,7.62515396446238e-07,4.68211208344181e-07,2584,"tags=35%, list=16%, signal=30%","25777/3695/171024/1299/7094/26287/7170/1289/2023/79784/6640/1465/476/58529/2335/7791/23500/84467/91010/72/6709/829/4001/8736/1829/3680/10529/7059/9260/7168/7138/1298/1287/2006/7135/1824/7431/3673/1277/1466/288/1729/481/832/3696/3930/71/2192/6382/483/3728/23002/7111/27295/2273/3691/7414/7171/60/633/3694/10611/2274"
"hsa05016","Huntington disease",274,-0.450101985495356,-1.91514838009012,4.47161349076744e-08,1.94515186848384e-06,1.19439149819183e-06,4494,"tags=47%, list=28%, signal=35%","10121/4537/1211/7419/4694/513/27089/5683/260334/1340/5702/4512/514/163/4698/126328/54539/4704/4696/10381/6506/4728/160/5435/56901/5331/581/1349/4701/515/7979/506/55102/5601/5693/8408/1639/4705/10476/2878/1345/4538/7280/9861/836/4539/11047/4717/1327/5430/7381/4706/1350/4725/6390/3065/4711/1175/11258/9377/89953/5688/842/5685/10120/8218/1173/1767/5682/518/5719/10213/517/7384/5684/29796/3092/5704/4508/6391/5718/347733/1768/5717/6647/509/4710/5708/4540/292/3798/5709/3708/196385/5686/7277/5691/7385/6389/10382/5705/4541/4513/5694/5689/7157/498/7416/5692/5701/5700/1213/10975/5690/4720/291/148327/9586/84790/5710/5707/7846/203068/5695/55062/10540/10376/5431/4719"
"hsa04145","Phagosome",116,-0.555739770180143,-2.10964668476566,6.98771424064369e-08,2.55302008599575e-06,1.56764391245353e-06,1831,"tags=29%, list=11%, signal=26%","9902/347733/535/529/949/7059/7277/51606/8411/338382/525/3109/10382/3673/81035/50617/5869/71/3108/1781/10333/155066/23673/84790/60/7846/203068/811/929/10376/22925/523/64581/7037"
"hsa05415","Diabetic cardiomyopathy",180,-0.494408409580777,-1.98668438072703,7.33626461493032e-08,2.55302008599575e-06,1.56764391245353e-06,4549,"tags=51%, list=28%, signal=37%","7417/5880/4537/7419/4790/4694/513/27089/1340/4313/4512/514/4698/126328/54539/4704/2539/4696/5524/4728/56901/5500/5331/1349/1432/208/6300/4701/5162/515/818/506/5601/177/4705/10476/1345/4538/4539/4717/1327/487/7381/2932/1375/4706/1350/4725/6390/5293/4711/9377/51660/1636/817/7046/2997/518/2597/517/7384/29796/4508/6391/6517/142/509/4710/4540/25874/292/7385/6389/4088/5160/5580/4541/488/1277/4513/498/489/7416/5164/10975/4720/291/5603/5165/2936/4719"
