"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03050","hsa03050","Proteasome",43,-0.600140305562597,-2.38344731698257,1.64467104652168e-07,2.86172762094773e-05,2.28522713832487e-05,2580,"tags=49%, list=16%, signal=41%","5686/5696/5688/5690/10197/5707/10213/5692/5708/5689/5693/5705/9491/5694/5709/5700/11047/5710/5702/5704/5695"
"hsa01200","hsa01200","Carbon metabolism",101,-0.455162043036441,-2.1961957164345,9.34487454984967e-08,2.86172762094773e-05,2.28522713832487e-05,3502,"tags=46%, list=21%, signal=36%","10993/5631/55902/25796/5226/26227/1743/2746/2026/1892/2271/6888/2805/8310/283871/2539/3099/2806/5213/5211/4191/84532/9563/48/2027/3098/5315/2731/7167/22934/50/5224/5096/39/6470/2821/1431/3421/2597/5223/7086/3420/2023/51/5214/3418"
"hsa00010","hsa00010","Glycolysis / Gluconeogenesis",52,-0.469908094045114,-1.94189532223855,9.07024652026088e-05,0.00789111447262696,0.00630143442460229,2328,"tags=40%, list=14%, signal=35%","221/92579/224/3099/5213/5211/84532/2027/3098/5315/3939/7167/5224/2821/501/2597/26330/5223/2023/5236/5214"
"hsa05014","hsa05014","Amyotrophic lateral sclerosis",326,-0.268892426371731,-1.55026785844754,7.9715856733588e-05,0.00789111447262696,0.00630143442460229,2718,"tags=25%, list=16%, signal=22%","4704/1639/55746/5686/9883/7494/374291/65018/6396/2733/23130/3831/3710/23225/6300/498/54539/4708/11273/84134/5688/5690/4722/23636/4218/4928/4702/10376/5707/1537/64837/4728/10213/310/8408/842/7384/5692/518/400916/3084/113457/5708/7415/8480/5689/5693/4726/23511/7186/9631/311/84790/10975/581/79902/10452/4720/5603/513/196385/55062/10121/71/5705/203068/23165/84617/6506/9688/10280/10189/5694/5709/5700/11047/7157/8878/5710/5702/5704/5695/10540"
"hsa05230","hsa05230","Central carbon metabolism in cancer",62,-0.436452220421291,-1.90477185798122,0.000131393983049454,0.00914502122024199,0.00730273926843281,2571,"tags=40%, list=15%, signal=34%","6510/51548/2539/2261/3099/5213/5211/6513/3098/5315/3939/208/2064/207/5595/5605/3265/5224/2260/9123/5223/5604/7157/5214/3418"
"hsa04914","hsa04914","Progesterone-mediated oocyte maturation",91,-0.378110946680814,-1.79668146884336,0.000173989553740293,0.010091394116937,0.00805846354165567,2218,"tags=31%, list=13%, signal=27%","5241/3835/6300/729597/6793/5566/51343/993/10459/441273/111/208/207/5595/2771/995/29945/1017/369/994/109/115/5603/5347/3326/5604/6196/8697"
"hsa05016","hsa05016","Huntington disease",274,-0.26512074751432,-1.49957258281953,0.00044447239465808,0.0220966276201445,0.0176452198781553,3775,"tags=33%, list=23%, signal=26%","89953/22863/5719/517/4719/8632/7280/10382/10126/4716/5438/147700/146754/516/1173/10120/291/2876/6804/506/4723/1175/4704/10488/1639/160/10105/8218/3708/5686/3064/374291/5432/5331/23130/3831/498/54539/4708/5688/5431/5690/1213/4722/3065/4702/10376/5707/5434/1537/64837/4728/10213/8408/842/7384/1212/5692/518/113457/5708/5689/5693/4899/4726/7186/84790/10975/581/4720/5430/513/196385/55062/10121/5705/203068/84617/6506/6507/5694/5709/5700/11047/7157/5710/5702/5704/5695/10540"
"hsa05017","hsa05017","Spinocerebellar ataxia",123,-0.328177946989579,-1.6522093919293,0.000635278318909126,0.027634606872547,0.0220675626568433,2632,"tags=28%, list=16%, signal=23%","10105/3708/5686/7494/5331/23130/3710/11273/5688/5690/208/5707/207/6712/10213/8408/10939/5692/10524/5708/5689/5693/7186/55062/5705/5694/5709/5700/11047/5710/5702/5704/5695/10528"
"hsa04913","hsa04913","Ovarian steroidogenesis",29,-0.523045706086579,-1.87210113102649,0.000937374055978454,0.0296551064982274,0.0236810287826136,3707,"tags=48%, list=22%, signal=38%","10965/3643/112/113/1081/5566/3292/111/51478/949/109/115/3949/1543"
"hsa01522","hsa01522","Endocrine resistance",88,-0.357935226637615,-1.67314715426556,0.000933406232913656,0.0296551064982274,0.0236810287826136,3344,"tags=36%, list=20%, signal=29%","3725/1871/5600/572/1870/1869/6464/113/2885/6300/5566/111/4854/208/2064/6714/1019/207/5595/10498/5605/3265/369/3714/2099/109/115/581/595/5603/5604/7157"
"hsa04910","hsa04910","Insulin signaling pathway",122,-0.32333423824344,-1.6175791994562,0.000771060592691779,0.0296551064982274,0.0236810287826136,2671,"tags=32%, list=16%, signal=27%","6464/5261/23265/2885/5834/92579/57521/3636/3099/5256/5566/5792/5590/808/3098/3551/2889/208/207/5595/31/5255/2194/5605/3265/369/2002/89801/8651/2997/2872/2319/5564/10211/5604/8660/5575/3632/9322"
"hsa04919","hsa04919","Thyroid hormone signaling pathway",108,-0.331734062325224,-1.63549369971476,0.00106552649478938,0.0309002683488919,0.0246753504056487,4053,"tags=39%, list=24%, signal=30%","7067/5333/9440/6256/5336/90390/10025/9882/6257/6548/9968/572/113026/117247/5331/5213/1499/5566/5211/6513/476/3065/4854/208/6714/207/5595/9862/5335/842/5605/3265/2626/2099/8841/54361/595/71/5604/7157/5214/9442"
"hsa05012","hsa05012","Parkinson disease",240,-0.254937627489109,-1.43251535535065,0.00118785534835492,0.0317979739405778,0.0253922114951982,2632,"tags=25%, list=16%, signal=21%","10105/3708/5686/7494/374291/27173/65018/7316/3831/3710/498/54539/4708/5688/5566/5690/4722/9927/808/111/4702/10376/5707/1537/64837/2771/4728/10213/5335/842/7384/5692/518/113457/5708/5689/5693/7922/4726/7317/84790/10975/581/4720/513/5705/203068/84617/10131/7327/5694/5709/5700/11047/7157/5710/5702/5704/5695"
"hsa00360","hsa00360","Phenylalanine metabolism",13,-0.675937295656699,-1.9523237369823,0.00132082429788078,0.032831918261608,0.0262178657624456,2930,"tags=46%, list=18%, signal=38%","4282/2805/221/2806/314/1644"
"hsa00410","hsa00410","beta-Alanine metabolism",27,-0.547745675344149,-1.92477936705199,0.00153994731928622,0.0357267778074404,0.02852955033625,2673,"tags=52%, list=16%, signal=44%","1892/8310/221/224/2571/54498/57571/18/314/501/51/51733/55748/23417"
"hsa04934","hsa04934","Cushing syndrome",125,-0.306452712089835,-1.55227598674429,0.00229201863455783,0.0454176322143323,0.0362681636557281,3199,"tags=34%, list=19%, signal=28%","1871/11091/1857/1870/7483/1869/10488/2271/113/3708/2767/81029/5331/3164/3710/8326/1499/5566/1855/8312/8085/7481/111/1019/5595/8912/2771/9070/5605/9049/1017/7475/949/1856/8325/54361/109/115/595/10297/3949/5604/8324"
"hsa05169","hsa05169","Epstein-Barr virus infection",170,-0.279381985012047,-1.49643313983745,0.00232524407935907,0.0454176322143323,0.0362681636557281,1648,"tags=22%, list=10%, signal=20%","3065/3551/1647/208/9612/1019/5707/207/3455/3133/10213/57506/842/4794/10454/1017/5708/3654/79685/8819/4616/7186/581/595/5603/3665/7431/896/5705/4793/5709/5700/11047/7157/5710/5702/5704"
"hsa05022","hsa05022","Pathways of neurodegeneration - multiple diseases",418,-0.229160608909526,-1.3620067712034,0.00234918787315512,0.0454176322143323,0.0362681636557281,2248,"tags=20%, list=14%, signal=18%","7316/5331/23130/3831/3710/6300/498/8326/54539/4708/1499/11273/84134/5688/823/1855/8312/5690/7481/4722/9927/808/4218/4702/10376/5707/1537/5595/4041/6712/64837/4728/10213/5335/8408/842/7384/5605/5692/518/3265/113457/3028/7475/5708/7415/369/5689/5693/1856/8325/4726/7317/54361/7186/84790/10975/581/10452/4720/5603/513/196385/55062/10121/10297/5705/203068/84617/5604/10280/10131/7327/5694/5709/5700/11047/8878/5710/5702/5704/8324/5695/10540"
"hsa00030","hsa00030","Pentose phosphate pathway",26,-0.52373540639478,-1.81654426229908,0.00273781880628433,0.0476997905060989,0.0380905768106779,3731,"tags=54%, list=22%, signal=42%","226/5631/25796/5226/6888/2539/5213/5211/9563/22934/2821/7086/5236/5214"
"hsa00900","hsa00900","Terpenoid backbone biosynthesis",21,-0.546647685371845,-1.79363796371884,0.00306354356470982,0.0476997905060989,0.0380905768106779,3205,"tags=48%, list=19%, signal=38%","23463/10654/91734/3422/39/3157/4598/3156/4597/2224"
"hsa00020","hsa00020","Citrate cycle (TCA cycle)",28,-0.500173532040994,-1.76708660998045,0.00315257236103527,0.0476997905060989,0.0380905768106779,3019,"tags=36%, list=18%, signal=29%","1743/2271/4191/48/50/1431/3421/3420/47/3418"
"hsa00260","hsa00260","Glycine, serine and threonine metabolism",34,-0.462339109873835,-1.74388456387918,0.00314541260437914,0.0476997905060989,0.0380905768106779,1632,"tags=32%, list=10%, signal=29%","63826/2731/5224/23464/55349/314/6470/501/5223/102724560/211"
