"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04810","Regulation of actin cytoskeleton",202,0.502755836673327,2.11454191496745,3.43917988786956e-10,6.00136890433238e-08,3.58398746209565e-08,4507,"tags=47%, list=24%, signal=36%","7114/56034/60/5154/8516/3673/3655/10095/1793/26999/10152/2263/1132/81553/57180/10097/5595/10627/1956/28964/5062/2934/2247/3685/8396/5594/2335/727/5962/9459/8395/1729/10788/3688/221178/8826/6655/7852/3696/4659/3672/7414/54961/4638/1131/10096/4627/1950/3679/5879/5293/3675/4628/10109/2768/5290/2245/2254/89846/673/87/4660/85477/3985/6093/55970/55740/71/9475/5216/128239/5217/3690/9965/8074/5155/22808/51571/23365/3984/387/5880/5295/207/7074/8936/54434/5058/10787/200576/7430/6714/10094/5305/2260"
"hsa04360","Axon guidance",171,0.507493101871635,2.10839637233425,4.8222731449102e-09,4.20743331893415e-07,2.51265811234794e-07,4601,"tags=48%, list=25%, signal=36%","8829/7474/2771/817/59277/1808/8633/2043/56896/5595/10627/10512/5362/9353/5062/7220/5921/223117/5594/10154/4773/10501/6091/3688/6405/2932/816/23380/4776/10509/7852/818/55558/5532/90249/54961/2770/56963/2041/5879/5293/10371/1949/23654/5781/5290/3985/7869/6093/84628/659/55740/9475/84448/2773/57715/5533/25791/6092/7222/23365/3984/54910/4756/387/5880/6586/5295/5530/5335/2048/54434/5058/9723/1945/5364/9901/6714/64221/57522/4233/8440"
"hsa04820","Cytoskeleton in muscle cells",201,0.48169024021827,2.03258169353488,3.63071086812984e-09,4.20743331893415e-07,2.51265811234794e-07,3415,"tags=36%, list=18%, signal=30%","482/2026/7168/60/7169/8516/2192/3673/3655/6382/1290/91010/3728/8082/1289/10529/3685/6709/29767/2200/2335/481/9672/272/1605/4811/5318/1729/3688/1756/6383/1286/7170/83660/29766/84033/832/1277/8910/7431/3696/8735/6645/1824/3672/7414/1462/1292/6385/4627/3679/1291/375790/3675/7273/23224/4628/4001/1829/752/829/23353/633/5339/9260/71/27295/3690/161176/58529/1282/7059/3339"
"hsa04144","Endocytosis",241,0.446546667187026,1.91850338244147,6.39001062572289e-08,4.46022741675458e-06,2.66362548188028e-06,4030,"tags=37%, list=22%, signal=29%","8853/3312/51652/10095/9829/5869/644150/11031/7456/3800/23325/5337/2263/57180/274/10097/8411/26286/1956/28964/6456/1213/9897/7037/23327/9267/8395/3134/253725/378/7879/80230/128866/9815/832/7852/387680/3949/9765/83737/23096/273/23111/10564/23550/10096/23527/2060/7251/9135/57154/8766/57403/11267/857/137492/8729/10109/829/30011/7048/91782/51028/116986/7046/147179/157/3799/5584/1211/8218/2868/5338/10254/9559/50807/64411/867/11059/22905/3303/387/55680/5868/51019/55616/6643/6642/4088"
"hsa01212","Fatty acid metabolism",56,0.640737296273738,2.24089511545495,1.47810801216586e-07,8.5976616040981e-06,5.134480463313e-06,3341,"tags=46%, list=18%, signal=38%","1374/79966/1376/9415/3992/34/3295/9200/36/51/38/79071/1962/10449/2180/3030/37/6342/79993/2181/60481/8310/23305/39/2182/54898"
"hsa04814","Motor proteins",173,0.469694002514922,1.95609192660791,5.61507617821699e-07,2.79951655171104e-05,1.6718572681007e-05,4200,"tags=36%, list=23%, signal=28%","7168/55930/60/7169/547/4646/10376/3800/10540/10627/90990/55605/7283/4647/7277/3832/1062/221458/8701/7846/27175/9928/7170/1783/59/53904/9585/832/1781/8735/4641/92558/51626/84790/9493/4627/1767/55614/4651/126820/4628/7802/11127/829/56992/3796/127602/71/3799/10671/285643/56171/6990/10382/7134/1639/55582/260334/79659/84376/4644/1768/399687"
"hsa05165","Human papillomavirus infection",299,0.398675191042537,1.74128404954549,1.44138674276783e-06,6.28804966532468e-05,3.75519177721094e-05,3323,"tags=31%, list=18%, signal=26%","7474/5567/51606/8516/3673/3655/3910/23545/3913/10207/3912/1280/1385/83439/5595/6772/84441/1956/5925/3685/7283/5315/5594/9134/529/2335/7481/9114/155066/6773/545/3134/3688/2778/27175/6932/1286/64764/2932/4854/6655/1277/51382/9641/3696/7248/6198/7157/5934/3672/10379/1292/1950/3909/3679/8324/1291/1101/3716/3993/7477/7483/523/5293/3675/3455/5522/896/5728/3915/7132/90993/1027/3911/5290/355/6934/4851/245973/5610/528/1739/64398/10312/5566/3454/5584/1857/3690/5700/7482/1282/11211"
"hsa04512","ECM-receptor interaction",77,0.561154758288552,2.05722363628974,2.12695047668146e-06,8.2478412929092e-05,4.92556952494653e-05,3415,"tags=47%, list=18%, signal=38%","8516/3673/3655/3910/255743/6382/3913/341640/3912/1280/3685/2335/961/3161/1605/3688/1286/1277/3696/3672/1292/6385/3909/3679/1291/1101/375790/3675/3915/3911/9900/3690/960/1282/7059/3339"
"hsa04530","Tight junction",152,0.463437481396045,1.88361618860248,3.47376189882509e-06,0.000121234290268995,7.24005111544597e-05,4464,"tags=45%, list=24%, signal=34%","100506658/5567/60/3308/8777/9076/10095/10376/5563/10207/57180/10097/10627/57530/7277/1366/5962/776/5872/23327/154796/7846/3688/84952/2017/84790/7454/58494/10096/4627/3993/5879/4301/11346/5522/4628/9414/10109/9181/861/87/1739/64398/6093/5566/71/9475/11149/5584/123720/9693/55114/51422/5562/387/50848/54566/5906/7074/7082/49861/2064/1365/7430/6714/5599/10094/5571"
"hsa00280","Valine, leucine and isoleucine degradation",45,0.638702924686216,2.13399301475032,4.53010054584996e-06,0.000121615776192434,7.26283326379184e-05,1768,"tags=40%, list=10%, signal=36%","11112/3157/4329/5019/34/18/36/501/56922/64087/38/217/26275/1962/10449/3030/4594/1738"
"hsa05100","Bacterial invasion of epithelial cells",75,0.555572752469281,2.02382835898116,4.28920466699702e-06,0.000121615776192434,7.26283326379184e-05,3984,"tags=48%, list=21%, signal=38%","60/23157/10095/1793/10801/1495/57180/10097/23176/1213/2335/3688/23607/2017/7414/10096/5879/5293/55964/999/857/10109/55752/5290/71/25759/1211/8218/63916/2549/867/4735/387/5295/1499/8936"
"hsa04145","Phagosome",126,0.481419176733407,1.90818782572301,4.25731813777851e-06,0.000121615776192434,7.26283326379184e-05,3409,"tags=35%, list=18%, signal=29%","60/51606/3673/81035/10376/5869/23545/9902/8411/3685/7277/529/9114/155066/7037/7846/3134/3688/7879/1783/51382/23673/3113/1781/821/84790/3111/53407/3920/23480/5879/523/3115/245973/528/10312/4074/71/55176/1536/715/3690/9554/7059"
"hsa05414","Dilated cardiomyopathy",84,0.533353065511652,1.98470795534034,5.18435506140809e-06,0.000129238565459387,7.71806242224663e-05,3488,"tags=43%, list=19%, signal=35%","7168/5567/60/7169/6546/8516/3673/3655/113/8082/3685/776/107/1605/3688/2778/1756/7170/8910/3696/6645/784/3672/3679/3675/7273/7040/153/488/5566/71/55799/3690/59285/112/775"
"hsa05412","Arrhythmogenic right ventricular cardiomyopathy",74,0.554085764999312,2.01632076322832,5.84366129201251e-06,0.000135962519394158,8.11961358469107e-05,3279,"tags=43%, list=18%, signal=36%","60/6546/8516/3673/3655/1000/3728/8082/1495/83439/3685/776/1605/5318/3688/1756/6932/8910/3696/6645/784/1824/3672/3679/3675/1829/6934/488/71/55799/3690/59285"
"hsa05010","Alzheimer disease",357,0.368382980597158,1.63003267432263,6.47007266304796e-06,0.000141128459962734,8.42812096897037e-05,3939,"tags=30%, list=21%, signal=24%","4719/8471/4311/7474/55062/83464/25825/10376/348/637/3800/23621/291/5595/4513/4519/10313/4540/5707/4041/5594/7277/7481/4514/7416/4512/776/9706/4541/7846/4731/4023/2932/4720/801/4508/1459/4538/5532/4539/84790/25800/55102/7381/102/4710/1131/4535/8324/3709/7477/317/6389/7483/5293/1457/351/7132/4509/5718/5290/91860/355/840/673/488/5701/5710/5610/5695/9451/5717/823/5705/5708/6622/57142/9861/5713/3799/1536/1857/5700/29986/7482/4726/11211/5533/4137/4035/3416/5685/775/7385/10382/2776/5331/5295/4700/509/283106/4714/207/5530/260334/1499"
"hsa05020","Prion disease",245,0.403614267210446,1.73649709987189,8.84515152612001e-06,0.000181585757800934,0.000108442105397632,3893,"tags=33%, list=21%, signal=26%","4719/3312/5567/10376/3800/1385/10963/291/5595/4513/4519/4540/5707/5594/7277/4514/727/7416/4512/776/4541/7846/4731/64764/2932/4720/4508/1459/4538/5532/4539/84790/7381/4710/4535/3309/3709/317/5879/6389/5293/1457/3915/857/4509/90993/5718/5290/5701/4851/5710/5695/9451/5717/5566/5705/5708/9861/5713/3799/1536/1958/6647/5700/4726/5533/1386/5685/775/7385/3303/10382/5880/148327/5295/4700/509/283106/4714/5530/260334"
