"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","hsa03010","Ribosome",129,-0.830166192575456,-3.57688200478716,1e-10,5.8e-09,3.2280701754386e-09,1970,"tags=81%, list=11%, signal=73%","6132/51121/55052/9553/11222/29093/51263/51023/55173/64928/388524/28998/6169/6203/64979/6218/6176/65005/6122/63875/64981/6134/6183/55168/6187/29088/6224/6159/2197/64960/219927/65003/6171/54460/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/29074/6125/6139/6202/6144/65008/51073/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/6181/6232/6209/25873/6158/7311"
"hsa05171","hsa05171","Coronavirus disease - COVID-19",177,-0.576415998701817,-2.63906223218306,1e-10,5.8e-09,3.2280701754386e-09,1563,"tags=47%, list=9%, signal=43%","4792/388524/6169/6203/3592/6218/6176/6122/6134/6187/6224/6159/2197/6171/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/6125/6139/6202/6144/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/3725/6181/6232/6209/25873/6158/7311"
"hsa03008","hsa03008","Ribosome biogenesis in eukaryotes",74,-0.638228167379749,-2.52474985653299,1e-10,5.8e-09,3.2280701754386e-09,1712,"tags=65%, list=10%, signal=59%","57455/7514/55813/29889/5822/55781/84128/138716/54433/10482/55226/25996/6023/51096/55131/65083/29107/10248/51068/51602/51367/55651/55272/55916/10557/55505/10556/26354/5901/23160/10171/84135/1460/10799/51077/134430/28987/10885/10775/4809/83732/92856/102157402/1736/84916/55127/2091/10528"
"hsa00190","hsa00190","Oxidative phosphorylation",124,-0.55284133862581,-2.38533033095328,1e-10,5.8e-09,3.2280701754386e-09,4677,"tags=73%, list=27%, signal=54%","7385/4512/54539/4514/479/4509/64077/4718/4729/4513/9296/10632/513/498/4717/4731/522/1352/51079/1353/4535/4539/4695/10063/4710/27068/4519/4540/29796/4694/4711/521/6391/7381/4541/4714/517/55967/4701/4538/9551/4702/1337/4707/374291/4697/9550/90423/518/9167/6392/4537/10476/440567/1327/8992/509/6390/1350/4709/4704/4725/4728/4706/514/4722/27089/1345/515/4696/4724/1347/4508/54205/4698/4715/539/4712/4716/516/1329/1340/9377/126328/4713/1349/4536/10975/7388/7386/5464"
"hsa03040","hsa03040","Spliceosome",131,-0.54267762179149,-2.35378782655333,1e-10,5.8e-09,3.2280701754386e-09,3373,"tags=52%, list=20%, signal=42%","9410/23658/642659/5093/6636/27316/6632/55696/10285/6625/10286/27258/10915/9984/4686/199746/55110/84991/6628/101954278/10929/55119/6427/1665/9129/51503/25804/51639/56949/51362/6430/10713/10946/10772/27339/11338/5356/3178/10450/3303/10465/3183/10907/6629/10523/7919/84844/6637/51691/11157/26121/4116/6434/3304/9128/6626/6428/6431/8175/51690/51645/6635/83443/6432/4809/6633/57819/6631"
"hsa04360","hsa04360","Axon guidance",169,0.545680245355727,2.26253800541903,1e-10,5.8e-09,3.2280701754386e-09,3657,"tags=49%, list=21%, signal=39%","8829/7474/10512/2771/5362/8503/10501/5595/59277/8633/9353/1949/2043/10371/2048/5293/6092/223117/7869/54961/6586/7852/23380/5998/4776/2049/817/84628/55558/4773/10509/4233/4756/816/7220/57715/23654/5295/56896/3688/818/6405/50855/5921/5880/3985/1808/85464/219699/25791/57522/84448/9423/8440/90249/5727/5058/5590/81029/5594/23365/2932/2051/54361/54434/56920/10154/5578/6093/1969/80031/1942/1944/5335/5291/22885/3984/25/54910/5170/6091/56963/5530"
"hsa04510","hsa04510","Focal adhesion",184,0.50084401492667,2.09604618780495,5.82257699430061e-10,2.89465256288087e-08,1.61105889767115e-08,4185,"tags=48%, list=24%, signal=37%","56034/3910/8516/5154/1793/1280/2335/3655/5579/8503/5595/3913/3673/2321/857/3912/7414/5293/5228/1956/1277/3691/60/3791/7423/1950/3675/4233/6655/8395/1291/2064/5295/83660/3688/1286/8394/5880/896/1292/330/3696/5155/7059/3679/3685/5602/596/1298/5923/3908/3371/3915/2909/25759/5058/5582/55742/673/3911/5594/3672/22801/1297/6464/2932/1101/284217/5578/6093/7057/1285/3909/2316/131873/5291/4659/5170/2885/53358/207/7424/3680/9475/2013/5159/5290/4660/3674"
"hsa05165","hsa05165","Human papillomavirus infection",290,0.440923170160071,1.92846228622328,2.32733158659146e-09,1.01238924016729e-07,5.63459226227407e-08,4457,"tags=43%, list=26%, signal=32%","3910/7474/8516/1280/2335/3655/83439/1026/155066/8503/5595/3913/10207/8324/84441/3673/9641/523/8322/3912/182/5293/2535/6772/7132/1956/1277/3691/90993/7475/7473/7481/1950/3675/55534/1027/64764/6655/9223/27175/1291/9114/5295/3688/1286/7483/50855/5526/6773/10474/5567/4851/896/1292/3696/7283/2778/7059/3679/51606/148327/5522/7855/4854/3685/8326/7477/1298/3908/3371/6932/3915/4853/2033/5590/81029/3911/5594/3672/3134/22801/1297/2932/54361/8772/8638/1101/1387/5610/284217/3659/5925/7057/1285/5934/3909/131873/5291/3993/537/1741/11211/92359/2885/2475/6198/1857/207/9794/3680/7098/5159/51382/5290/3674/6934/7482/55502/8517/84667/3716/23352/472/3693/3065"
"hsa04512","hsa04512","ECM-receptor interaction",73,0.618370371740459,2.26108505897689,1.21273083737028e-08,4.68922590449843e-07,2.60985349796646e-07,3307,"tags=56%, list=19%, signal=46%","3910/8516/1605/255743/341640/1280/2335/3655/3913/3673/3912/1277/3691/6382/3675/80144/1291/158326/3688/1286/1292/3696/7059/3679/9900/375790/3685/1298/3908/3371/3915/3911/3672/22801/1297/1101/284217/7057/1285/3909/131873"
"hsa05200","hsa05200","Pathways in cancer",448,0.383830143181766,1.74053151406086,3.78975114403787e-08,1.31883339812518e-06,7.34014958424176e-07,4730,"tags=44%, list=28%, signal=33%","1728/3910/7474/2034/5154/2771/4313/5337/9915/2335/6774/3655/5579/2263/83439/1026/8503/5595/3913/83593/8324/3728/2113/317/3673/5979/8322/7039/3912/999/182/10023/5293/2535/5228/2948/2768/6772/5899/1487/1956/7475/2247/7852/7473/1495/4791/637/7481/5732/7423/1950/817/842/119391/3675/4233/7040/1612/1027/149233/816/6655/112/10681/8648/4436/4318/2064/2736/5295/3688/1286/818/7483/114112/5880/6773/5567/2122/4851/896/6258/330/598/2353/5155/2778/2737/7185/7855/4854/3685/8326/5602/596/7477/867/652/57121/3908/29119/6932/113/5727/2786/3915/405/862/4088/4853/5582/2033/54331/81029/673/3911/5594/57449/7046/2057/2322/23365/3570/2932/7704/54361/8772/1387/3714/284217/5578/6093/2254/5925/1647/1285/3601/5335/4824/3909/5291/6777/2782/6778/185/107/5338/25/7849/111/11211/1488/2885/2475/6198/1857/2250/4041/4040/7048/207/10587/7424/27436/9475/8202/7184/5159/5290/2946/7175/10235/3674/6934/7482/840/8517/6776/3716/6256/9826/1643/3065/613/5898/7709/2783/4437/89780/5332/2770/51684/1856/374654/3718/5881"
