"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03010","Ribosome",129,-0.830166192575456,-3.62061665854647,1e-10,5.8e-09,3.54385964912281e-09,1970,"tags=81%, list=11%, signal=73%","6132/51121/55052/9553/11222/29093/51263/51023/55173/64928/388524/28998/6169/6203/64979/6218/6176/65005/6122/63875/64981/6134/6183/55168/6187/29088/6224/6159/2197/64960/219927/65003/6171/54460/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/29074/6125/6139/6202/6144/65008/51073/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/6181/6232/6209/25873/6158/7311"
"hsa05171","Coronavirus disease - COVID-19",177,-0.576415998701817,-2.66488607716217,1e-10,5.8e-09,3.54385964912281e-09,1563,"tags=47%, list=9%, signal=43%","4792/388524/6169/6203/3592/6218/6176/6122/6134/6187/6224/6159/2197/6171/51065/6135/200916/6175/3921/6229/6155/6154/6208/11224/6230/6143/6194/6235/6130/51187/6227/6125/6139/6202/6144/6157/6152/6207/6204/6201/6138/6233/6160/6168/6189/6191/6164/6210/9045/6146/6223/6170/6133/6205/6188/6128/6165/6173/6156/6141/6167/6228/6193/6206/6161/6147/6136/9349/6124/6129/6234/6222/23521/4736/6142/6217/3725/6181/6232/6209/25873/6158/7311"
"hsa03008","Ribosome biogenesis in eukaryotes",74,-0.638228167379752,-2.56936274966208,1e-10,5.8e-09,3.54385964912281e-09,1712,"tags=65%, list=10%, signal=59%","57455/7514/55813/29889/5822/55781/84128/138716/54433/10482/55226/25996/6023/51096/55131/65083/29107/10248/51068/51602/51367/55651/55272/55916/10557/55505/10556/26354/5901/23160/10171/84135/1460/10799/51077/134430/28987/10885/10775/4809/83732/92856/102157402/1736/84916/55127/2091/10528"
"hsa00190","Oxidative phosphorylation",124,-0.552841338625798,-2.40148056798053,1e-10,5.8e-09,3.54385964912281e-09,4677,"tags=73%, list=27%, signal=54%","7385/4512/54539/4514/479/4509/64077/4718/4729/4513/9296/10632/513/498/4717/4731/522/1352/51079/1353/4535/4539/4695/10063/4710/27068/4519/4540/29796/4694/4711/521/6391/7381/4541/4714/517/55967/4701/4538/9551/4702/1337/4707/374291/4697/9550/90423/518/9167/6392/4537/10476/440567/1327/8992/509/6390/1350/4709/4704/4725/4728/4706/514/4722/27089/1345/515/4696/4724/1347/4508/54205/4698/4715/539/4712/4716/516/1329/1340/9377/126328/4713/1349/4536/10975/7388/7386/5464"
"hsa03040","Spliceosome",131,-0.54267762179149,-2.37620658247236,1e-10,5.8e-09,3.54385964912281e-09,3373,"tags=52%, list=20%, signal=42%","9410/23658/642659/5093/6636/27316/6632/55696/10285/6625/10286/27258/10915/9984/4686/199746/55110/84991/6628/101954278/10929/55119/6427/1665/9129/51503/25804/51639/56949/51362/6430/10713/10946/10772/27339/11338/5356/3178/10450/3303/10465/3183/10907/6629/10523/7919/84844/6637/51691/11157/26121/4116/6434/3304/9128/6626/6428/6431/8175/51690/51645/6635/83443/6432/4809/6633/57819/6631"
"hsa05012","Parkinson disease",246,-0.386271478578477,-1.83866892178229,7.90110644348034e-08,2.2913208686093e-06,1.40002061542371e-06,3490,"tags=43%, list=20%, signal=35%","581/4535/801/4539/4695/4710/51807/163688/4519/5718/4540/10105/808/10376/29796/4694/6263/4711/51465/6391/29985/7381/4541/4714/517/55967/9861/4701/4538/4702/1337/6647/4707/5687/57181/374291/90550/4697/518/9167/805/5690/10213/6392/4537/5685/5691/5719/10476/84790/5682/7417/440567/1327/5695/7419/509/6390/1350/203068/4709/5706/4704/5684/4725/4728/4706/514/4722/27089/1345/515/4696/4724/1965/1347/4508/54205/4698/23516/4715/539/4712/4716/516/1329/1340/292/81027/9377/7416/126328/468/4713/5704/5686/1349/7295/4536/10975/7388/5714/6233/7386/1843/1616/7311"
"hsa05016","Huntington disease",280,-0.359755258610536,-1.722999352537,4.54154430681014e-07,1.05363827917995e-05,6.43783824544314e-06,3732,"tags=42%, list=22%, signal=33%","4731/23236/522/51079/5692/5609/581/4535/5435/9821/6908/4539/4695/4710/51807/4519/5718/4540/10105/10376/29796/4694/4711/9586/6391/7381/4541/4899/4714/517/55967/9861/4701/4538/5440/5434/4702/1337/6647/4707/5687/3066/374291/4697/518/9167/5690/5433/10213/6392/4537/5441/55860/5685/5691/5719/10476/84790/5682/7417/440567/1327/5695/7419/509/6390/1350/1175/203068/4709/5706/4704/5684/4725/4728/9519/4706/514/4722/5468/27089/1345/515/4696/4724/1347/4508/54205/4698/4715/539/7019/4712/4716/516/1329/1340/292/81027/9377/5437/7416/126328/6648/4713/5704/5686/1349/4536/5432/10975/7388/5714/7386/6875/5438/6507"
"hsa05014","Amyotrophic lateral sclerosis",332,-0.341643912307643,-1.68343087327316,9.37039891175591e-07,1.91817577723003e-05,1.17202512704315e-05,3658,"tags=39%, list=21%, signal=31%","5533/522/51079/5692/57122/581/4535/9821/4539/10482/4695/847/4710/81631/51807/4519/5718/203228/4540/10452/10376/29796/4694/4711/6391/23636/7381/4541/4686/5532/4714/517/55967/9861/5606/4701/4538/4702/10280/56893/129401/1337/6647/8480/4707/5687/5603/374291/643246/90550/4697/518/9167/5690/10213/6392/4537/55860/5685/5691/5719/10476/3178/84790/29107/5682/440567/1327/5695/509/6390/1350/203068/4709/5706/4704/5684/4725/4728/4706/514/79023/4722/27089/1345/515/4696/4724/1965/1347/55916/4508/54205/4698/4741/53371/4715/539/4712/4716/516/1329/1340/4218/9972/2066/81027/9377/7416/126328/6428/468/4713/9896/5704/9631/5686/9688/55706/1349/4536/10975/7388/5714/7386/6432/81929/1616/348995"
"hsa05020","Prion disease",241,-0.37527177919487,-1.78041824973017,1.53437744104136e-06,2.96646305267996e-05,1.81253943327693e-05,3658,"tags=45%, list=21%, signal=36%","5533/522/51079/5692/581/4535/4539/4695/4710/51807/4519/5718/4540/10105/116444/10376/29796/4694/6263/4711/9586/6391/7381/4541/5532/4714/517/55967/9861/4701/4538/4702/1337/6647/4707/5687/5603/374291/90550/4697/518/4688/9167/5690/10213/6392/4537/5685/2534/5691/5719/10476/84790/5682/7417/440567/1327/5695/7419/3303/5621/509/6390/1350/203068/4709/5706/4704/5684/4725/4728/4706/514/4722/27089/1345/515/4696/4724/1965/1347/4508/54205/4698/6262/4715/539/3304/4712/4716/516/1329/1340/292/81027/9377/7416/126328/468/4713/5704/1460/5686/1349/4536/10975/7388/5714/7386"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",202,-0.372037209461881,-1.73493915367171,5.57962030496458e-06,0.000102195150848825,6.2442288177443e-05,3665,"tags=48%, list=21%, signal=38%","9020/522/51079/5605/5609/6416/4535/1645/23683/4539/4695/847/4710/369/4259/4519/4540/10105/29796/4694/4711/6391/4893/27035/7381/4541/4714/517/55967/4701/4538/7422/4702/1337/6647/4707/5603/208/374291/4697/5587/518/4688/9167/6392/4537/10476/2947/7417/10327/440567/1327/7419/4792/509/6390/1350/4709/4704/4725/4728/4706/514/4722/27089/1345/515/4696/4724/1347/4508/4698/4715/9446/539/4712/4716/516/1329/1340/292/4257/9377/7416/126328/6648/4713/52/1349/4536/10975/7388/3162/7386/1646/3725"
