"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa04360","Axon guidance",169,0.545680245355726,2.23407771050149,1e-10,5.8e-09,3.54385964912281e-09,3657,"tags=49%, list=21%, signal=39%","8829/7474/10512/2771/5362/8503/10501/5595/59277/8633/9353/1949/2043/10371/2048/5293/6092/223117/7869/54961/6586/7852/23380/5998/4776/2049/817/84628/55558/4773/10509/4233/4756/816/7220/57715/23654/5295/56896/3688/818/6405/50855/5921/5880/3985/1808/85464/219699/25791/57522/84448/9423/8440/90249/5727/5058/5590/81029/5594/23365/2932/2051/54361/54434/56920/10154/5578/6093/1969/80031/1942/1944/5335/5291/22885/3984/25/54910/5170/6091/56963/5530"
"hsa04510","Focal adhesion",184,0.500844014926671,2.07703706701666,6.09872753464033e-10,3.03193883150691e-08,1.85254580751481e-08,4185,"tags=48%, list=24%, signal=37%","56034/3910/8516/5154/1793/1280/2335/3655/5579/8503/5595/3913/3673/2321/857/3912/7414/5293/5228/1956/1277/3691/60/3791/7423/1950/3675/4233/6655/8395/1291/2064/5295/83660/3688/1286/8394/5880/896/1292/330/3696/5155/7059/3679/3685/5602/596/1298/5923/3908/3371/3915/2909/25759/5058/5582/55742/673/3911/5594/3672/22801/1297/6464/2932/1101/284217/5578/6093/7057/1285/3909/2316/131873/5291/4659/5170/2885/53358/207/7424/3680/9475/2013/5159/5290/4660/3674"
"hsa05165","Human papillomavirus infection",290,0.440923170160078,1.91729227253377,1.45576234255329e-09,6.33256619010683e-08,3.86926306836533e-08,4457,"tags=43%, list=26%, signal=32%","3910/7474/8516/1280/2335/3655/83439/1026/155066/8503/5595/3913/10207/8324/84441/3673/9641/523/8322/3912/182/5293/2535/6772/7132/1956/1277/3691/90993/7475/7473/7481/1950/3675/55534/1027/64764/6655/9223/27175/1291/9114/5295/3688/1286/7483/50855/5526/6773/10474/5567/4851/896/1292/3696/7283/2778/7059/3679/51606/148327/5522/7855/4854/3685/8326/7477/1298/3908/3371/6932/3915/4853/2033/5590/81029/3911/5594/3672/3134/22801/1297/2932/54361/8772/8638/1101/1387/5610/284217/3659/5925/7057/1285/5934/3909/131873/5291/3993/537/1741/11211/92359/2885/2475/6198/1857/207/9794/3680/7098/5159/51382/5290/3674/6934/7482/55502/8517/84667/3716/23352/472/3693/3065"
"hsa04512","ECM-receptor interaction",73,0.618370371740459,2.22044666972507,1.19268615972287e-08,4.61171981759509e-07,2.81780823700607e-07,3307,"tags=56%, list=19%, signal=46%","3910/8516/1605/255743/341640/1280/2335/3655/3913/3673/3912/1277/3691/6382/3675/80144/1291/158326/3688/1286/1292/3696/7059/3679/9900/375790/3685/1298/3908/3371/3915/3911/3672/22801/1297/1101/284217/7057/1285/3909/131873"
"hsa05200","Pathways in cancer",448,0.383830143181768,1.73906383316465,1.7148889601473e-08,5.96781358131259e-07,3.6463954731553e-07,4730,"tags=44%, list=28%, signal=33%","1728/3910/7474/2034/5154/2771/4313/5337/9915/2335/6774/3655/5579/2263/83439/1026/8503/5595/3913/83593/8324/3728/2113/317/3673/5979/8322/7039/3912/999/182/10023/5293/2535/5228/2948/2768/6772/5899/1487/1956/7475/2247/7852/7473/1495/4791/637/7481/5732/7423/1950/817/842/119391/3675/4233/7040/1612/1027/149233/816/6655/112/10681/8648/4436/4318/2064/2736/5295/3688/1286/818/7483/114112/5880/6773/5567/2122/4851/896/6258/330/598/2353/5155/2778/2737/7185/7855/4854/3685/8326/5602/596/7477/867/652/57121/3908/29119/6932/113/5727/2786/3915/405/862/4088/4853/5582/2033/54331/81029/673/3911/5594/57449/7046/2057/2322/23365/3570/2932/7704/54361/8772/1387/3714/284217/5578/6093/2254/5925/1647/1285/3601/5335/4824/3909/5291/6777/2782/6778/185/107/5338/25/7849/111/11211/1488/2885/2475/6198/1857/2250/4041/4040/7048/207/10587/7424/27436/9475/8202/7184/5159/5290/2946/7175/10235/3674/6934/7482/840/8517/6776/3716/6256/9826/1643/3065/613/5898/7709/2783/4437/89780/5332/2770/51684/1856/374654/3718/5881"
"hsa04810","Regulation of actin cytoskeleton",193,0.465093699414156,1.94492802066781,4.28382919719191e-08,1.35524778238435e-06,8.28070332854321e-07,4201,"tags=43%, list=24%, signal=33%","56034/7114/8516/5154/1793/2335/3655/26999/2263/8396/8503/5595/1131/89846/2934/3673/727/7414/22808/5293/221178/54961/2768/1956/3691/2247/60/7852/81553/1950/1132/3675/79837/6655/8395/5295/3688/8394/85477/10152/5880/3985/4628/200576/3696/5155/2245/3679/85464/3685/9459/57121/2909/7074/5058/673/5594/3672/22801/23365/57180/54434/10788/6093/2254/28964/5291/4659/3984/4627/10097/5305/2250/207/10095/3680/9475/3689/5159/5290/4660/3674/128239"
"hsa04820","Cytoskeleton in muscle cells",186,0.465075628956816,1.92708688628088,1.57598167328331e-07,4.21878171001993e-06,2.57771901217189e-06,2945,"tags=37%, list=17%, signal=31%","482/2026/7169/1290/8516/1605/2192/7168/2335/3655/2200/3728/1289/3673/10529/9172/8735/91010/25802/7414/84033/23224/7134/481/23353/1277/3691/8082/60/6382/8736/752/1462/56776/9672/3675/5318/1291/4811/83660/3688/1286/1824/161176/287/23002/1292/4628/23345/3696/7059/3679/375790/3685/1281/1298/84467/58529/288/3908/72/3672/5339/22801/1297/284217/272/6709"
"hsa04014","Ras signaling pathway",192,0.456101536065143,1.90062764351371,2.16283823670426e-07,5.37619790266486e-06,3.28491220912977e-06,3944,"tags=39%, list=23%, signal=30%","56034/11145/5154/23179/5337/5579/2263/8503/5595/283455/5869/83593/2113/8831/9846/2321/7039/22808/5293/5228/5899/1956/2247/3791/7423/1950/4233/6655/10681/5295/253959/5921/5880/5567/598/22821/2549/5155/57186/5602/5923/9771/8844/627/2786/4301/25759/7074/5058/5582/4763/54331/5594/2322/6464/4915/5578/2254/1969/1942/1944/5335/57148/27/5291/2782/5338/25/2885/2250/53358/207/8437/7424"
"hsa05205","Proteoglycans in cancer",178,0.448554938553362,1.84779631334451,9.28397589817255e-07,1.91817577723003e-05,1.17202512704315e-05,3637,"tags=42%, list=21%, signal=34%","2719/7474/2065/4313/2335/6774/5579/5328/1026/8503/5595/8324/10855/3673/8322/857/22808/5293/2535/286/1956/1277/7475/2247/60/6382/7473/7481/3791/817/4233/7040/816/6655/4318/2064/5295/3688/818/7483/287/5567/2549/7855/3685/8326/3709/7477/867/288/5727/3708/7074/5777/5058/5582/81029/673/5594/23365/54361/1839/5578/6093/7057/5335/2017/2316/5291/4659/11211/5170/2885/2475/6198"
"hsa01521","EGFR tyrosine kinase inhibitor resistance",75,0.541777306995475,1.95986984327504,7.23670508229672e-06,0.000120497036361683,7.3624928448457e-05,4198,"tags=57%, list=24%, signal=44%","56034/2065/5154/6774/5579/2263/8503/5595/7039/5293/1956/2247/3791/1950/4233/558/6655/2064/5295/598/2549/5155/9542/596/25759/5582/4763/673/5594/6464/3570/2932/5578/5335/5291/2885/2475/6198/53358/207/5159/5290/2621"
