"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa03008","Ribosome biogenesis in eukaryotes",74,0.724084190942511,2.84821821074463,1e-10,1.74e-08,1.1e-08,2527,"tags=62%, list=16%, signal=52%","10885/1736/55127/51096/92856/23560/7514/10528/54552/10940/55781/1459/102157402/55341/23160/10813/55226/1457/84916/2091/134430/22803/84128/10557/6949/28987/26354/51077/54433/51602/10799/51068/9790/84135/10199/283106/10556/102724159/23195/10248/83732/55131/29102/3692/166378/5901"
"hsa03013","Nucleocytoplasmic transport",102,0.627570044707103,2.62918509273212,1e-10,1.74e-08,1.1e-08,4282,"tags=67%, list=28%, signal=48%","55706/7514/3842/25909/3838/3843/4927/64328/22916/23165/10762/3840/55161/51808/23214/51194/10189/4116/5411/3837/55746/348995/3839/81929/4686/57510/55308/4928/26019/8480/23279/84305/10526/51068/57122/23534/129401/53371/8563/1434/22985/10527/5901/3836/6613/79023/57187/3841/23039/9631/65109/9984/9688/9939/23633/10921/10073/23511/7329/7175/79902/55110/9883/65110/5976/9775/2733/100101267"
"hsa03040","Spliceosome",129,0.51280989492532,2.23387073295781,3.03647993398286e-09,3.52231672342012e-07,2.22675195158743e-07,4297,"tags=61%, list=28%, signal=45%","9129/55119/10946/84991/22916/11157/9410/6426/23451/3190/10189/9343/4116/10915/1665/22938/6429/3312/4686/58517/6427/9416/102724594/2521/10907/51362/51691/27316/9128/27339/55660/10450/3178/23450/9879/3192/51729/6629/22985/988/9716/6100/10285/6635/4670/6434/6634/10465/57187/4809/6632/11338/10713/84950/56259/10084/9984/84844/9939/3183/1659/10772/25949/6625/220988/26121/23658/6636/57819/57461/9092/55110/55696/10291/51690/9775/51639/51340/6631"
"hsa03010","Ribosome",129,0.50587544679485,2.20366331909711,6.42627944177768e-09,5.59086311434658e-07,3.53445369297772e-07,5593,"tags=63%, list=36%, signal=40%","51263/51116/51318/6129/11222/65008/29088/200916/64983/9801/6128/29074/64965/55173/65005/65003/219927/9349/6139/6154/28998/6165/64979/55052/6135/51264/6124/6164/6204/6231/54948/6228/51073/6230/63875/6125/6173/6229/6144/9045/6147/6183/6156/6169/29093/64969/51023/3921/51373/6233/6189/51081/51187/6181/6152/6133/6146/6160/6194/6187/6161/6210/6157/7311/6123/6206/6207/6170/6168/6188/6167/51065/64928/23521/51021/6222/6201/64963/6122/6158/6191"
"hsa03015","mRNA surveillance pathway",86,0.491663476103546,1.98756994105644,7.27279437938101e-06,0.000361561777717799,0.000228573537637689,4278,"tags=58%, list=28%, signal=42%","5519/22916/11051/23435/2935/53981/5525/10189/4116/5411/5501/11052/4686/5529/55308/9887/1478/8732/2521/26019/55339/84305/80335/5520/1477/23049/81608/22985/10914/5528/26986/64895/1479/53918/65109/10978/9939/132430/10921/51585/23283/5516/51692/642843/10767/55110/65110/5976/9775/2733"
"hsa03020","RNA polymerase",33,0.640194108175377,2.09723504647659,6.37165416288954e-05,0.00147822376579037,0.0009345092772238,2421,"tags=39%, list=16%, signal=33%","84172/5433/10622/55703/64425/51728/5432/5431/51082/9533/25885/55718/221830"
"hsa04110","Cell cycle",153,0.38188015558814,1.69942791708918,5.26570453049148e-05,0.00147822376579037,0.0009345092772238,2855,"tags=37%, list=19%, signal=30%","6502/10403/90381/699/9319/5347/8454/991/5519/701/8697/891/7027/5525/1871/23063/1022/10274/5001/7272/64682/80174/57082/23244/898/4999/5529/545/890/10926/10393/9126/29945/4085/993/1874/23594/23047/3066/4173/113130/7533/9184/25836/9232/26271/51434/27085/5528/8881/983/9700/9212/51433/9133/1875"
"hsa04120","Ubiquitin mediated proteolysis",136,0.374144089533635,1.64836282563861,0.00043363352518932,0.00628768611524514,0.0039749739809021,2573,"tags=32%, list=17%, signal=27%","6502/7327/8454/991/64750/8697/26091/8451/9690/64682/7326/8554/3093/83737/54926/7321/140739/27338/10393/29945/8452/10054/55585/9063/27339/7334/8453/65264/11059/7322/9320/1161/51366/9886/22954/25898/51434/23291/118424/8881/7332/8945/8065"
"hsa03018","RNA degradation",71,0.438439020654901,1.70003955245636,0.0012652893617801,0.0133127328836691,0.00841609550117011,4008,"tags=56%, list=26%, signal=42%","3329/23404/51010/11157/5214/23517/115752/87178/22803/9125/23016/64282/170506/51691/167227/55802/5394/1656/2026/5393/57472/25904/26986/10200/84186/246175/132430/131870/23019/22894/7832/56915/3313/196513/23658/27257/57819/255967/29883/4850"
"hsa04114","Oocyte meiosis",108,0.376818055697498,1.5880668454756,0.00180513760847569,0.0174496635485983,0.0110313964962403,2819,"tags=36%, list=18%, signal=30%","6790/699/5347/8454/5594/991/5519/113/8697/891/5525/64682/898/5501/817/5529/10393/286151/9126/29945/4085/1432/245711/5534/5530/7533/9232/26271/51434/23291/5528/8881/109/816/8945/983/9700/51433/9133"
"hsa03022","Basal transcription factors",39,0.483826025262729,1.64777829337212,0.00561434234120114,0.0331151039786101,0.0209348358485466,5696,"tags=72%, list=37%, signal=45%","6877/2957/1022/83860/2965/6874/2966/6873/2961/728340/6882/2963/2958/2071/2962/4331/6875/404672/6883/51616/6872/6880/6879/9519/6908/54457/2959/129685"
