"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05224","Breast cancer",127,-0.469360001434178,-1.8312821681975,4.74303465283357e-05,0.00078598859961242,0.000532551259265523,1861,"tags=24%, list=11%, signal=22%","8322/8648/10023/4851/2064/10000/673/23462/5894/2260/8321/6667/23493/4609/2099/80326/3480/182/3280/7855/8324/7477/23401/1647/3725/54361/26291/7475/4616/3815/83439"
"hsa05226","Gastric cancer",125,-0.415280369745661,-1.60962297782025,0.000701410613028265,0.00762784041668238,0.00516828872757669,2287,"tags=23%, list=14%, signal=20%","324/29119/7043/7042/8322/7046/10023/1495/2064/10000/673/999/596/5894/8321/4609/1045/80326/7855/8324/7477/23401/1647/54361/26291/7475/1030/4616/83439"
"hsa04064","NF-kappa B signaling pathway",79,-0.467774343271635,-1.69548044817229,0.00105070360232548,0.0101568014891463,0.00688180137195636,1080,"tags=22%, list=7%, signal=20%","8837/5971/5970/23118/596/5328/8915/7189/7124/598/4792/1647/1540/929/7128/4616/3383"
"hsa04350","TGF-beta signaling pathway",97,-0.448149027566941,-1.67106160130539,0.00103392590009274,0.0101568014891463,0.00688180137195636,2315,"tags=31%, list=14%, signal=27%","4092/7043/7042/2033/60436/25942/7046/5933/8454/93/1387/90/56963/5308/57154/7018/9372/4093/285704/6667/7050/3398/83729/4609/7124/3625/652/1030/25805/3400"
"hsa04657","IL-17 signaling pathway",69,-0.490999834795966,-1.75135196770083,0.0011137917581559,0.010199987679954,0.00691106243287872,1014,"tags=25%, list=6%, signal=23%","9618/5970/1051/23118/2354/7189/7124/4792/338324/23765/3727/3725/6364/7128/6278/3934/727897"
"hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate",20,-0.682244458267632,-1.89706440392703,0.00135722851150668,0.0116189286668929,0.00787247435385361,1548,"tags=30%, list=9%, signal=27%","55454/10090/9469/126792/22856/50515"
"hsa04550","Signaling pathways regulating pluripotency of stem cells",125,-0.401378027879932,-1.5557376257958,0.00157779572665793,0.0124789298381127,0.00845517327204247,2287,"tags=22%, list=14%, signal=19%","324/3720/5978/5462/8322/7994/10000/93/90/5894/2260/8321/4093/3398/83729/9869/4609/80326/3480/3625/7855/8324/7477/3976/54361/652/7475/3400"
"hsa04668","TNF signaling pathway",102,-0.412903741043242,-1.55588417623133,0.00318012951071364,0.0192325128659859,0.0130311036962518,1720,"tags=23%, list=10%, signal=20%","8737/1388/10000/468/8837/5970/64764/1051/23118/1435/9530/1326/7124/3659/4792/182/3976/3725/1540/6364/7128/3383/1906"
"hsa05217","Basal cell carcinoma",56,-0.499623270149278,-1.71184433209987,0.00357060873908972,0.0210605396814105,0.0142696941580035,881,"tags=21%, list=5%, signal=20%","6608/8321/80326/7855/8324/7477/1647/54361/652/7475/4616/83439"
"hsa04950","Maturity onset diabetes of the young",14,-0.70613391305873,-1.78268090728752,0.00750711585262956,0.037334489645892,0.0252962059306709,2989,"tags=57%, list=18%, signal=47%","222546/2494/5313/389692/3174/3651/3110/3280"
"hsa04010","MAPK signaling pathway",255,-0.319805294328854,-1.35563764902875,0.00759700369941539,0.037334489645892,0.0252962059306709,2304,"tags=22%, list=14%, signal=20%","4804/627/7043/7042/10235/2353/9252/4791/10746/5494/11221/7046/80824/4775/6722/2069/2064/10000/673/6789/994/468/5495/5971/5970/23118/5894/2260/1435/3305/7189/1843/1326/4216/4609/1942/2065/2066/7124/7422/3480/3164/1649/1850/1647/3727/3725/1398/1847/929/3643/26291/22808/4616/1399/3815/3791"
"hsa05202","Transcriptional misregulation in cancer",148,-0.347032367839823,-1.38498735776449,0.0119242309477449,0.0483235035670692,0.0327418777949894,3787,"tags=32%, list=23%, signal=25%","7849/2119/330/4149/7403/10912/8358/7030/51804/2118/26471/84444/4005/648/5218/860/1027/904/8357/4804/2308/7102/25942/4286/5546/6692/26039/3486/8864/5970/1051/5328/6667/7113/3398/4613/4609/1025/598/3480/1649/1647/5327/8900/929/4616/8842"
