"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"hsa05130","hsa05130","Pathogenic Escherichia coli infection",173,0.484177327490762,1.88138422699826,2.79289871208441e-06,0.000971928751805375,0.00077319195924021,1751,"tags=20%, list=11%, signal=18%","842/2534/4430/7277/3569/644150/60/834/2149/5603/837/7280/8795/7846/9265/5879/3606/7132/5602/9076/2768/4645/54205/9073/4642/5058/4615/8440/8772/3554/2597/3725/840/9267/8743"
"hsa04613","hsa04613","Neutrophil extracellular trap formation",113,0.525814220247896,1.94222581453043,9.48567711998527e-06,0.00165050781887744,0.00131301741187165,2092,"tags=32%, list=13%, signal=28%","9734/3017/60/834/94239/5603/837/5578/2475/5879/6850/85236/23236/5880/79792/7416/727/8365/5291/3012/55766/8355/5332/8503/8334/8970/8357/8367/8353/64581/8345/10014/8348/8358/55506/5600"
"hsa04081","hsa04081","Hormone signaling",125,0.470152176322235,1.75601758856127,0.000143372348719526,0.0166311924514651,0.0132305009520124,2136,"tags=26%, list=13%, signal=23%","1734/6567/9843/1081/147/2782/3717/59345/7068/23236/2768/7433/2770/7067/113/54331/2791/5567/5291/5332/115/4878/8503/51094/797/2769/10681/8660/6774/2773/3685/55970/6776"
"hsa04151","hsa04151","PI3K-Akt signaling pathway",278,0.376980996631914,1.54753609812897,0.00019574155240366,0.0170295150591184,0.013547375863727,2258,"tags=25%, list=14%, signal=22%","4254/842/3694/3914/3673/3569/1026/5979/1436/2149/2782/5578/5154/2475/3717/3371/5879/6850/59345/3691/3912/3909/7039/1288/23566/7532/10018/3570/1287/4233/9586/1277/3655/54331/1021/2791/3164/3716/2324/4915/5291/3566/28227/3908/374/8503/3675/2932/1943/1946/6446/7422/10681/3672/1291/7533/1956/3685/4515/55970/5515/5516/7423/5155/57121/5519/6655/3696/2263"
"hsa05034","hsa05034","Alcoholism",122,0.453866641289818,1.68795898980641,0.000312342833763639,0.0187227656275164,0.014894396128363,2846,"tags=31%, list=17%, signal=26%","9734/3017/94239/2782/59345/85236/9586/2770/54331/2791/5567/4915/8365/3012/55766/8355/8334/8970/8357/8367/8353/10681/8345/10014/2773/8348/8358/55506/55970/801/6655/10488/136/121504/9759/2771/3265/128312"
"hsa03010","hsa03010","Ribosome",129,-0.445172360986788,-1.64835775317209,0.000484209455884046,0.0187227656275164,0.014894396128363,5257,"tags=56%, list=32%, signal=38%","6234/64965/6201/6218/6150/6194/6164/51069/6134/51263/6165/6176/6138/6173/6152/28998/6207/64960/6167/6124/6156/6231/6193/6128/6125/6229/6158/6202/6203/6204/6141/6123/6168/9045/6133/6210/6233/51116/6189/6191/6154/6143/6206/200916/6157/6222/6188/6175/6170/51187/6228/388524/6135/6130/6136/6181/6187/4736/9349/29074/6161/6129/23521/6217/3921/6227/6223/6160/54948/6147/6144/6232"
"hsa05163","hsa05163","Human cytomegalovirus infection",186,0.406110730577519,1.59063099992832,0.000352789449433796,0.0187227656275164,0.014894396128363,2212,"tags=26%, list=13%, signal=23%","842/3569/1026/5603/2782/5578/2475/5879/59345/7132/23236/2768/3570/54205/2185/9586/2770/5880/6347/113/5530/54331/1021/115004/2791/5567/3716/5291/8772/5332/115/3554/6891/8503/2932/7422/10681/6774/1956/1234/6892/2773/3685/55970/801/5600/841/6655"
"hsa05020","hsa05020","Prion disease",237,0.389421238275633,1.56603690370197,0.000439635556702223,0.0187227656275164,0.014894396128363,2774,"tags=23%, list=17%, signal=19%","842/2534/7277/3569/5603/4684/7280/7846/5879/5602/54205/9586/4538/5880/4519/7416/5530/727/1327/4513/5567/5291/4697/4539/4514/4705/8503/4512/2932/5702/90550/5705/4508/5694/3800/776/6261/4536/5707/5600/1649/4541/4716/1536/4694/4710/10488/5709/4713/4726/10213/64837/3798/5293"
"hsa05200","hsa05200","Pathways in cancer",441,0.33910975638559,1.44236988190431,0.000428941636109263,0.0187227656275164,0.014894396128363,2300,"tags=23%, list=14%, signal=20%","4254/842/3914/3673/3569/1647/1026/5979/2737/1436/1612/2149/816/7709/2782/5578/5898/5154/2475/3717/5879/2113/6932/817/59345/3912/3909/7039/8325/1288/1643/5602/23566/112399/10018/23236/2768/6513/3570/1287/54205/4233/2770/1495/3655/5880/113/54331/1021/2791/2947/5567/3716/2324/5291/3566/8772/5332/115/10342/3908/3600/8503/5468/3675/3091/2932/7185/6773/6772/3725/840/10023/7422/10681/182/6775/2948/6774/1956/4259/83593/2946/2773/3685/5371/55970/801/7423/5155/6776/57121/999/7481/841/6655/4258/2034/2263/650/89780"
"hsa04512","hsa04512","ECM-receptor interaction",71,0.532753144321574,1.83217456743173,0.000673232456026668,0.0234284894697281,0.0186379090457909,1728,"tags=27%, list=10%, signal=24%","960/3694/3914/3673/3371/3691/3912/3909/1288/255743/341640/1605/1287/1277/3655/3908/3675/3672/1291"
"hsa04115","hsa04115","p53 signaling pathway",73,0.520662551979019,1.80608079451479,0.00101145990027931,0.0319989132088363,0.0254558807438716,1526,"tags=22%, list=9%, signal=20%","842/2810/64065/1647/1026/8795/7161/1643/54205/3486/83667/1021/1111/9540/64393/6241"
"hsa03013","hsa03013","Nucleocytoplasmic transport",103,-0.460283854363535,-1.64393378201112,0.00116939597310241,0.0339124832199698,0.0269781702566608,3686,"tags=39%, list=22%, signal=30%","23511/1917/26019/10189/30000/79902/129401/65110/10527/4686/57187/7919/392517/55746/22985/100101267/5411/9883/51194/3842/10921/7514/1915/55308/10762/11260/10482/9818/81929/1434/3839/3843/23534/9631/22916/8480/6612/64328/348995/23165"
"hsa05322","hsa05322","Systemic lupus erythematosus",61,0.528206436281738,1.75719986046291,0.00149970813350434,0.0401460331122701,0.0319371043815095,1977,"tags=31%, list=12%, signal=28%","3017/94239/85236/6737/3113/727/8365/3012/55766/8355/8334/8970/8357/8367/8353/8345/8348/8358/55506"
"hsa04210","hsa04210","Apoptosis",121,0.430579058121717,1.6001648081955,0.00169408886648154,0.0401762586290911,0.0319611494841227,2504,"tags=27%, list=15%, signal=23%","842/1515/7277/60/1647/1676/8795/7846/7132/5602/10018/4217/54205/10039/1514/5291/8772/5783/8503/843/7185/3725/840/27429/8743/8797/1513/6709/841/1649/4616/9020/1075"
"hsa04621","hsa04621","NOD-like receptor signaling pathway",133,0.422693676304256,1.58985359250842,0.00173173528573669,0.0401762586290911,0.0319611494841227,1622,"tags=22%, list=10%, signal=20%","3569/4938/9927/834/2635/5603/837/3606/5027/10392/5602/4940/23236/6041/6347/79792/7416/24145/118429/4615/3716/8772/5332/64127/6773/90550/6772/3725/2921"
"hsa04971","hsa04971","Gastric acid secretion",55,0.532466302431819,1.74440136660117,0.00290657681571412,0.0454452373790024,0.0361527447993879,2851,"tags=38%, list=17%, signal=32%","60/816/5578/817/23236/2770/6548/113/5567/5332/115/483/115111/3776/2773/478/801/481/2771/9992/3759"
"hsa05222","hsa05222","Small cell lung cancer",89,0.470535872895315,1.67291457103127,0.00216231811843273,0.0454452373790024,0.0361527447993879,1457,"tags=21%, list=9%, signal=20%","842/3914/3673/1647/1026/7709/3912/3909/1288/1643/1287/54205/3655/1021/5291/3908/8503/3675/7185"
