"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009117","GO:0009117","nucleotide metabolic process","51/497","463/13604",1.4279977338618e-12,3.01058228433673e-09,2.84577525580572e-09,"ENO1/ELOVL1/AK4/SDHC/MPC2/BPNT1/ADSS2/RRM2/MDH1/ATP6V1B1/IDH1/ATIC/SLC4A7/IMPDH2/TKT/NDUFB4/MFN1/PAICS/HMGCS1/HMGCR/HSPA1B/ELOVL5/ME1/NMRK1/ATP5F1C/TALDO1/NADSYN1/ACAT1/HSPA8/LDHB/TDG/MTHFD1/DUT/IDH2/NME4/MVD/TP53/AFMID/TECR/ACSS2/ADA/PDE9A/SLC25A1/PUDP/PDHA1/ACOT9/PRPS1/ACSL4/ATP6/ND5/ND6",51
"GO:0006163","GO:0006163","purine nucleotide metabolic process","47/497","405/13604",1.77103486557301e-12,3.01058228433673e-09,2.84577525580572e-09,"ENO1/ELOVL1/AK4/SDHC/MPC2/BPNT1/ADSS2/MDH1/ATP6V1B1/IDH1/ATIC/SLC4A7/IMPDH2/TKT/NDUFB4/MFN1/PAICS/HMGCS1/HMGCR/HSPA1B/ELOVL5/ME1/NMRK1/ATP5F1C/TALDO1/NADSYN1/ACAT1/HSPA8/LDHB/MTHFD1/IDH2/NME4/MVD/TP53/AFMID/TECR/ACSS2/ADA/PDE9A/SLC25A1/PDHA1/ACOT9/PRPS1/ACSL4/ATP6/ND5/ND6",47
"GO:0072521","GO:0072521","purine-containing compound metabolic process","48/497","425/13604",2.74767799126628e-12,3.01058228433673e-09,2.84577525580572e-09,"ENO1/ELOVL1/AK4/SDHC/MPC2/BPNT1/ADSS2/MDH1/ATP6V1B1/IDH1/ATIC/SLC4A7/IMPDH2/TKT/NDUFB4/MFN1/SLC2A9/PAICS/HMGCS1/HMGCR/HSPA1B/ELOVL5/ME1/NMRK1/ATP5F1C/TALDO1/NADSYN1/ACAT1/HSPA8/LDHB/MTHFD1/IDH2/NME4/MVD/TP53/AFMID/TECR/ACSS2/ADA/PDE9A/SLC25A1/PDHA1/ACOT9/PRPS1/ACSL4/ATP6/ND5/ND6",48
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","51/497","472/13604",2.98151253710001e-12,3.01058228433673e-09,2.84577525580572e-09,"ENO1/ELOVL1/AK4/SDHC/MPC2/BPNT1/ADSS2/RRM2/MDH1/ATP6V1B1/IDH1/ATIC/SLC4A7/IMPDH2/TKT/NDUFB4/MFN1/PAICS/HMGCS1/HMGCR/HSPA1B/ELOVL5/ME1/NMRK1/ATP5F1C/TALDO1/NADSYN1/ACAT1/HSPA8/LDHB/TDG/MTHFD1/DUT/IDH2/NME4/MVD/TP53/AFMID/TECR/ACSS2/ADA/PDE9A/SLC25A1/PUDP/PDHA1/ACOT9/PRPS1/ACSL4/ATP6/ND5/ND6",51
"GO:0002181","GO:0002181","cytoplasmic translation","24/497","153/13604",1.4959353560568e-09,1.20841658062268e-06,1.14226474450905e-06,"RPL5/RPL31/RPL15/RPL14/RPL37/RPL10A/RPL7/EIF3E/EIF3H/RPL7A/EIF3F/RPS3/ZNF385A/RPL4/PKM/RPL23A/RPL23/RPL19/UNK/RPL18/RPL13A/RPL28/EIF3L/RPL3",24
"GO:0009165","GO:0009165","nucleotide biosynthetic process","32/497","261/13604",1.80763745787953e-09,1.21684128206257e-06,1.15022825609282e-06,"ENO1/ELOVL1/AK4/SDHC/MPC2/ADSS2/RRM2/ATIC/SLC4A7/IMPDH2/NDUFB4/PAICS/ELOVL5/ME1/NMRK1/ATP5F1C/NADSYN1/ACAT1/MTHFD1/DUT/NME4/AFMID/TECR/ACSS2/ADA/SLC25A1/PDHA1/PRPS1/ACSL4/ATP6/ND5/ND6",32
"GO:1901293","GO:1901293","nucleoside phosphate biosynthetic process","32/497","263/13604",2.1901463544e-09,1.2637144464888e-06,1.19453546276824e-06,"ENO1/ELOVL1/AK4/SDHC/MPC2/ADSS2/RRM2/ATIC/SLC4A7/IMPDH2/NDUFB4/PAICS/ELOVL5/ME1/NMRK1/ATP5F1C/NADSYN1/ACAT1/MTHFD1/DUT/NME4/AFMID/TECR/ACSS2/ADA/SLC25A1/PDHA1/PRPS1/ACSL4/ATP6/ND5/ND6",32
"GO:0006164","GO:0006164","purine nucleotide biosynthetic process","29/497","226/13604",3.70851995953483e-09,1.87233901457015e-06,1.76984235437274e-06,"ENO1/ELOVL1/AK4/SDHC/MPC2/ADSS2/ATIC/SLC4A7/IMPDH2/NDUFB4/PAICS/ELOVL5/NMRK1/ATP5F1C/NADSYN1/ACAT1/MTHFD1/NME4/AFMID/TECR/ACSS2/ADA/SLC25A1/PDHA1/PRPS1/ACSL4/ATP6/ND5/ND6",29
"GO:0072522","GO:0072522","purine-containing compound biosynthetic process","29/497","234/13604",8.2820216756297e-09,3.71678728309649e-06,3.51332077397765e-06,"ENO1/ELOVL1/AK4/SDHC/MPC2/ADSS2/ATIC/SLC4A7/IMPDH2/NDUFB4/PAICS/ELOVL5/NMRK1/ATP5F1C/NADSYN1/ACAT1/MTHFD1/NME4/AFMID/TECR/ACSS2/ADA/SLC25A1/PDHA1/PRPS1/ACSL4/ATP6/ND5/ND6",29
"GO:0009150","GO:0009150","purine ribonucleotide metabolic process","34/497","323/13604",2.85196389729964e-08,1.15190821811932e-05,1.0888497953164e-05,"ENO1/ELOVL1/AK4/SDHC/MPC2/BPNT1/ADSS2/ATP6V1B1/ATIC/IMPDH2/NDUFB4/MFN1/PAICS/HMGCS1/HMGCR/HSPA1B/ELOVL5/ATP5F1C/ACAT1/HSPA8/MTHFD1/NME4/MVD/TECR/ACSS2/ADA/PDE9A/SLC25A1/PDHA1/ACOT9/ACSL4/ATP6/ND5/ND6",34
"GO:0032787","GO:0032787","monocarboxylic acid metabolic process","44/497","491/13604",3.43230025265963e-08,1.26027824731748e-05,1.19128736999009e-05,"ENO1/ELOVL1/PGM1/ACADM/ABCD3/MPC2/ATP6V1B1/IDH1/PECR/HACL1/FGFR4/ELOVL5/ME1/ACAT2/MLXIPL/INSIG1/CRAT/PFKP/DHTKD1/ACADSB/LDHA/FADS2/FADS1/ARL2/CPT1A/ACAT1/LDHB/PTGES3/CRYL1/SORD/PKM/FAH/IDH2/ALDH1A3/TP53/PRKACA/TECR/GPI/CEACAM1/ACSS2/PFKL/PNPLA3/PDHA1/ACSL4",44
