"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043651","GO:0043651","linoleic acid metabolic process","2/8","15/13604",3.16530296244714e-05,0.00775499225799549,0.00319862194099921,"FADS2/FADS1",2
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","2/8","40/13604",0.00023341340030543,0.0285931415374151,0.011793519173327,"FADS2/FADS1",2
"GO:0006644","GO:0006644","phospholipid metabolic process","3/8","325/13604",0.000691993587136951,0.0366683610033606,0.0151242219390875,"FADS1/MVD/LDLR",3
"GO:0001676","GO:0001676","long-chain fatty acid metabolic process","2/8","81/13604",0.000957929576268568,0.0366683610033606,0.0151242219390875,"FADS2/FADS1",2
"GO:0033559","GO:0033559","unsaturated fatty acid metabolic process","2/8","81/13604",0.000957929576268568,0.0366683610033606,0.0151242219390875,"FADS2/FADS1",2
"GO:0006163","GO:0006163","purine nucleotide metabolic process","3/8","405/13604",0.00131187229949469,0.0366683610033606,0.0151242219390875,"NADSYN1/MVD/PDE9A",3
"GO:0072521","GO:0072521","purine-containing compound metabolic process","3/8","425/13604",0.00150803059852183,0.0366683610033606,0.0151242219390875,"NADSYN1/MVD/PDE9A",3
"GO:0008203","GO:0008203","cholesterol metabolic process","2/8","106/13604",0.00163325927679253,0.0366683610033606,0.0151242219390875,"MVD/LDLR",2
"GO:0120254","GO:0120254","olefinic compound metabolic process","2/8","111/13604",0.00178910463536251,0.0366683610033606,0.0151242219390875,"FADS2/FADS1",2
"GO:1902652","GO:1902652","secondary alcohol metabolic process","2/8","114/13604",0.00188590325096214,0.0366683610033606,0.0151242219390875,"MVD/LDLR",2
"GO:0009117","GO:0009117","nucleotide metabolic process","3/8","463/13604",0.00193021988269066,0.0366683610033606,0.0151242219390875,"NADSYN1/MVD/PDE9A",3
"GO:0016125","GO:0016125","sterol metabolic process","2/8","117/13604",0.00198516213224938,0.0366683610033606,0.0151242219390875,"MVD/LDLR",2
"GO:0006753","GO:0006753","nucleoside phosphate metabolic process","3/8","472/13604",0.00204007225323337,0.0366683610033606,0.0151242219390875,"NADSYN1/MVD/PDE9A",3
"GO:0006633","GO:0006633","fatty acid biosynthetic process","2/8","121/13604",0.00212132269623335,0.0366683610033606,0.0151242219390875,"FADS2/FADS1",2
"GO:0044283","GO:0044283","small molecule biosynthetic process","3/8","488/13604",0.0022450016940833,0.0366683610033606,0.0151242219390875,"FADS2/FADS1/MVD",3
"GO:0046434","GO:0046434","organophosphate catabolic process","2/8","130/13604",0.00244354888589606,0.0374168423152835,0.0154329403319751,"LDLR/PDE9A",2
