"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1903034","GO:1903034","regulation of response to wounding","20/563","128/13604",2.85299938416378e-07,0.00123420753358925,0.00107663187286602,"WNT4/EPHA4/CLDN1/OCLN/EDN1/TNF/TNFAIP3/CLDN3/PLAT/KANK1/KLF4/PLAU/ST3GAL4/RGMA/GP1BA/C1QTNF1/SERPINB2/PLAUR/XBP1/ATP7A",20
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","35/563","346/13604",9.65565714747601e-07,0.00208851864099906,0.00182187004598429,"GADD45A/IQGAP3/GPR37L1/CHI3L1/TGFA/CFLAR/ERBB4/CCL20/GHR/ADRB2/EDN1/TNF/SASH1/IL6/NOD1/INHBA/IGFBP3/HIPK2/PTK2B/FGFR1/AVPI1/DENND2B/TNFRSF19/SPRY2/PELI2/TGFB3/MAPK8IP3/NOD2/IL34/MAP2K3/LGALS9/ERBB2/C1QTNF1/GADD45B/FGF21",35
"GO:0061041","GO:0061041","regulation of wound healing","16/563","96/13604",1.83436640333352e-06,0.00226402917463294,0.00197497252623284,"WNT4/CLDN1/OCLN/EDN1/TNF/TNFAIP3/CLDN3/PLAT/KANK1/PLAU/ST3GAL4/GP1BA/C1QTNF1/SERPINB2/PLAUR/XBP1",16
"GO:0001666","GO:0001666","response to hypoxia","28/563","253/13604",2.09341578791765e-06,0.00226402917463294,0.00197497252623284,"MTHFR/CASP9/SLC9A1/PLK3/CFLAR/EPHA4/CPEB2/CD38/EGR1/STC2/EDN1/SOX4/TNF/CITED2/CLDN3/HIPK2/PTK2B/PLAT/PLAU/ADM/ANG/FOS/TGFB3/ARNT2/LOC102724560/CBS/ATP7A/ND4",28
"GO:0036293","GO:0036293","response to decreased oxygen levels","28/563","268/13604",6.4184549303954e-06,0.0055532472057781,0.00484424440536158,"MTHFR/CASP9/SLC9A1/PLK3/CFLAR/EPHA4/CPEB2/CD38/EGR1/STC2/EDN1/SOX4/TNF/CITED2/CLDN3/HIPK2/PTK2B/PLAT/PLAU/ADM/ANG/FOS/TGFB3/ARNT2/LOC102724560/CBS/ATP7A/ND4",28
"GO:0070482","GO:0070482","response to oxygen levels","29/563","294/13604",1.34301482370706e-05,0.00968313687892789,0.00844685639121018,"MTHFR/CASP9/SLC9A1/PLK3/CFLAR/EPHA4/CPEB2/CD38/EGR1/STC2/EDN1/SOX4/TNF/CITED2/CLDN3/HIPK2/PTK2B/PLAT/PLAU/ADM/ANG/FOS/TGFB3/ARNT2/SLC7A5/LOC102724560/CBS/ATP7A/ND4",29
"GO:0071496","GO:0071496","cellular response to external stimulus","29/563","302/13604",2.23008042875652e-05,0.012362232084932,0.0107839019939366,"TNFRSF8/WNT4/SLC9A1/GADD45A/PIK3C2B/NUAK2/ATF3/TLR5/EIF2AK3/MAP3K2/PLD1/PTGER4/IRF1/PIM1/PDK4/ASNS/TNFRSF10B/CDKN2B/ANKRD1/SIPA1/GABARAPL1/ULK1/FOS/KIF26A/SLC7A5/LOC102724560/CBS/XBP1/TLR7",29
"GO:1903035","GO:1903035","negative regulation of response to wounding","12/563","69/13604",2.2861270614761e-05,0.012362232084932,0.0107839019939366,"WNT4/EPHA4/EDN1/TNF/CLDN3/PLAT/PLAU/RGMA/GP1BA/C1QTNF1/SERPINB2/PLAUR",12
"GO:0009611","GO:0009611","response to wounding","37/563","440/13604",3.38893880005535e-05,0.016053114118795,0.0140035560055186,"WNT4/MERTK/CFLAR/EPHA4/LAMB2/RAP2B/CLDN1/OCLN/EDN1/TNF/TNFAIP3/IL6/CLDN3/PLAT/EXT1/KANK1/B4GALT1/KLF4/ENTPD2/PLAU/MORN4/RTN4RL2/ST3GAL4/RGMA/MAPK8IP3/GP1BA/SARM1/ERBB2/C1QTNF1/CHMP1B/SERPINB2/CYP4F11/ZFP36/PLAUR/SDC4/XBP1/ATP7A",37
"GO:0061045","GO:0061045","negative regulation of wound healing","10/563","51/13604",3.75159964464082e-05,0.016053114118795,0.0140035560055186,"WNT4/EDN1/TNF/CLDN3/PLAT/PLAU/GP1BA/C1QTNF1/SERPINB2/PLAUR",10
"GO:0044706","GO:0044706","multi-multicellular organism process","19/563","162/13604",4.08192915642036e-05,0.016053114118795,0.0140035560055186,"WNT4/RGS2/ACVR1C/CD38/STC2/EDN1/CLIC5/CITED2/ESR1/B4GALT1/PAPPA/ADM/FOS/TGFB3/LGALS9/PLA2G4C/LOC102724560/CBS/ATP7A",19
"GO:0009991","GO:0009991","response to extracellular stimulus","36/563","429/13604",4.5167652699343e-05,0.0162626809451131,0.0141863666905687,"MTHFR/WNT4/BMP8A/PIK3C2B/NUAK2/ATF3/EIF2AK3/ACVR1C/PLD1/GHR/ADRB2/STC2/TNF/PIM1/PDK4/ASNS/CDKN2B/IL15RA/ADM/SIPA1/GABARAPL1/ULK1/FOS/KIF26A/ALDH1A2/GPT2/NOD2/MEAK7/SLC7A5/BCAS3/ZFP36/FGF21/LOC102724560/CBS/XBP1/FOXO4",36
