"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","49/352","467/13604",3.55153499798729e-17,1.1741374703346e-13,1.10620969042572e-13,"NOL9/WDR77/WDR3/PRPF3/RRP15/HEATR1/WDR43/XPO1/NIFK/POLR2D/WDR75/WDR12/RRP9/NOP14/LYAR/ABCE1/LSM6/BRIX1/SMN1/SMN2/GEMIN5/NPM1/HSP90AB1/RPF2/ERI1/CHD7/MTERF3/DCAF13/EXOSC3/EXOSC2/WDR74/PA2G4/UTP20/NUFIP1/EIF5/EIF3J/LUC7L/RSL1D1/EIF3C/TSR1/MRM1/UTP18/COIL/SRSF1/NOL11/ESF1/RRP1B/PES1/DKC1",49
"GO:0034470","GO:0034470","ncRNA processing","45/352","419/13604",3.25217583710635e-16,5.37584665873679e-13,5.06483594841983e-13,"NOL9/TYW3/WDR3/RRP15/HEATR1/WDR43/THUMPD2/PNPT1/NIFK/SSB/METTL8/WDR75/WDR12/RRP9/NOP14/LYAR/GRSF1/LSM6/NSUN2/BRIX1/RPF2/ADAT2/PUS7/ERI1/CHD7/POP1/DCAF13/EXOSC3/EXOSC2/WDR74/INTS13/PA2G4/UTP20/INTS6/RSL1D1/TSR1/MRM1/UTP18/INTS2/NOL11/ESF1/RRP1B/PES1/TRMU/DKC1",45
"GO:0016072","GO:0016072","rRNA metabolic process","34/352","260/13604",5.3218927591592e-15,5.86472582059344e-12,5.52543181556213e-12,"NOL9/WDR3/RRP15/HEATR1/WDR43/NIFK/WDR75/WDR12/NCL/RRP9/NOP14/LYAR/LSM6/BRIX1/TCOF1/RPF2/ERI1/CHD7/DCAF13/EXOSC3/EXOSC2/WDR74/PA2G4/UTP20/RSL1D1/TSR1/MRM1/CAVIN1/UTP18/NOL11/ESF1/RRP1B/PES1/DKC1",34
"GO:0006364","GO:0006364","rRNA processing","31/352","222/13604",1.44317146445073e-14,1.19278121536853e-11,1.12377483244993e-11,"NOL9/WDR3/RRP15/HEATR1/WDR43/NIFK/WDR75/WDR12/RRP9/NOP14/LYAR/LSM6/BRIX1/RPF2/ERI1/CHD7/DCAF13/EXOSC3/EXOSC2/WDR74/PA2G4/UTP20/RSL1D1/TSR1/MRM1/UTP18/NOL11/ESF1/RRP1B/PES1/DKC1",31
"GO:0042254","GO:0042254","ribosome biogenesis","36/352","320/13604",9.05106772452501e-14,5.98456597945594e-11,5.63833882039358e-11,"NOL9/WDR3/RRP15/HEATR1/WDR43/XPO1/NIFK/WDR75/WDR12/RRP9/NOP14/LYAR/ABCE1/LSM6/BRIX1/NPM1/RPF2/ERI1/CHD7/MTERF3/DCAF13/EXOSC3/EXOSC2/WDR74/PA2G4/UTP20/EIF5/RSL1D1/TSR1/MRM1/UTP18/NOL11/ESF1/RRP1B/PES1/DKC1",36
"GO:1905818","GO:1905818","regulation of chromosome separation","15/352","72/13604",3.5158515833116e-10,1.93723422240469e-07,1.8251587429858e-07,"CDC20/CENPF/BUB1/SMC4/NCAPG/CCNB1/SPDL1/TTK/DLGAP5/BUB1B/KNL1/PLK1/CSNK2A2/ZNF207/NDC80",15
"GO:0051304","GO:0051304","chromosome separation","15/352","79/13604",1.39195454810823e-09,6.57400248006545e-07,6.19367444789814e-07,"CDC20/CENPF/BUB1/SMC4/NCAPG/CCNB1/SPDL1/TTK/DLGAP5/BUB1B/KNL1/PLK1/CSNK2A2/ZNF207/NDC80",15
"GO:0007094","GO:0007094","mitotic spindle assembly checkpoint signaling","11/352","45/13604",1.3753340533283e-08,4.54685438030337e-06,4.28380364610363e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0071173","GO:0071173","spindle assembly checkpoint signaling","11/352","45/13604",1.3753340533283e-08,4.54685438030337e-06,4.28380364610363e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0071174","GO:0071174","mitotic spindle checkpoint signaling","11/352","45/13604",1.3753340533283e-08,4.54685438030337e-06,4.28380364610363e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0031577","GO:0031577","spindle checkpoint signaling","11/352","46/13604",1.76616530359331e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0033046","GO:0033046","negative regulation of sister chromatid segregation","11/352","47/13604",2.25300039316445e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0033048","GO:0033048","negative regulation of mitotic sister chromatid segregation","11/352","47/13604",2.25300039316445e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0045841","GO:0045841","negative regulation of mitotic metaphase/anaphase transition","11/352","47/13604",2.25300039316445e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:2000816","GO:2000816","negative regulation of mitotic sister chromatid separation","11/352","47/13604",2.25300039316445e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0010965","GO:0010965","regulation of mitotic sister chromatid separation","12/352","58/13604",2.28399977214903e-08,4.71931452920294e-06,4.44628639854539e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/DLGAP5/BUB1B/KNL1/PLK1/ZNF207/NDC80",12
"GO:0051985","GO:0051985","negative regulation of chromosome segregation","11/352","48/13604",2.85585757785872e-08,4.96919218547417e-06,4.68170779661161e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:1902100","GO:1902100","negative regulation of metaphase/anaphase transition of cell cycle","11/352","48/13604",2.85585757785872e-08,4.96919218547417e-06,4.68170779661161e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:1905819","GO:1905819","negative regulation of chromosome separation","11/352","48/13604",2.85585757785872e-08,4.96919218547417e-06,4.68170779661161e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0007059","GO:0007059","chromosome segregation","31/352","391/13604",3.03711990270009e-08,5.02035919916324e-06,4.72991462741556e-06,"CDC20/NDC1/SASS6/ASPM/CENPF/SMC6/BUB1/SMC4/NCAPG/CCNB1/SPDL1/TTK/TEX15/DCAF13/HAUS6/KIF11/BCCIP/RACGAP1/SKA3/DLGAP5/BUB1B/KNSTRN/KNL1/TUBGCP4/PLK1/CSNK2A2/ZNF207/TOP2A/MEIOC/NDC80/TPX2",31
"GO:0051306","GO:0051306","mitotic sister chromatid separation","12/352","61/13604",4.16080962820707e-08,6.55030315754884e-06,6.17134621045851e-06,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/DLGAP5/BUB1B/KNL1/PLK1/ZNF207/NDC80",12
"GO:0033047","GO:0033047","regulation of mitotic sister chromatid segregation","11/352","53/13604",8.5804047174883e-08,1.28940081800074e-05,1.21480466789703e-05,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
"GO:0098813","GO:0098813","nuclear chromosome segregation","25/352","286/13604",1.08660821977147e-07,1.56188120633238e-05,1.47152115437244e-05,"CDC20/NDC1/ASPM/CENPF/BUB1/SMC4/NCAPG/CCNB1/SPDL1/TTK/TEX15/DCAF13/KIF11/BCCIP/RACGAP1/DLGAP5/BUB1B/KNSTRN/KNL1/PLK1/ZNF207/TOP2A/MEIOC/NDC80/TPX2",25
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","15/352","108/13604",1.14499637611744e-07,1.57723250810178e-05,1.48598433198751e-05,"CDC20/CENPF/BUB1/CCNB1/SPDL1/PHIP/TTK/HOXA13/KIF20B/DLGAP5/BUB1B/KNL1/PLK1/ZNF207/NDC80",15
"GO:0051983","GO:0051983","regulation of chromosome segregation","16/352","124/13604",1.23458430598623e-07,1.63261428623618e-05,1.5381620890161e-05,"CDC20/CENPF/SMC6/BUB1/SMC4/NCAPG/CCNB1/SPDL1/TTK/DLGAP5/BUB1B/KNL1/PLK1/CSNK2A2/ZNF207/NDC80",16
"GO:0045839","GO:0045839","negative regulation of mitotic nuclear division","11/352","55/13604",1.28596923894112e-07,1.63515934766897e-05,1.54055991013229e-05,"CDC20/CENPF/BUB1/CCNB1/SPDL1/TTK/BUB1B/KNL1/PLK1/ZNF207/NDC80",11
