"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030335","GO:0030335","positive regulation of cell migration","25/237","448/13604",2.86537573517671e-07,0.00064163367008555,0.000545203057794867,"STK39/ITGA6/SEMA3F/CLDN1/ITGA2/SH3RF2/PDGFA/HDAC9/HSPB1/SEMA3A/LAMB1/DOCK8/NR4A3/GATA3/NRP1/RET/PLAU/ETS1/SPRY2/COL1A1/PRKCA/FERMT1/TIAM1/RAC2/TMSB4X",25
"GO:2000147","GO:2000147","positive regulation of cell motility","25/237","464/13604",5.51568628793198e-07,0.00064163367008555,0.000545203057794867,"STK39/ITGA6/SEMA3F/CLDN1/ITGA2/SH3RF2/PDGFA/HDAC9/HSPB1/SEMA3A/LAMB1/DOCK8/NR4A3/GATA3/NRP1/RET/PLAU/ETS1/SPRY2/COL1A1/PRKCA/FERMT1/TIAM1/RAC2/TMSB4X",25
"GO:0045785","GO:0045785","positive regulation of cell adhesion","22/237","372/13604",5.84365819750045e-07,0.00064163367008555,0.000545203057794867,"PRKCZ/ITPKB/ITGA6/IGFBP2/CCDC80/NPNT/ITGA2/CD24/GLI3/LAMB1/DOCK8/SYK/NR4A3/GATA3/NRP1/RET/IL18/ETS1/FOXA1/PRKCA/FERMT1/LGALS1",22
"GO:0040017","GO:0040017","positive regulation of locomotion","25/237","473/13604",7.86164930657591e-07,0.000647406820396526,0.000550108565952246,"STK39/ITGA6/SEMA3F/CLDN1/ITGA2/SH3RF2/PDGFA/HDAC9/HSPB1/SEMA3A/LAMB1/DOCK8/NR4A3/GATA3/NRP1/RET/PLAU/ETS1/SPRY2/COL1A1/PRKCA/FERMT1/TIAM1/RAC2/TMSB4X",25
"GO:0045071","GO:0045071","negative regulation of viral genome replication","7/237","44/13604",9.86302724806335e-06,0.00649776235102413,0.00552121883212641,"RNASEL/IFIT1/IFITM3/TRIM6/OAS3/OASL/BST2",7
"GO:0043589","GO:0043589","skin morphogenesis","4/237","11/13604",2.69211879066372e-05,0.0137332151566999,0.0116692612091091,"ITGA6/ITGA2/COL1A1/ITGB4",4
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","21/237","440/13604",2.9184124498148e-05,0.0137332151566999,0.0116692612091091,"CPTP/NMI/STK39/RBM47/ITGA2/HSPB1/SYK/NRP1/PLAU/MMRN2/TRIM6/IL18/ETS1/TNFRSF1A/OAS3/OASL/PRKCA/TIAM1/RAC2/LGALS1/TMSB4X",21
"GO:0033627","GO:0033627","cell adhesion mediated by integrin","8/237","75/13604",4.65451493542418e-05,0.0188346787226817,0.0160040298864317,"ITGA6/NPNT/ITGA2/SYK/RET/PLAU/ITGB4/FERMT1",8
"GO:0007229","GO:0007229","integrin-mediated signaling pathway","9/237","99/13604",5.63166602584357e-05,0.0188346787226817,0.0160040298864317,"ITGA6/ITGA2/DST/CCM2/LAMB1/SYK/NRP1/ITGB4/FERMT1",9
"GO:0048813","GO:0048813","dendrite morphogenesis","10/237","123/13604",5.71787453633325e-05,0.0188346787226817,0.0160040298864317,"MAP2/DBN1/CAMK2B/SEMA3A/VLDLR/NRP1/ZNF365/DCLK1/NEDD4/TIAM1",10
"GO:0010975","GO:0010975","regulation of neuron projection development","19/237","398/13604",7.04878774191886e-05,0.0211079152926188,0.017935623546184,"PLXNA2/ITGA6/MAP2/KAT2B/SEMA3F/PTPRG/ROBO2/DBN1/CAMK2B/SEMA3A/VLDLR/GATA3/NRP1/RET/ZNF365/NEDD4/ULK2/TIAM1/XK",19
"GO:0060560","GO:0060560","developmental growth involved in morphogenesis","13/237","214/13604",9.71828987977713e-05,0.0236483110212995,0.0200942252278898,"PRKCZ/MAP2/SEMA3F/AUTS2/SEMA3A/TNC/NRP1/SYT1/DCLK1/SPRY2/ULK2/LHX1/TIAM1",13
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","17/237","346/13604",0.000120621693834698,0.0236483110212995,0.0200942252278898,"PRKCZ/TP73/BCAR3/TGFA/STK39/MST1R/NPNT/SH3RF2/CD24/PDGFA/SEMA3A/SYK/NRP1/RET/TNFRSF19/SPRY2/PRKCA",17
"GO:0060485","GO:0060485","mesenchyme development","15/237","281/13604",0.000123012201466012,0.0236483110212995,0.0200942252278898,"SEMA3F/ROBO2/PHLDB2/SEMA3A/LOXL2/BNC2/GATA3/NRP1/RET/SPRY2/FOXA1/ALDH1A2/RFLNB/COL1A1/TIAM1",15
"GO:0001667","GO:0001667","ameboidal-type cell migration","18/237","382/13604",0.000129090358434706,0.0236483110212995,0.0200942252278898,"SEMA3F/PTPRG/ITGA2/GNA12/HDAC9/HSPB1/SEMA3A/LOXL2/GATA3/NRP1/RET/MMRN2/ETS1/PRKCA/ITGB4/PTPRM/FERMT1/TMSB4X",18
"GO:0072189","GO:0072189","ureter development","4/237","16/13604",0.000138620245675529,0.0236483110212995,0.0200942252278898,"GATA3/RET/ALDH1A2/LHX1",4
"GO:1902285","GO:1902285","semaphorin-plexin signaling pathway involved in neuron projection guidance","4/237","16/13604",0.000138620245675529,0.0236483110212995,0.0200942252278898,"PLXNA2/SEMA3F/SEMA3A/NRP1",4
"GO:1903900","GO:1903900","regulation of viral life cycle","9/237","112/13604",0.000146995240480293,0.0236483110212995,0.0200942252278898,"RNASEL/IFIT1/IFITM3/TRIM6/SMPD1/OAS3/OASL/BST2/LGALS1",9
"GO:0010720","GO:0010720","positive regulation of cell development","17/237","355/13604",0.000164123231224722,0.0236483110212995,0.0200942252278898,"PRKCZ/TP73/CTNNBIP1/PLXNA2/ITPKB/ROBO2/DBN1/GLI3/CAMK2B/SYK/GATA3/NRP1/RET/ZNF365/IL18/PRKCA/TIAM1",17
"GO:0007409","GO:0007409","axonogenesis","18/237","390/13604",0.000167084623042864,0.0236483110212995,0.0200942252278898,"PLXNA2/MAP2/SEMA3F/ROBO2/GLI3/AUTS2/SEMA3A/GATA3/NRP1/RET/B4GAT1/DCLK1/ULK2/LHX1/NPTX1/PTPRM/TIAM1/XK",18
"GO:0050920","GO:0050920","regulation of chemotaxis","11/237","168/13604",0.000174057595525043,0.0236483110212995,0.0200942252278898,"STK39/SEMA3F/ROBO2/ITGA2/HSPB1/SEMA3A/C5/NRP1/TIAM1/RAC2/TMSB4X",11
"GO:0048762","GO:0048762","mesenchymal cell differentiation","13/237","227/13604",0.000175174884910451,0.0236483110212995,0.0200942252278898,"SEMA3F/PHLDB2/SEMA3A/LOXL2/GATA3/NRP1/RET/SPRY2/FOXA1/ALDH1A2/RFLNB/COL1A1/TIAM1",13
"GO:1903039","GO:1903039","positive regulation of leukocyte cell-cell adhesion","12/237","198/13604",0.000183948722138537,0.0236483110212995,0.0200942252278898,"PRKCZ/ITPKB/IGFBP2/CD24/GLI3/DOCK8/SYK/NR4A3/GATA3/IL18/ETS1/LGALS1",12
"GO:0030198","GO:0030198","extracellular matrix organization","14/237","260/13604",0.000188987017510563,0.0236483110212995,0.0200942252278898,"ADAMTS4/COL5A2/PHLDB2/CCDC80/NPNT/FSCN1/LAMB1/LOXL2/MATN2/CTSV/GAS2/TNFRSF1A/COL1A1/FERMT1",14
"GO:0050770","GO:0050770","regulation of axonogenesis","10/237","142/13604",0.000189872852650733,0.0236483110212995,0.0200942252278898,"PLXNA2/MAP2/SEMA3F/ROBO2/SEMA3A/NRP1/RET/ULK2/TIAM1/XK",10
"GO:0043062","GO:0043062","extracellular structure organization","14/237","261/13604",0.000196656456104628,0.0236483110212995,0.0200942252278898,"ADAMTS4/COL5A2/PHLDB2/CCDC80/NPNT/FSCN1/LAMB1/LOXL2/MATN2/CTSV/GAS2/TNFRSF1A/COL1A1/FERMT1",14
"GO:0045229","GO:0045229","external encapsulating structure organization","14/237","261/13604",0.000196656456104628,0.0236483110212995,0.0200942252278898,"ADAMTS4/COL5A2/PHLDB2/CCDC80/NPNT/FSCN1/LAMB1/LOXL2/MATN2/CTSV/GAS2/TNFRSF1A/COL1A1/FERMT1",14
